Dataset,Period,Trades,StartEquity,EndEquity,NetProfitYen,ReturnPct,MaxDDYen,MaxDDPct,MoneyRoMD,WinRate,PF_Yen,WorstWeekReturnPct,BestWeekReturnPct,AvgWeekReturnPct
V1_MaxTrades_8_JPY_3_AUD_2,StrictOOS_2025_2026Q1,1226,3501181759805.0,21583788164421.0,18082606404616.0,516.47,2836559608451.0,23.44,6.37,53.43,1.289,-12.06,34.9,3.19
V1_MaxTrades_8_JPY_3_AUD_2,Q1_2026,251,18217576737737.0,21583788164421.0,3366211426684.0,18.48,2836559608451.0,13.32,1.19,52.99,1.125,-5.29,14.06,1.41
V1_MaxTrades_8_JPY_3_AUD_3,Full_2015_2026Q1,12222,500000.0,152318995641772.0,152318995141772.0,30463799028.35,24860893643619.0,34.24,6.13,54.06,1.295,-16.4,50.98,3.77
V1_MaxTrades_8_JPY_3_AUD_3,StrictIS_2015_2024,10906,500000.0,20523530335402.0,20523529835402.0,4104705967.08,2065722939755.0,34.24,9.94,54.11,1.464,-16.4,50.98,3.8
V1_MaxTrades_8_JPY_3_AUD_3,StrictOOS_2025_2026Q1,1316,20523530335402.0,152318995641772.0,131795465306370.0,642.17,24860893643619.0,25.08,5.3,53.65,1.279,-12.06,40.9,3.55
V1_MaxTrades_8_JPY_3_AUD_3,Q1_2026,286,130648790181090.0,152318995641772.0,21670205460682.0,16.59,24860893643619.0,15.34,0.87,51.75,1.1,-8.48,18.7,1.36
V2_PrevDayRangePips_LTE_P70,Full_2015_2026Q1,10592,500000.0,556672256205.0,556671756205.0,111334351.24,72987658869.0,41.31,7.63,54.69,1.396,-24.98,35.97,2.76
V2_PrevDayRangePips_LTE_P70,StrictIS_2015_2024,9607,500000.0,124333556050.0,124333056050.0,24866611.21,21986160182.0,41.31,5.66,54.65,1.457,-24.98,35.97,2.78
V2_PrevDayRangePips_LTE_P70,StrictOOS_2025_2026Q1,985,124333556050.0,556672256205.0,432338700155.0,347.72,72987658869.0,18.91,5.92,55.13,1.381,-11.01,25.44,2.61
V2_PrevDayRangePips_LTE_P70,Q1_2026,212,436707032152.0,556672256205.0,119965224053.0,27.47,72987658869.0,13.99,1.64,51.42,1.27,-6.59,17.81,2.07
V2_PrevDayRangePips_LTE_P75,Full_2015_2026Q1,11380,500000.0,1514405295443.0,1514404795443.0,302880959.09,265693871287.0,41.2,5.7,54.46,1.37,-26.7,36.13,2.96
V2_PrevDayRangePips_LTE_P75,StrictIS_2015_2024,10305,500000.0,314194302124.0,314193802124.0,62838760.42,56554002538.0,41.2,5.56,54.44,1.496,-26.7,36.13,2.99
V2_PrevDayRangePips_LTE_P75,StrictOOS_2025_2026Q1,1075,314194302124.0,1514405295443.0,1200210993319.0,382.0,265693871287.0,22.51,4.52,54.6,1.347,-11.35,25.44,2.78
V2_PrevDayRangePips_LTE_P75,Q1_2026,234,1222362109630.0,1514405295443.0,292043185814.0,23.89,265693871287.0,18.55,1.1,50.85,1.211,-6.59,23.12,1.92
V2_PrevDayRangePips_LTE_P80,Full_2015_2026Q1,12146,500000.0,8810157049336.0,8810156549336.0,1762031309.87,1605655772916.0,41.81,5.49,54.63,1.359,-26.7,34.32,3.31
V2_PrevDayRangePips_LTE_P80,StrictIS_2015_2024,10981,500000.0,1576971382297.0,1576970882297.0,315394176.46,294760360397.0,41.81,5.35,54.59,1.466,-26.7,34.32,3.34
V2_PrevDayRangePips_LTE_P80,StrictOOS_2025_2026Q1,1165,1576971382297.0,8810157049336.0,7233185667038.0,458.68,1605655772916.0,22.42,4.5,54.94,1.342,-11.84,27.72,3.06
V2_PrevDayRangePips_LTE_P80,Q1_2026,256,6938264271648.0,8810157049336.0,1871892777688.0,26.98,1605655772916.0,19.54,1.17,52.34,1.215,-6.59,22.71,2.12
V2_PrevDayRangePips_LTE_P85,Full_2015_2026Q1,12921,500000.0,20777493447081.0,20777492947081.0,4155498589.42,4106489645323.0,46.58,5.06,54.49,1.321,-30.83,34.32,3.49
V2_PrevDayRangePips_LTE_P85,StrictIS_2015_2024,11666,500000.0,3761338003799.0,3761337503799.0,752267500.76,527722428906.0,46.58,7.13,54.52,1.44,-30.83,34.32,3.54
