Pair,Method,Period,TokyoSign,Q,N,ObservedWeeks,Mean,Median,LowSample,SideDelta,SideDeltaLowSample
GBPJPY,Robustness,Historical,DOWN,2,162,133,0.18148148148149712,5.000000000001137,False,-5.502513221916839,False
GBPJPY,Robustness,Historical,DOWN,3,152,129,-1.8947368421052133,-1.0000000000005116,False,-5.502513221916839,False
GBPJPY,Robustness,Historical,DOWN,4,144,122,-6.43055555555547,-3.499999999999659,False,-5.502513221916839,False
GBPJPY,Robustness,Historical,DOWN,5,163,128,-1.5797546012272223,-3.999999999999204,False,-5.502513221916839,False
USDJPY,Primary,RecentA,UP,1,45,37,-1.3399999999998928,0.8000000000009777,False,1.1307894736843946,False
USDJPY,Primary,RecentA,UP,2,47,38,0.9978723404256403,-0.0999999999990564,False,1.1307894736843946,False
USDJPY,Primary,RecentA,UP,3,43,34,0.853488372093364,0.20000000000095497,False,1.1307894736843946,False
USDJPY,Primary,RecentA,UP,4,59,48,-1.1423728813560157,-1.8000000000000682,False,1.1307894736843946,False
USDJPY,Primary,RecentA,UP,5,76,56,-0.20921052631549822,2.7999999999991587,False,1.1307894736843946,False
USDJPY,Primary,RecentA,DOWN,1,38,31,-3.5763157894735955,-5.699999999998795,False,9.10045372050797,False
USDJPY,Primary,RecentA,DOWN,2,54,42,2.20925925925915,-0.45000000000001705,False,9.10045372050797,False
USDJPY,Primary,RecentA,DOWN,3,40,35,-3.8024999999999665,-5.349999999999966,False,9.10045372050797,False
USDJPY,Primary,RecentA,DOWN,4,54,44,-1.2537037037037424,-3.599999999999426,False,9.10045372050797,False
USDJPY,Primary,RecentA,DOWN,5,58,43,5.524137931034374,5.799999999999272,False,9.10045372050797,False
USDJPY,Robustness,RecentA,UP,1,56,44,1.826785714285682,2.4999999999991473,False,-7.489123376623233,False
USDJPY,Robustness,RecentA,UP,2,45,38,1.7222222222222032,3.999999999999204,False,-7.489123376623233,False
USDJPY,Robustness,RecentA,UP,3,44,34,0.4295454545457938,2.049999999999841,False,-7.489123376623233,False
USDJPY,Robustness,RecentA,UP,4,57,45,8.914035087719604,4.4999999999987494,False,-7.489123376623233,False
USDJPY,Robustness,RecentA,UP,5,77,56,-5.662337662337551,-1.6999999999995907,False,-7.489123376623233,False
USDJPY,Robustness,RecentA,DOWN,1,39,33,-0.9384615384616833,-0.20000000000095497,False,6.840048840048878,False
USDJPY,Robustness,RecentA,DOWN,2,45,36,-6.133333333333155,-5.89999999999975,False,6.840048840048878,False
USDJPY,Robustness,RecentA,DOWN,3,56,45,2.5374999999998593,-3.599999999999426,False,6.840048840048878,False
USDJPY,Robustness,RecentA,DOWN,4,35,32,5.619999999999956,8.699999999998909,False,6.840048840048878,False
USDJPY,Robustness,RecentA,DOWN,5,63,41,5.9015873015871945,5.5999999999997385,False,6.840048840048878,False
EURAUD,Primary,RecentA,UP,1,49,37,-5.6020408163267525,-7.800000000000029,False,2.4647526807334152,False
EURAUD,Primary,RecentA,UP,2,53,42,-4.996226415094435,-9.600000000000719,False,2.4647526807334152,False
EURAUD,Primary,RecentA,UP,3,43,37,0.33255813953473934,-1.2000000000012,False,2.4647526807334152,False
EURAUD,Primary,RecentA,UP,4,46,41,-8.128260869565224,-4.6000000000001595,False,2.4647526807334152,False
EURAUD,Primary,RecentA,UP,5,59,48,-3.1372881355933373,4.499999999998394,False,2.4647526807334152,False
EURAUD,Primary,RecentA,DOWN,1,44,38,1.6295454545454826,3.450000000000397,False,4.42891608391612,False
EURAUD,Primary,RecentA,DOWN,2,54,48,5.598148148148146,2.949999999999342,False,4.42891608391612,False
EURAUD,Primary,RecentA,DOWN,3,50,42,-1.8579999999999595,-6.650000000000267,False,4.42891608391612,False
EURAUD,Primary,RecentA,DOWN,4,54,41,-0.40555555555578593,3.1999999999998696,False,4.42891608391612,False
EURAUD,Primary,RecentA,DOWN,5,65,49,6.058461538461603,9.699999999999154,False,4.42891608391612,False
EURAUD,Robustness,RecentA,UP,1,42,37,-6.926190476190542,-9.550000000000392,False,5.896560846560788,False
EURAUD,Robustness,RecentA,UP,2,44,39,-6.2999999999998915,-6.049999999999667,False,5.896560846560788,False
EURAUD,Robustness,RecentA,UP,3,40,36,2.5524999999998466,2.2999999999995246,False,5.896560846560788,False
EURAUD,Robustness,RecentA,UP,4,55,46,-6.681818181818313,-6.200000000000649,False,5.896560846560788,False
EURAUD,Robustness,RecentA,UP,5,54,47,-1.0296296296297545,6.499999999999284,False,5.896560846560788,False
EURAUD,Robustness,RecentA,DOWN,1,47,39,4.882978723404308,3.6999999999998145,False,-3.002381708478943,False
EURAUD,Robustness,RecentA,DOWN,2,66,55,-0.16515151515138582,-0.3500000000000725,False,-3.002381708478943,False
EURAUD,Robustness,RecentA,DOWN,3,49,42,2.783673469387775,-2.1999999999988695,False,-3.002381708478943,False
EURAUD,Robustness,RecentA,DOWN,4,52,45,7.273076923076787,7.650000000001267,False,-3.002381708478943,False
EURAUD,Robustness,RecentA,DOWN,5,67,55,1.8805970149253646,6.299999999999084,False,-3.002381708478943,False
GBPJPY,Primary,RecentA,UP,1,47,40,5.495744680850939,9.399999999999409,False,10.359639934533824,False
GBPJPY,Primary,RecentA,UP,2,47,37,-2.693617021276698,4.999999999998295,False,10.359639934533824,False
GBPJPY,Primary,RecentA,UP,3,58,44,-7.227586206896564,-6.450000000000955,False,10.359639934533824,False
GBPJPY,Primary,RecentA,UP,4,58,47,-7.706896551723793,0.15000000000071623,False,10.359639934533824,False
GBPJPY,Primary,RecentA,UP,5,65,51,15.855384615384764,9.999999999999432,False,10.359639934533824,False
GBPJPY,Primary,RecentA,DOWN,1,49,42,-0.1306122448979448,7.30000000000075,False,-0.3021150278293271,False
GBPJPY,Primary,RecentA,DOWN,2,45,37,8.397777777777769,7.200000000000273,False,-0.3021150278293271,False
GBPJPY,Primary,RecentA,DOWN,3,47,38,-4.891489361702384,-6.800000000001205,False,-0.3021150278293271,False
GBPJPY,Primary,RecentA,DOWN,4,46,41,-1.5173913043479659,-4.300000000000637,False,-0.3021150278293271,False
GBPJPY,Primary,RecentA,DOWN,5,55,41,-0.4327272727272719,-10.699999999999932,False,-0.3021150278293271,False
GBPJPY,Robustness,RecentA,UP,1,48,39,-1.4874999999998195,-0.349999999998829,False,3.287500000000071,False
GBPJPY,Robustness,RecentA,UP,2,46,38,-1.8413043478260434,-0.7499999999993179,False,3.287500000000071,False
GBPJPY,Robustness,RecentA,UP,3,55,41,1.5236363636365076,-7.200000000000273,False,3.287500000000071,False
GBPJPY,Robustness,RecentA,UP,4,58,46,-2.491379310344963,1.3499999999993406,False,3.287500000000071,False
GBPJPY,Robustness,RecentA,UP,5,62,48,1.8000000000002516,1.3500000000007617,False,3.287500000000071,False
GBPJPY,Robustness,RecentA,DOWN,1,50,44,-2.6999999999997044,-6.9500000000005,False,2.287096774193023,False
GBPJPY,Robustness,RecentA,DOWN,2,44,39,2.9613636363634366,-6.5500000000014325,False,2.287096774193023,False
GBPJPY,Robustness,RecentA,DOWN,3,42,35,-9.500000000000021,-8.05000000000149,False,2.287096774193023,False
GBPJPY,Robustness,RecentA,DOWN,4,50,42,1.5199999999999818,-3.5499999999998977,False,2.287096774193023,False
GBPJPY,Robustness,RecentA,DOWN,5,62,47,-0.4129032258066812,-7.4500000000000455,False,2.287096774193023,False
USDJPY,Primary,RecentB,UP,1,47,38,-0.7127659574470069,2.400000000000091,False,5.943675048356064,False
USDJPY,Primary,RecentB,UP,2,52,44,2.065384615384639,1.6999999999995907,False,5.943675048356064,False
USDJPY,Primary,RecentB,UP,3,53,48,3.586792452830369,6.400000000002137,False,5.943675048356064,False
USDJPY,Primary,RecentB,UP,4,51,37,5.954901960784493,3.999999999999204,False,5.943675048356064,False
USDJPY,Primary,RecentB,UP,5,55,47,5.230909090909057,5.299999999999727,False,5.943675048356064,False
USDJPY,Primary,RecentB,DOWN,1,50,43,-1.0019999999999527,-3.900000000000148,False,-1.8686896551721044,False
USDJPY,Primary,RecentB,DOWN,2,56,45,-0.34285714285715585,-2.5000000000005684,False,-1.8686896551721044,False
