Strategy,Group,Option,Percentile,BaseTrades,AcceptedTrades,RejectedTrades,AcceptedRatePct,RejectedRatePct,Full_Trades,Full_MoneyRoMD,Full_MaxDDPct,Full_NetProfitYen,Full_PF_Yen,Full_WorstWeekReturnPct,OOS_Trades,OOS_MoneyRoMD,OOS_MaxDDPct,OOS_NetProfitYen,OOS_PF_Yen,OOS_WorstWeekReturnPct,Q1_Trades,Q1_MoneyRoMD,Q1_MaxDDPct,Q1_NetProfitYen,Q1_PF_Yen,Q1_WorstWeekReturnPct,Pips_Total,Pips_PF,Pips_RoMD,Pips_Avg,Delta_Full_MoneyRoMD,Delta_Full_MaxDDPct,Delta_Full_NetProfitYen,Delta_OOS_MoneyRoMD,Delta_OOS_MaxDDPct,Delta_OOS_NetProfitYen,Delta_Q1_MoneyRoMD,Delta_Q1_MaxDDPct,Delta_Q1_NetProfitYen
14_UJ_Sat_3rd,CrossJPY_16,P95,95,69,65,4,94.2,5.8,65,10.23,3.96,329389.0,3.788,-2.0,7,0.51,3.96,16275.0,1.505,-2.0,2,,0.0,10176.0,,0.21,1160.5,3.703,12.89,17.85,-8.739999999999998,0.71,-40265.0,-3.54,1.96,-51463.0,,0.0,-494.0
15_UJ_Sat_Aug,CrossJPY_16,NONE,999,64,64,0,100.0,0.0,64,4.29,7.1,197778.0,1.601,-2.5,5,0.25,3.81,6909.0,1.167,1.0,0,,0.0,0.0,,,348.0,1.643,4.81,5.44,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
15_UJ_Sat_Aug,CrossJPY_16,P70,70,64,38,26,59.38,40.62,38,2.77,6.98,125691.0,1.828,-2.0,1,0.87,3.73,21159.0,,3.5,0,,0.0,0.0,,,232.5,1.889,3.21,6.12,-1.52,-0.11999999999999922,-72087.0,0.62,-0.08000000000000007,14250.0,,0.0,0.0
15_UJ_Sat_Aug,CrossJPY_16,P75,75,64,40,24,62.5,37.5,40,2.92,6.98,134589.0,1.803,-2.0,1,0.87,3.73,21460.0,,3.5,0,,0.0,0.0,,,247.5,1.879,3.42,6.19,-1.37,-0.11999999999999922,-63189.0,0.62,-0.08000000000000007,14551.0,,0.0,0.0
15_UJ_Sat_Aug,CrossJPY_16,P80,80,64,43,21,67.19,32.81,43,3.67,5.56,131852.0,1.704,-2.0,1,1.47,2.25,21367.0,,3.5,0,,0.0,0.0,,,242.5,1.754,4.22,5.64,-0.6200000000000001,-1.54,-65926.0,1.22,-1.56,14458.0,,0.0,0.0
15_UJ_Sat_Aug,CrossJPY_16,P85,85,64,47,17,73.44,26.56,47,2.13,7.45,101400.0,1.462,-2.0,3,-0.06,7.45,-3022.0,0.875,-0.5,0,,0.0,0.0,,,193.0,1.506,2.49,4.11,-2.16,0.35000000000000053,-96378.0,-0.31,3.64,-9931.0,,0.0,0.0
15_UJ_Sat_Aug,CrossJPY_16,P90,90,64,54,10,84.38,15.62,54,6.88,4.65,188418.0,1.736,-2.0,5,0.25,3.81,6816.0,1.167,1.0,0,,0.0,0.0,,,328.0,1.778,7.05,6.07,2.59,-2.4499999999999993,-9360.0,0.0,0.0,-93.0,,0.0,0.0
15_UJ_Sat_Aug,CrossJPY_16,P95,95,64,55,9,85.94,14.06,55,4.34,5.86,174853.0,1.652,-2.0,5,0.25,3.81,6682.0,1.167,1.0,0,,0.0,0.0,,,308.0,1.697,5.13,5.6,0.04999999999999982,-1.2399999999999993,-22925.0,0.0,0.0,-227.0,,0.0,0.0
16_UJ_T10A,CrossJPY_16,NONE,999,58,58,0,100.0,0.0,58,7.8,2.44,121351.0,2.196,-2.0,7,1.18,2.44,18346.0,1.722,-2.0,2,-0.27,2.44,-4228.0,0.667,-2.0,501.5,2.23,9.2,8.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16_UJ_T10A,CrossJPY_16,P70,70,58,35,23,60.34,39.66,35,2.96,2.06,32274.0,1.674,-2.0,2,-0.94,2.0,-10260.0,0.055,-2.0,0,,0.0,0.0,,,143.7,1.702,3.1,4.11,-4.84,-0.3799999999999999,-89077.0,-2.12,-0.43999999999999995,-28606.0,,-2.44,4228.0
16_UJ_T10A,CrossJPY_16,P75,75,58,40,18,68.97,31.03,40,4.09,2.06,45560.0,1.898,-2.0,3,-0.65,2.0,-7273.0,0.347,-2.0,0,,0.0,0.0,,,199.5,1.94,4.31,4.99,-3.71,-0.3799999999999999,-75791.0,-1.83,-0.43999999999999995,-25619.0,,-2.44,4228.0
