Method,Trades,Valid,Coverage,ReferenceLT252,CurrentUnavailable,ReferenceNonfinite,ReferenceNonpositive,SourceMissing,CalculationError,R2Unavailable
ATR,15837,14651,0.9251120793079497,1021,78,87,0,0,0,1186
RV,15837,14642,0.9245437898591905,1012,87,96,0,0,0,1186
