Label,Trades,WinRate,PF,TotalPips,MaxDD,RoMD,AvgPips
Full 2015-01 to 2026-05,8406,54.81,1.43,54464.5,1533.4,35.52,6.48
Legacy IS 2015-01 to 2025-12,8223,54.87,1.439,54167.3,1533.4,35.32,6.59
Legacy OOS 2026-01 to 2026-05,183,51.91,1.091,297.2,583.7,0.51,1.62
Strict IS 2015-01 to 2024-12,7609,54.78,1.439,49612.9,1533.4,32.35,6.52
Strict OOS 2025-01 to 2026-05,797,55.08,1.355,4851.6,958.1,5.06,6.09
