Period,Method,StrategyNo,Strategy,Symbol,Direction,Regime,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,LOW_SAMPLE,HighMinusLowAvgR,MaxMinusMinAvgR,Eligible,ClearDependence,Group,EligibleStrategies,EligibleIDs,SameSignStrategies,Support,Aggregation,CILow,CIHigh,ValidBootstraps
RecentB,primary,16.0,16_UJ_T10A,USDJPY,Long,LOW,4.0,-0.537777778,-0.1344444445,0.46222222199999996,75.0,0.15407407399999998,-1.0,True,0.8477777777000001,,False,False,,,,,,,,,
RecentB,primary,16.0,16_UJ_T10A,USDJPY,Long,NORMAL,0.0,0.0,,,,,,True,0.8477777777000001,,False,False,,,,,,,,,
RecentB,primary,16.0,16_UJ_T10A,USDJPY,Long,HIGH,5.0,3.566666666,0.7133333332,18.833333330000002,60.0,1.2555555553333333,-0.09999999999999999,True,0.8477777777000001,,False,False,,,,,,,,,
RecentB,primary,17.0,17_EA_1B_Wed_Short,EURAUD,Short,LOW,25.0,4.687142858,0.18748571432,2.4812641082886535,56.00000000000001,0.5608163266428571,-0.28766233772727273,False,-0.22712857144499998,0.22712857144499998,False,False,,,,,,,,,
RecentB,primary,17.0,17_EA_1B_Wed_Short,EURAUD,Short,NORMAL,13.0,1.488571429,0.11450549453846154,1.6162034300276518,69.23076923076923,0.4338095238888889,-0.6039285715,True,-0.22712857144499998,0.22712857144499998,False,False,,,,,,,,,
RecentB,primary,17.0,17_EA_1B_Wed_Short,EURAUD,Short,HIGH,16.0,-0.634285714,-0.039642857125,0.8952830189126246,50.0,0.677857142875,-0.757142857125,True,-0.22712857144499998,0.22712857144499998,False,False,,,,,,,,,
RecentB,primary,18.0,18_EA_2_MonWed_Short,EURAUD,Short,LOW,72.0,-2.793333332,-0.03879629627777778,0.8220554926921815,43.05555555555556,0.4162724013870968,-0.3828726286585366,False,0.2613813303185941,0.2613813303185941,True,False,,,,,,,,,
RecentB,primary,18.0,18_EA_2_MonWed_Short,EURAUD,Short,NORMAL,46.0,0.734444445,0.01596618358695652,1.0657515170098477,63.04347826086957,0.4104980843103448,-0.6570588235294118,False,0.2613813303185941,0.2613813303185941,True,False,,,,,,,,,
RecentB,primary,18.0,18_EA_2_MonWed_Short,EURAUD,Short,HIGH,49.0,10.906666668,0.2225850340408163,2.110281642521557,55.10204081632652,0.7677777778148148,-0.44651515150000004,False,0.2613813303185941,0.2613813303185941,True,False,,,,,,,,,
RecentB,primary,19.0,19_EA_3_WedThu_Long,EURAUD,Long,LOW,48.0,4.266666666,0.088888888875,1.5300938706336147,64.58333333333334,0.39727598567741934,-0.4734640523529412,False,0.06381481489166664,0.1600600256287356,True,False,,,,,,,,,
