Period,Method,Group,EligibleStrategies,EligibleIDs,SameSignStrategies,Support,CILow,CIHigh,ValidBootstraps,Aggregation,Regime,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,LOW_SAMPLE,HighMinusLowAvgR
FULL,primary,Long,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,14,SUPPORTED,,,0,strategy_equal_weighted,HIGH,,,0.13812370403049207,,,,,,0.07954611341033649
FULL,primary,Short,11,5|9|10|11|12|17|18|20|23|27|28,7,SUPPORTED,0.02450545643618383,0.141577418344082,5000,trade_weighted,LOW,2641.0,150.376637804,0.056939279744036356,1.2734571240498724,51.98788337750852,0.5100408002614711,-0.4353993515083135,False,0.08249909282550734
FULL,primary,Short,11,5|9|10|11|12|17|18|20|23|27|28,7,SUPPORTED,,,0,strategy_equal_weighted,LOW,,,0.06645970201879436,,,,,,0.05981505673327678
FULL,primary,Short,11,5|9|10|11|12|17|18|20|23|27|28,7,SUPPORTED,0.02450545643618383,0.141577418344082,5000,trade_weighted,NORMAL,1797.0,175.750696974,0.09780227989649415,1.4246757058402075,54.757929883138566,0.5991844842174797,-0.5121866775940593,False,0.08249909282550734
FULL,primary,Short,11,5|9|10|11|12|17|18|20|23|27|28,7,SUPPORTED,,,0,strategy_equal_weighted,NORMAL,,,0.1029339733745953,,,,,,0.05981505673327678
FULL,primary,Short,11,5|9|10|11|12|17|18|20|23|27|28,7,SUPPORTED,0.02450545643618383,0.141577418344082,5000,trade_weighted,HIGH,1819.0,253.638399704,0.1394383725695437,1.495487755757273,52.391423859263334,0.8032894043053516,-0.5917877486693641,False,0.08249909282550734
FULL,primary,Short,11,5|9|10|11|12|17|18|20|23|27|28,7,SUPPORTED,,,0,strategy_equal_weighted,HIGH,,,0.12627475875207114,,,,,,0.05981505673327678
FULL,robustness,Portfolio,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,22,SUPPORTED,0.03031064612271839,0.10226551023601713,5000,trade_weighted,LOW,6117.0,330.15499304,0.05397335181298022,1.283335797256295,53.866274317475884,0.45383847540789074,-0.4151203360986818,False,0.0671720919273382
FULL,robustness,Portfolio,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,22,SUPPORTED,,,0,strategy_equal_weighted,LOW,,,0.05478281843957028,,,,,,0.06567443960016295
FULL,robustness,Portfolio,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,22,SUPPORTED,0.03031064612271839,0.10226551023601713,5000,trade_weighted,NORMAL,4308.0,417.693811293,0.09695770921378831,1.4744356363014646,55.71030640668524,0.5408730160199999,-0.4628819280520505,False,0.0671720919273382
FULL,robustness,Portfolio,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,22,SUPPORTED,,,0,strategy_equal_weighted,NORMAL,,,0.09927662641515811,,,,,,0.06567443960016295
FULL,robustness,Portfolio,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,22,SUPPORTED,0.03031064612271839,0.10226551023601713,5000,trade_weighted,HIGH,4648.0,563.084022505,0.12114544374031842,1.503243778078922,54.79776247848537,0.6603820503160581,-0.5340854700000001,False,0.0671720919273382
