Period,Method,StrategyNo,Strategy,Symbol,Direction,Regime,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,LOW_SAMPLE,HighMinusLowAvgR,MaxMinusMinAvgR,Eligible,CILow,CIHigh,ValidBootstraps,ClearDependence
FULL,primary,1,1_EJ_Log1,EURJPY,Long,LOW,361,37.788571421,0.10467748316066482,1.478570006932292,58.72576177285319,0.5507075471556604,-0.5299424736644296,False,0.1837966809669947,0.21549247913278774,True,0.030575256676338994,0.33147091086542213,5000,True
FULL,primary,1,1_EJ_Log1,EURJPY,Long,NORMAL,195,14.231428573999999,0.07298168499487179,1.2586188993178196,55.38461538461539,0.6412962963240741,-0.6325123152758622,False,0.1837966809669947,0.21549247913278774,True,0.030575256676338994,0.33147091086542213,5000,True
FULL,primary,1,1_EJ_Log1,EURJPY,Long,HIGH,235,67.79142857,0.2884741641276595,2.0819672130352145,60.0,0.9251570415531915,-0.6665501520106383,False,0.1837966809669947,0.21549247913278774,True,0.030575256676338994,0.33147091086542213,5000,True
FULL,primary,2,2_EJ_NightBlitz_20,EURJPY,Long,LOW,438,35.848888909,0.08184677833105024,1.3211115094020263,55.70776255707762,0.604462659454918,-0.5754639175154639,False,0.03477453690364364,0.0611261946869678,True,-0.08761469721184491,0.15659404103752586,5000,False
FULL,primary,2,2_EJ_NightBlitz_20,EURJPY,Long,NORMAL,222,31.740000010000003,0.14297297301801803,1.501932808701139,59.009009009009006,0.725004240961832,-0.7026172839555556,False,0.03477453690364364,0.0611261946869678,True,-0.08761469721184491,0.15659404103752586,5000,False
FULL,primary,2,2_EJ_NightBlitz_20,EURJPY,Long,HIGH,294,34.286666679,0.11662131523469388,1.3659543180997515,55.78231292517006,0.7803523036036586,-0.7207008547076923,False,0.03477453690364364,0.0611261946869678,True,-0.08761469721184491,0.15659404103752586,5000,False
FULL,primary,3,3_EJ_NightBlitz_21,EURJPY,Long,LOW,437,26.749333326,0.061211289075514874,1.4526522414820586,55.60640732265446,0.35326748967901234,-0.30778472221875003,False,0.0049491628431291845,0.02075868091998062,True,-0.07288365509236513,0.08136539863542044,5000,False
FULL,primary,3,3_EJ_NightBlitz_21,EURJPY,Long,NORMAL,222,18.197333339,0.0819699699954955,1.552662482534291,61.261261261261254,0.3759117647132353,-0.382868217,False,0.0049491628431291845,0.02075868091998062,True,-0.07288365509236513,0.08136539863542044,5000,False
FULL,primary,3,3_EJ_NightBlitz_21,EURJPY,Long,HIGH,295,19.517333316,0.06616045191864406,1.3595323472452139,55.59322033898305,0.4500162600853659,-0.420816537503876,False,0.0049491628431291845,0.02075868091998062,True,-0.07288365509236513,0.08136539863542044,5000,False
FULL,primary,4,4_GJ_Port_Log1,GBPJPY,Long,LOW,360,7.725384609,0.021459401691666664,1.251188034386623,51.94444444444445,0.2057795145828877,-0.17777678969942198,False,0.042851734890422884,0.042851734890422884,True,-0.008672306790404143,0.09418825303374222,5000,False
FULL,primary,4,4_GJ_Port_Log1,GBPJPY,Long,NORMAL,249,11.016153841,0.04424158169076305,1.4947488424445154,57.42971887550201,0.23274341039860139,-0.2140976331346154,False,0.042851734890422884,0.042851734890422884,True,-0.008672306790404143,0.09418825303374222,5000,False
