Group,Conclusion,PrimaryDelta,RobustnessDelta
Portfolio,BOTH_SUPPORTED,0.07721527644253542,0.0671720919273382
JPY,BOTH_SUPPORTED,0.09068273494557484,0.0847247131866958
AUD_nonJPY,PRIMARY_ONLY,0.054431626037698466,0.041872061551061546
Long,BOTH_SUPPORTED,0.07355776345404205,0.07097398503663616
Short,BOTH_SUPPORTED,0.08249909282550734,0.062013484631214755
