Symbol,DailyDate,DailyIndex,ADX14,ER20,ReferenceStart,ReferenceEnd,primaryPercentile,robustnessPercentile,primary,robustness
USDJPY,2015-11-24,279,20.70282925873957,0.3672337278106515,2015-02-03,2015-11-23,0.373015873015873,0.8492063492063492,NORMAL,HIGH
USDJPY,2015-11-25,280,19.28069236889661,0.410885805763073,2015-02-04,2015-11-24,0.3253968253968254,0.8888888888888888,LOW,HIGH
GBPJPY,2015-11-25,280,14.718224600731446,0.1105229726868527,2015-02-04,2015-11-24,0.119047619047619,0.2301587301587301,LOW,LOW
GBPAUD,2015-11-25,280,21.34210577590597,0.4341367865498645,2015-02-04,2015-11-24,0.4880952380952381,0.9523809523809524,NORMAL,HIGH
AUDJPY,2015-11-26,281,18.577513789963938,0.2798634812286706,2015-02-05,2015-11-25,0.2896825396825397,0.7341269841269841,LOW,HIGH
GBPAUD,2015-11-26,281,22.16912139691765,0.3082689556509301,2015-02-05,2015-11-25,0.5476190476190477,0.7976190476190477,NORMAL,HIGH
AUDJPY,2015-11-28,283,17.672440310733275,0.1519560297445854,2015-02-07,2015-11-27,0.2619047619047619,0.4841269841269841,LOW,NORMAL
AUDUSD,2015-11-28,283,11.923237112087987,0.0365317568591769,2015-02-07,2015-11-27,0.0357142857142857,0.123015873015873,LOW,LOW
GBPJPY,2015-11-28,283,16.423482406955138,0.1381696428571431,2015-02-07,2015-11-27,0.2023809523809523,0.2619047619047619,LOW,LOW
GBPAUD,2015-11-28,283,23.47447606936236,0.2394541715994746,2015-02-07,2015-11-27,0.6031746031746031,0.626984126984127,NORMAL,NORMAL
GBPAUD,2015-12-02,286,28.10194010120012,0.5036116422349657,2015-02-11,2015-12-01,0.7341269841269841,0.984126984126984,HIGH,HIGH
AUDJPY,2015-12-02,286,21.36062632010395,0.4508958642058494,2015-02-11,2015-12-01,0.3492063492063492,0.9365079365079364,NORMAL,HIGH
USDJPY,2015-12-02,286,14.824224281416043,0.0136578097839599,2015-02-11,2015-12-01,0.1468253968253968,0.0476190476190476,LOW,LOW
AUDJPY,2015-12-05,289,25.70144271576271,0.3815914328317762,2015-02-14,2015-12-04,0.5238095238095238,0.8531746031746031,NORMAL,HIGH
EURAUD,2015-12-05,289,34.51985177836479,0.1963291139240513,2015-02-14,2015-12-04,0.876984126984127,0.5,HIGH,NORMAL
EURJPY,2015-12-05,289,42.8180063583521,0.1691908264820431,2015-02-14,2015-12-04,0.8452380952380952,0.4246031746031746,HIGH,NORMAL
GBPAUD,2015-12-05,289,31.771362376369357,0.434753881731084,2015-02-14,2015-12-04,0.8452380952380952,0.9682539682539684,HIGH,HIGH
EURAUD,2015-12-08,291,31.436966292233304,0.0016094122870298,2015-02-17,2015-12-07,0.8214285714285714,0.0158730158730158,HIGH,LOW
AUDJPY,2015-12-08,291,24.288951205538584,0.1271842512718431,2015-02-17,2015-12-07,0.4722222222222222,0.4325396825396825,NORMAL,NORMAL
GBPAUD,2015-12-08,291,30.185267134722473,0.2864632745793155,2015-02-17,2015-12-07,0.7857142857142857,0.753968253968254,HIGH,HIGH
USDJPY,2015-12-09,292,13.390180473881369,0.21424109931293,2015-02-18,2015-12-08,0.0793650793650793,0.6150793650793651,LOW,NORMAL
