Group,Conclusion,PrimaryDelta,RobustnessDelta
Portfolio,NOT_SUPPORTED,-0.0001330011840756512,0.011852517786179559
JPY,NOT_SUPPORTED,-0.0056737504858328375,0.02033819658495907
AUD_nonJPY,NOT_SUPPORTED,0.00752283559471105,-0.0006751867557003438
Long,NOT_SUPPORTED,-0.0004896882749006459,0.017226729632506904
Short,NOT_SUPPORTED,0.0003539536606154553,0.0038921427932615132
