Period,Method,StrategyNo,Strategy,Symbol,Direction,Regime,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,LOW_SAMPLE,HighMinusLowAvgR,RegimeOrder,MaxMinusMinAvgR,Eligible,CILow,CIHigh,ValidBootstraps,ClearDependence
FULL,robustness,10,10_AJ_SatA,AUDJPY,Short,LOW,109,-0.9420000000000002,-0.008642201834862386,0.9222772277227724,40.36697247706422,0.2540454545454546,-0.18646153846153846,False,0.006229503422163975,LOW < HIGH < NORMAL,0.02232565507227246,True,-0.07420012195168824,0.08510011154784493,5000,False
FULL,robustness,10,10_AJ_SatA,AUDJPY,Short,NORMAL,139,1.9020000000000001,0.013683453237410072,1.12472131147541,51.798561151079134,0.23822222222222222,-0.22761194029850745,False,0.006229503422163975,LOW < HIGH < NORMAL,0.02232565507227246,True,-0.07420012195168824,0.08510011154784493,5000,False
FULL,robustness,10,10_AJ_SatA,AUDJPY,Short,HIGH,126,-0.30399999999999977,-0.002412698412698411,0.9821847163619316,46.03174603174603,0.2889655172413793,-0.2585454545454545,False,0.006229503422163975,LOW < HIGH < NORMAL,0.02232565507227246,True,-0.07420012195168824,0.08510011154784493,5000,False
FULL,robustness,11,11_AJ_SatB,AUDJPY,Short,LOW,109,-0.9927272760000005,-0.0091075896880734,0.9636823199620163,45.87155963302752,0.52683636368,-0.4632973806779661,False,0.044518845061089274,LOW < HIGH < NORMAL,0.12440629094521624,True,-0.11582177209244014,0.19980299162101664,5000,False
FULL,robustness,11,11_AJ_SatB,AUDJPY,Short,NORMAL,140,16.141818175999997,0.11529870125714284,1.6469430879586109,54.285714285714285,0.5406937798552631,-0.389857954578125,False,0.044518845061089274,LOW < HIGH < NORMAL,0.12440629094521624,True,-0.11582177209244014,0.19980299162101664,5000,False
FULL,robustness,11,11_AJ_SatB,AUDJPY,Short,HIGH,126,4.461818177,0.03541125537301587,1.1569154036207219,46.03174603174603,0.5671786833275863,-0.4181550802352941,False,0.044518845061089274,LOW < HIGH < NORMAL,0.12440629094521624,True,-0.11582177209244014,0.19980299162101664,5000,False
FULL,robustness,12,12_UJ_Short_Core,USDJPY,Short,LOW,147,33.816,0.23004081632653062,1.9562807533510547,55.78231292517006,0.8436341463414634,-0.55253125,False,0.026975488021295457,LOW < NORMAL < HIGH,0.026975488021295457,True,-0.19699551862319337,0.24009932784333338,5000,False
FULL,robustness,12,12_UJ_Short_Core,USDJPY,Short,NORMAL,172,41.704,0.24246511627906978,2.392500584326689,59.883720930232556,0.6956601941747573,-0.4404264705882353,False,0.026975488021295457,LOW < NORMAL < HIGH,0.026975488021295457,True,-0.19699551862319337,0.24009932784333338,5000,False
FULL,robustness,12,12_UJ_Short_Core,USDJPY,Short,HIGH,184,47.291,0.2570163043478261,2.3183997769724005,58.152173913043484,0.7772056074766355,-0.47197368421052627,False,0.026975488021295457,LOW < NORMAL < HIGH,0.026975488021295457,True,-0.19699551862319337,0.24009932784333338,5000,False
FULL,robustness,13,13_UJ_Fix_MidWeek,USDJPY,Long,LOW,56,3.610526313,0.06447368416071428,1.7474395283897093,58.92857142857143,0.25578947366666666,-0.21002288339130437,False,0.003021052679285721,LOW < HIGH < NORMAL,0.04113573408928571,True,-0.09977143300612686,0.09825710330269449,5000,False
FULL,robustness,13,13_UJ_Fix_MidWeek,USDJPY,Long,NORMAL,76,8.026315787,0.10560941824999999,2.8643031774309247,67.10526315789474,0.24179566560784316,-0.17221052636,False,0.003021052679285721,LOW < HIGH < NORMAL,0.04113573408928571,True,-0.09977143300612686,0.09825710330269449,5000,False
FULL,robustness,13,13_UJ_Fix_MidWeek,USDJPY,Long,HIGH,75,5.062105263,0.06749473684,2.0739169272860556,58.666666666666664,0.22217703347727272,-0.15205432935483873,False,0.003021052679285721,LOW < HIGH < NORMAL,0.04113573408928571,True,-0.09977143300612686,0.09825710330269449,5000,False
FULL,robustness,14,14_UJ_Sat_3rd,USDJPY,Short,LOW,24,11.511111114,0.47962962975,4.906485671730036,66.66666666666666,0.9036111113125,-0.368333333375,False,-0.18132897598529413,HIGH < NORMAL < LOW,0.18132897598529413,False,-0.6867887893522997,0.3223244109551407,5000,False
FULL,robustness,14,14_UJ_Sat_3rd,USDJPY,Short,NORMAL,25,9.413333336,0.37653333344000006,2.6553341152605316,68.0,0.8882352942941176,-0.710833333375,False,-0.18132897598529413,HIGH < NORMAL < LOW,0.18132897598529413,False,-0.6867887893522997,0.3223244109551407,5000,False
FULL,robustness,14,14_UJ_Sat_3rd,USDJPY,Short,HIGH,17,5.071111114,0.2983006537647059,2.6953937608823906,64.70588235294117,0.7329292930909092,-0.4985185183333333,True,-0.18132897598529413,HIGH < NORMAL < LOW,0.18132897598529413,False,-0.6867887893522997,0.3223244109551407,5000,False
FULL,robustness,15,15_UJ_Sat_Aug,USDJPY,Short,LOW,16,4.725,0.2953125,1.6517241379310343,50.0,1.496875,-0.90625,True,0.4015056818181818,NORMAL < LOW < HIGH,0.6405218855218855,False,-0.45462909226190473,0.9027602092760182,4984,False
FULL,robustness,15,15_UJ_Sat_Aug,USDJPY,Short,NORMAL,27,1.5200000000000002,0.0562962962962963,1.1081850533807829,40.74074074074074,1.4154545454545455,-0.878125,False,0.4015056818181818,NORMAL < LOW < HIGH,0.6405218855218855,False,-0.45462909226190473,0.9027602092760182,4984,False
FULL,robustness,15,15_UJ_Sat_Aug,USDJPY,Short,HIGH,22,15.33,0.6968181818181818,3.427553444180522,68.18181818181817,1.443,-0.9021428571428572,False,0.4015056818181818,NORMAL < LOW < HIGH,0.6405218855218855,False,-0.45462909226190473,0.9027602092760182,4984,False
FULL,robustness,16,16_UJ_T10A,USDJPY,Long,LOW,25,4.015555555,0.1606222222,2.087244283942892,64.0,0.4818055555,-0.41037037033333335,False,0.08337777780000002,LOW < HIGH < NORMAL,0.1676317460857143,False,-0.3505285713174055,0.5841851499648094,5000,False
FULL,robustness,16,16_UJ_T10A,USDJPY,Long,NORMAL,14,4.595555556,0.3282539682857143,3.3824884793558474,78.57142857142857,0.5931313131818182,-0.642962963,True,0.08337777780000002,LOW < HIGH < NORMAL,0.1676317460857143,False,-0.3505285713174055,0.5841851499648094,5000,False
FULL,robustness,16,16_UJ_T10A,USDJPY,Long,HIGH,15,3.66,0.24400000000000002,2.70144628107962,60.0,0.6456790123333334,-0.3585185185,True,0.08337777780000002,LOW < HIGH < NORMAL,0.1676317460857143,False,-0.3505285713174055,0.5841851499648094,5000,False
FULL,robustness,17,17_EA_1B_Wed_Short,EURAUD,Short,LOW,112,22.112857143,0.19743622449107143,1.7966136585796415,59.82142857142857,0.7443496801791044,-0.6168571428666667,False,-0.04305791764847883,NORMAL < HIGH < LOW,0.07876955781488094,True,-0.27123113535872717,0.1677716635897812,5000,False
FULL,robustness,17,17_EA_1B_Wed_Short,EURAUD,Short,NORMAL,105,12.460000001000001,0.11866666667619048,1.5628186100878334,58.0952380952381,0.5671896955737705,-0.5031493506590908,False,-0.04305791764847883,NORMAL < HIGH < LOW,0.07876955781488094,True,-0.27123113535872717,0.1677716635897812,5000,False
FULL,robustness,17,17_EA_1B_Wed_Short,EURAUD,Short,HIGH,108,16.672857139,0.1543783068425926,1.631615975588323,59.25925925925925,0.6729687499531251,-0.5999350649545454,False,-0.04305791764847883,NORMAL < HIGH < LOW,0.07876955781488094,True,-0.27123113535872717,0.1677716635897812,5000,False
FULL,robustness,18,18_EA_2_MonWed_Short,EURAUD,Short,LOW,304,17.334444444000003,0.05702119882894738,1.2282817049839434,51.973684210526315,0.5903094233227848,-0.5236858237310344,False,-0.021772521568629917,HIGH < NORMAL < LOW,0.021772521568629917,True,-0.13804498380956937,0.09412815101067876,5000,False
FULL,robustness,18,18_EA_2_MonWed_Short,EURAUD,Short,NORMAL,263,13.851111119,0.05266582174524715,1.1919115723813716,53.2319391634981,0.6144682540214286,-0.5867841011707318,False,-0.021772521568629917,HIGH < NORMAL < LOW,0.021772521568629917,True,-0.13804498380956937,0.09412815101067876,5000,False
FULL,robustness,18,18_EA_2_MonWed_Short,EURAUD,Short,HIGH,315,11.103333337,0.03524867726031746,1.1195964383601764,52.06349206349207,0.6338008130121952,-0.6148344370662252,False,-0.021772521568629917,HIGH < NORMAL < LOW,0.021772521568629917,True,-0.13804498380956937,0.09412815101067876,5000,False
