Variant,Trades,Weeks,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,TriggerRate,SLRate,TPRate,TimeExitRate,DynamicSLRate,WorstDayR,WorstWeekR,MaxDDR,DeltaTotalR,AvgDeltaR
R0,15837,599,1360.253363762,0.08589084825168908,1.406454064792715,0.5461261602576245,0.544211848393109,-0.4674724001941612,0.0,0.11662562353981183,0.05379806781587422,0.829576308644314,0.0,-12.116818182,-14.455835720000001,29.211511085999632,,
ATR,15837,599,1218.3946676169999,0.07693342600347287,1.3589057249132768,0.5453052977205278,0.5341759098403196,-0.4733335875298383,0.0,0.11908821115110185,0.04843088968870367,0.8324808991601945,0.0,-11.943187067,-16.81355057,36.27112933299958,-141.85869614500007,-0.008957422248216208
RV,15837,599,1187.2407887539998,0.07496626815394329,1.3398654152253646,0.5427164235650691,0.5445617484657358,-0.4843015997932899,0.0,0.1280545557870809,0.05392435436004294,0.8180210898528761,0.0,-11.9201817,-16.634307140000004,38.649438146999785,-173.0125750080001,-0.010924580097745792
