Method,Candidate,Period,Trades,StartCapital,FinalCapital,NetProfitJPY,ReturnPct,MaxDDJPY,MaxDDPct,WorstDayPct,WorstWeekPct,MoneyRoMD,MoneyPF,SkippedTrades,MeanNominalRiskPct,MeanExecutedRiskPct,MeanNominalRiskDeltaVsR0,FinalCapitalDeltaVsR0
robustness,R0_FIXED_090,ALL,16298,500000,63209432309.90131357886024953996356477434,63208932309.90131357886024953996356477434,12641786.46198026271577204990799271295487,11220414274.71786207577947217041979966786,22.48912162462093580012084622881394805188,-10.79999999999999999999999999999999999995,-13.01025214785214785214785214785214785214,5.633386679164366736615102080386326432253,1.273509444851101902636256476102013657487,0,0.90,0.90,0.00,0E-29
robustness,R0_FIXED_090,Historical,9756,500000,328319119.1445947339136640678278815594885,327819119.1445947339136640678278815594885,65563.82382891894678273281356557631189770,22653381.5725619719818022271130248856763,22.48912162462093580012084622881394805188,-10.79999999999999999999999999999999999995,-13.01025214785214785214785214785214785214,14.47108980593223668923181649511554887233,1.316184576184125558245818926488523216772,0,0.90,0.90,0.00,0E-31
robustness,R0_FIXED_090,RecentA,2767,500000,7939790.172490333287908664771067839754932,7439790.172490333287908664771067839754932,1487.958034498066657581732954213567950986,939536.800445310913492910873026241222416,19.03113534427170164287651367273534296207,-9.792000000000000000000000000000000000028,-11.54196148851148851148851148851148851152,7.918572395423049507952300687836740847669,1.491020640197342787568324497623536071591,0,0.90,0.90,0.00,0E-33
robustness,R0_FIXED_090,RecentB,2780,500000,5217243.625448253847286268146778461870236,4717243.625448253847286268146778461870236,943.4487250896507694572536293556923740472,431274.495142928098273343508720341597065,14.49107143461417286724016738174732401568,-3.948032967032967032967032967032967032964,-6.372322106840527893159472106840527893153,10.93791466589026671984036263248271059549,1.470756875822242847708301907929414032708,0,0.90,0.90,0.00,0E-33
robustness,R0_FIXED_090,Monitor2026,995,500000,580959.1371718445531092167790562583437473,80959.1371718445531092167790562583437473,16.19182743436891062184335581125166874946,103127.0485675544328601624115252759967353,15.97977972087418962561467525873085579403,-4.216980894887358599661770074712200985674,-4.857343356643356643356643356643356643365,0.7850427050553224976490693692260760264322,1.076177295231572469677838274662737892074,0,0.90,0.90,0.00,0E-34
robustness,R1_MILD,ALL,16298,500000,92184598174.29683014721839590643409460007,92184098174.29683014721839590643409460007,18436819.63485936602944367918128681892001,14623511834.10503310298626118758256704523,22.17606146521174483827708315518936507591,-12.89999999999999999999999999999999999995,-13.01025214785214785214785214785214785214,6.303827645511564439776124666859107287476,1.285357420694190766129782830033865530955,0,0.8833537857405816664621425941833353785741,0.8833537857405816664621425941833353785741,-0.0166462142594183335378574058166646214259,28975165864.39551656835814636647052982573
robustness,R1_MILD,Historical,9756,500000,389069227.7873267299510689706029855297899,388569227.7873267299510689706029855297899,77713.84555746534599021379412059710595798,25801258.8102233766429016335543519918882,22.17606146521174483827708315518936507591,-12.89999999999999999999999999999999999995,-13.01025214785214785214785214785214785214,15.06008798428709913225104728821468206468,1.322132555500997307396339254707169877167,0,0.8810168101681016810168101681016810168102,0.8810168101681016810168101681016810168102,-0.0189831898318983189831898318983189831898,60750108.6427319960374049027751039703014
robustness,R1_MILD,RecentA,2767,500000,9055477.172124430288638705384010510111808,8555477.172124430288638705384010510111808,1711.095434424886057727741076802102022362,861786.347381727475865861781897366437623,15.63399647454236984545930706848891407107,-8.104000000000000000000000000000000000018,-8.926445443445443445443445443445443445463,9.927608157309075453899912767290975546415,1.544802058511512071526397810008874549717,0,0.9058185760751716660643295988435128297795,0.9058185760751716660643295988435128297795,0.0058185760751716660643295988435128297795,1115686.999634097000730040612942670356876
robustness,R1_MILD,RecentB,2780,500000,5475718.695075424292416274174699263750692,4975718.695075424292416274174699263750692,995.1437390150848584832548349398527501384,499912.825355904415085580971414104272216,15.07038844103132332368132438998165638738,-3.670364953596447709644009039852165418197,-6.399040659340659340659340659340659340631,9.953172718729602861681040359604910157363,1.478054497543904170473332801168468348369,0,0.8742086330935251798561151079136690647482,0.8742086330935251798561151079136690647482,-0.0257913669064748201438848920863309352518,258475.069627170445130006027920801880456
robustness,R1_MILD,Monitor2026,995,500000,597295.2044627001609883514634734442383687,97295.2044627001609883514634734442383687,19.45904089254003219767029269468884767374,94750.6813925655754719154362816081243729,14.57995156486544064721585681461713405702,-4.738718581891906693378345278388675910447,-4.926650427350427350427350427350427350424,1.026854931624103723636147884670812709949,1.092158052924041352207148141414955006484,0,0.8693467336683417085427135678391959798995,0.8693467336683417085427135678391959798995,-0.0306532663316582914572864321608040201005,16336.0672908556078791346844171858946214
