Candidate,AllProfitPass,Reset3of4Pass,RecentPass,DrawdownPass,ValidationPass,ResetNonnegativeCount,PrimaryFinalCapitalDelta,RobustnessFinalCapitalDelta,RobustnessConsistent,Decision,Role,LiveAdopted
R1_MILD,True,True,True,True,True,4,31390043499.89406827056020961431672409896,28975165864.39551656835814636647052982573,True,ECONOMIC_VALUE_CANDIDATE,RISK_ALLOCATION,False
R2_MODERATE,True,True,True,True,True,4,73830279303.01690795666227967105365554036,67358422541.26225313142912701687516826326,True,ECONOMIC_VALUE_CANDIDATE,RISK_ALLOCATION,False
F1_Q1_OFF,False,False,True,True,True,1,-52144664236.82865549942150037136595331454,-49738202464.37211523020489901816986747604,False,NOT_CANDIDATE,FILTER_CONTROL,False
