Variant,ReferenceTrades,FormalTrades,MissingExecutionCount,MissingFormalExecutionCount,MissingFraction,Status
NP50,16298,15837,2,2,0.00012628654416871882,FAIL
NP75,16298,15837,0,0,0,PASS
