StrategyNo,Strategy,Pair,Direction,EntryTime,ScheduledExitTime,PlannedMinutes,Variant,CheckpointTime,CheckpointRawHelsinki,FallbackWindowEnd,PreviousM1,NextM1,NextM1DelayMinutes,EntryPrice,CheckpointMFE_R,PriorProgressReached,PriorSLHit,PriorTPHit,AvailableCheckpointBars,SourceFilename,SourceSHA256,Status
19,19_EA_3_WedThu_Long,EA,Long,2021-06-17 20:56:00,2021-06-18 10:00:00,784,NP50,2021-06-18 03:28:00,2021-06-17 21:28:00,2021-06-18 03:32:00,2021-06-18 03:24:00,2021-06-18 04:32:00,64,1.5775000000000001,0.15444444444442001,False,False,False,0,EURAUD_M1_202101040002_202212302354.csv,83a444c425953805d57b8b854966e136982159f2e5aa034b044d42a0c4abd726,CONFIRMED_MISSING_EXECUTION
20,20_EA_1A_MonTue_Short,EA,Short,2025-01-07 10:01:00,2025-01-07 16:00:00,359,NP50,2025-01-07 13:00:00,2025-01-07 06:00:00,2025-01-07 13:04:00,2025-01-07 11:02:00,2025-01-07 14:03:00,63,1.66085,0.17399999999998528,False,False,False,0,EURAUD_M1_202501010000_202512310000.csv,f76a558640c5950395b3a5cda30ed34cf21d148877e9485cbcc723e70ac0ea31,CONFIRMED_MISSING_EXECUTION
