Label,Trades,FinalEquity,NetProfitYen,ReturnPct,MaxDDYen,MaxDDPct,RoMD_Yen,WinRate,PF_Yen,AvgYenPnL,WorstTradeYen,BestTradeYen
Base_v1_2_Full_2015_2026Q1,15265,6550427564991637.0,6550427564491637.0,1310085512898.33,1037057763728614.0,42.95,6.32,54.48,1.325,429114154241.0,-149975772270044.0,280535001660683.0
Base_v1_2_StrictIS_2015_2024,13724,517292965551638.0,517292965051638.0,103458593010.33,50769879924488.0,42.95,10.19,54.46,1.518,37692579791.0,-8669572658385.0,23990833773371.0
Base_v1_2_StrictOOS_2025_2026Q1,1541,6033134599939999.0,6033134599439999.0,1206626919888.0,1037057763728613.0,85.48,5.82,54.7,1.315,3915077611577.0,-149975772270044.0,280535001660683.0
Base_v1_2_Q1_2026,348,1814006456724022.0,1814006456224022.0,362801291244.8,1037057763728618.0,289.68,1.75,52.01,1.194,5212662230529.0,-149975772270044.0,280535001660683.0
