Label,Trades,WinRate,PF,TotalPips,MaxDD,RoMD,AvgPips,WinsPips,LossPips
2026-01,57,56.14,1.125,115.4,415.0,0.28,2.02,1038.2,-922.8
2026-02,54,42.59,1.022,23.9,422.3,0.06,0.44,1096.0,-1072.1
2026-03,72,55.56,1.125,157.9,469.5,0.34,2.19,1421.4,-1263.5
