Label,Trades,WinRate,PF,TotalPips,MaxDD,RoMD,AvgPips,WinsPips,LossPips
AJ,36,47.22,0.944,-40.7,280.0,-0.15,-1.13,689.3,-730.0
EJ,55,56.36,0.977,-16.9,245.1,-0.07,-0.31,718.1,-735.0
UJ,24,54.17,1.026,7.7,125.1,0.06,0.32,303.9,-296.2
GJ,68,50.0,1.232,347.1,301.7,1.15,5.1,1844.3,-1497.2
