Label,Trades,WinRate,PF,TotalPips,MaxDD,RoMD,AvgPips,WinsPips,LossPips
Short,66,45.45,0.948,-75.8,412.7,-0.18,-1.15,1381.3,-1457.1
Long,117,55.56,1.207,373.0,342.9,1.09,3.19,2174.3,-1801.3
