StrategyNo,EntryTime,Variant,Direction,Checkpoint,IndependentMFE,IndependentR,Status
4,2015-01-13 00:00:00,NP50,Long,2015-01-13 04:27:00,0.09538461538461171,0.019230769,PASS
4,2026-09-08 00:00:00,NP50,Long,2026-09-08 04:27:00,0.0915384615384395,-0.025384615,PASS
4,2015-01-13 00:00:00,NP75,Long,2015-01-13 06:41:00,0.09538461538461171,-0.067692308,PASS
4,2026-09-08 00:00:00,NP75,Long,2026-09-08 06:41:00,0.0915384615384395,-0.040769231,PASS
5,2015-01-13 09:55:00,NP50,Short,2015-01-13 16:55:00,,-1.0,PASS
5,2026-02-24 09:55:00,NP50,Short,2026-02-24 16:55:00,,-1.0,PASS
5,2015-01-13 09:55:00,NP75,Short,2015-01-13 20:25:00,,-1.0,PASS
5,2026-08-04 09:55:00,NP75,Short,2026-08-04 20:25:00,,-1.0,PASS
4,2015-01-14 00:00:00,NP50,Long,2015-01-14 04:27:00,,-1.0,PASS
4,2026-03-04 00:00:00,NP50,Long,2026-03-04 04:27:00,,0.692307692,PASS
4,2015-01-14 00:00:00,NP75,Long,2015-01-14 06:41:00,,-1.0,PASS
4,2026-03-04 00:00:00,NP75,Long,2026-03-04 06:41:00,,0.692307692,PASS
5,2015-02-10 09:55:00,NP50,Short,2015-02-10 16:55:00,0.1666666666666414,-0.526666667,PASS
5,2026-09-01 09:55:00,NP50,Short,2026-09-01 16:55:00,0.20888888888887575,-0.038888889,PASS
6,2015-03-02 15:45:00,NP50,Long,2015-03-02 19:17:00,0.7419999999999618,-0.332,PASS
6,2026-08-24 15:45:00,NP50,Long,2026-08-24 19:17:00,0.5980000000000132,0.388,PASS
6,2015-03-02 15:45:00,NP75,Long,2015-03-02 21:03:00,0.7419999999999618,-0.332,PASS
6,2026-08-24 15:45:00,NP75,Long,2026-08-24 21:03:00,0.5980000000000132,0.388,PASS
5,2015-03-20 09:55:00,NP75,Short,2015-03-20 20:25:00,0.22222222222220958,-0.358888889,PASS
5,2026-09-01 09:55:00,NP75,Short,2026-09-01 20:25:00,0.20888888888887575,-0.235555556,PASS
6,2015-03-23 15:45:00,NP50,Long,2015-03-23 19:17:00,,-1.0,PASS
6,2026-09-07 15:45:00,NP50,Long,2026-09-07 19:17:00,,-1.0,PASS
6,2015-03-23 15:45:00,NP75,Long,2015-03-23 21:03:00,,-1.0,PASS
6,2026-09-07 15:45:00,NP75,Long,2026-09-07 21:03:00,,-1.0,PASS
6,2015-08-17 15:45:00,NP50,Long,2015-08-17 19:17:00,0.21199999999998909,-0.448,PASS
6,2026-08-31 15:45:00,NP50,Long,2026-08-31 19:17:00,0.031999999999982265,-0.362,PASS
7,2015-08-24 18:02:00,NP75,Long,2015-08-24 21:47:00,,-1.0,PASS
7,2025-03-03 18:02:00,NP75,Long,2025-03-03 21:47:00,,1.923076923,PASS
7,2016-02-08 18:02:00,NP50,Long,2016-02-08 20:32:00,,-1.0,PASS
7,2023-03-13 18:02:00,NP50,Long,2023-03-13 20:32:00,,-1.0,PASS
6,2016-11-07 15:45:00,NP75,Long,2016-11-07 21:03:00,0.04599999999999227,-0.576,PASS
6,2026-08-31 15:45:00,NP75,Long,2026-08-31 21:03:00,0.031999999999982265,-0.646,PASS
4,2016-04-05 00:00:00,NP75,Long,2016-04-05 06:41:00,0.08384615384616066,-0.154615385,PASS
4,2022-08-23 00:00:00,NP75,Long,2022-08-23 06:41:00,0.12846153846153968,-0.013076923,PASS
8,2015-01-05 08:01:00,NP50,Long,2015-01-05 15:23:00,0.1571428571428563,-0.522857143,PASS
8,2026-09-07 08:01:00,NP50,Long,2026-09-07 15:23:00,0.06000000000000227,-0.392857143,PASS
8,2015-01-05 08:01:00,NP75,Long,2015-01-05 19:04:00,0.1571428571428563,-0.157142857,PASS
8,2026-08-31 08:01:00,NP75,Long,2026-08-31 19:04:00,0.06571428571427466,-0.421428571,PASS
