StrategyNo,EntryTime,Variant,CheckpointTime,CheckpointMFE_R,Assessment,Triggered,R0R,NPR,DeltaR,R0CloseTime,NPCloseTime,R0ExitReason,NPExitReason,R0ClosePrice,NPClosePrice,R0Pips,NPPips
19,2021-06-17 20:56:00,NP50,2021-06-18 03:28:00,0.15444444444442001,MISSING_EXECUTION_KEEP_BASELINE,False,-0.054444444,-0.054444444,0.0,2021-06-18 10:00:00,2021-06-18 10:00:00,TimeExit,TimeExit,1.57701,1.57701,-4.9,-4.9
20,2025-01-07 10:01:00,NP50,2025-01-07 13:00:00,0.17399999999998528,MISSING_EXECUTION_KEEP_BASELINE,False,0.228,0.228,0.0,2025-01-07 16:00:00,2025-01-07 16:00:00,TimeExit,TimeExit,1.65971,1.65971,11.4,11.4
