Variant,Period,Category,TriggerCount,Count,Rate
NP75,Recent Combined,TIME_EXIT_NEGATIVE,2127,1372,0.6450399623883404
NP75,Recent Combined,TIME_EXIT_ZERO,2127,7,0.003291020216267043
NP75,ALL,RECOVERED_POSITIVE,5626,1752,0.3114113046569499
NP75,ALL,RECOVERED_HALF_R,5626,89,0.015819409882687523
NP75,ALL,NEVER_RECOVERED,5626,3874,0.6885886953430501
NP75,ALL,LATER_HIT_TP,5626,11,0.0019552079630287948
NP75,ALL,LATER_HIT_SL,5626,205,0.03643796658371845
NP75,ALL,TIME_EXIT_POSITIVE,5626,1741,0.3094560966939211
NP75,ALL,TIME_EXIT_NEGATIVE,5626,3652,0.6491290437255599
NP75,ALL,TIME_EXIT_ZERO,5626,17,0.003021685033771774
