Variant,StrategyNo,Strategy,Trades,TriggerCount,TriggerRate,TriggerWeeks,R0TotalR,NPTotalR,DeltaTotalR,R0AvgR,NPAvgR,AvgDeltaR,Improved,Harmed,Unchanged,AvgGainWhenImproved,AvgDamageWhenHarmed,BaselineTriggerAvgR,NPTriggerAvgR,RecoveryRate,LaterTPRate,R0PF,NPPF,R0WinRate,NPWinRate,R0AvgWinR,NPAvgWinR,R0AvgLossR,NPAvgLossR,R0SLRate,NPSLRate,R0TPRate,NPTPRate,R0TimeExitRate,NPTimeExitRate,R0WorstDayR,NPWorstDayR,R0WorstWeekR,NPWorstWeekR,R0MaxDDR,NPMaxDDR,NPExitRate,PeriodEligible,SampleStatus,DiagnosticLabel
NP50,1,1_EJ_Log1,852,236,0.27699530516431925,208,129.86285713499998,103.56428570700001,-26.298571428000002,0.15242119382042252,0.12155432594718311,-0.03086686787323944,91,144,617,0.2920408163736264,-0.3671825397083333,-0.1647276029279661,-0.2761622276228814,0.3940677966101695,0.0,1.600577427416156,1.4808508662076392,0.5774647887323944,0.5129107981220657,0.703440766550813,0.7298430859725401,-0.6006388889111111,-0.5189810671397591,0.17488262910798122,0.13849765258215962,0.004694835680751174,0.004694835680751174,0.8204225352112676,0.57981220657277,-1.0,-1.0,-2.0,-2.0,9.908571428999998,12.600000002,0.27699530516431925,True,ELIGIBLE,NO_EXPLORATORY_SIGNAL
NP50,2,2_EJ_NightBlitz_20,1029,213,0.20699708454810495,185,112.95111115899999,103.237777827,-9.713333332000001,0.1097678436919339,0.10032825833527698,-0.009439585356656949,94,118,817,0.2577541371382979,-0.28764595104237295,-0.24440271255399063,-0.29000521646009386,0.3333333333333333,0.0,1.3807283787613496,1.353637464108625,0.5607385811467445,0.5228377065111759,0.7099171963102253,0.7345146634498142,-0.6592691358044445,-0.5969961372372189,0.21671525753158405,0.18658892128279883,0.11078717201166181,0.11078717201166181,0.6724975704567542,0.4956268221574344,-1.0,-1.0,-2.0,-2.0,7.624444446,7.560000001000001,0.20699708454810495,True,ELIGIBLE,NO_EXPLORATORY_SIGNAL
NP50,3,3_EJ_NightBlitz_21,1029,485,0.4713313896987366,377,69.061333309,49.85066664599999,-19.210666662999998,0.06711499835665695,0.048445740180758014,-0.01866925817589893,203,282,544,0.1600788177438424,-0.1833569739893617,-0.15199450171958762,-0.19160412370515464,0.354639175257732,0.004123711340206186,1.421095420291097,1.3001509263129827,0.5675413022351797,0.5179786200194364,0.39908447484246573,0.4051332082101313,-0.3727363636340909,-0.33620512819838055,0.056365403304178816,0.0369290573372206,0.09523809523809523,0.09329446064139942,0.8483965014577259,0.39844509232264336,-1.0,-1.0,-2.0,-2.0,5.096,6.214666670000001,0.4713313896987366,True,ELIGIBLE,NO_EXPLORATORY_SIGNAL
NP50,4,4_GJ_Port_Log1,956,626,0.6548117154811716,422,39.222307666999995,32.133846129999995,-7.088461537000001,0.04102751848012552,0.03361280975941422,-0.007414708720711298,276,349,331,0.10977146039492754,-0.10712144586246419,-0.06916195626517573,-0.08048537725079873,0.40894568690095845,0.003194888178913738,1.415094800132389,1.3620715056575035,0.5648535564853556,0.5428870292887029,0.24761538457962962,0.23291685190366088,-0.22823671499033812,-0.20449308757603687,0.02092050209205021,0.013598326359832637,0.06903765690376569,0.06694560669456066,0.9100418410041841,0.26464435146443516,-1.0,-1.0,-2.0,-2.0,2.57846154,3.0930769239999947,0.6548117154811716,True,ELIGIBLE,NO_EXPLORATORY_SIGNAL
NP50,5,5_GJ_Port_Log2,1252,492,0.3929712460063898,350,104.85444444800001,80.390000001,-24.464444447000005,0.08374955626837062,0.06420926517651758,-0.01954029109185304,255,236,761,0.39140305010196075,-0.526577212809322,-0.19209801264634144,-0.2418224932296748,0.3597560975609756,0.0,1.2743595931026266,1.2454906351789583,0.5007987220447284,0.43450479233226835,0.7767676767735247,0.7497365196176471,-0.6124661680913461,-0.46252354049576266,0.20447284345047922,0.11741214057507987,0.0,0.0,0.7955271565495208,0.48961661341853036,-1.0,-1.0,-3.0,-2.112222223,9.45,8.774444443000014,0.3929712460063898,True,ELIGIBLE,NO_EXPLORATORY_SIGNAL
NP50,6,6_GJ_Old_Mon,491,74,0.15071283095723015,74,82.97999999999999,69.38999999999999,-13.59,0.16900203665987779,0.14132382892057024,-0.027678207739307535,30,44,417,0.40366666666666673,-0.5840909090909091,-0.17486486486486486,-0.35851351351351346,0.36486486486486486,0.0,1.4538394224458542,1.3835863304182467,0.5234215885947047,0.47657841140529533,1.0343190661478598,1.0696068376068377,-0.7813675213675214,-0.7038832684824903,0.32179226069246436,0.2830957230142566,0.012219959266802444,0.012219959266802444,0.6659877800407332,0.5539714867617108,-1.0,-1.0,-1.0,-1.0,13.148000000000001,16.258,0.15071283095723015,True,ELIGIBLE,NO_EXPLORATORY_SIGNAL
NP50,7,7_GJ_Mon_Blitz,589,433,0.735144312393888,433,24.834615375000002,10.809999995999995,-14.024615379,0.042164032894736844,0.01835314091001697,-0.023810891984719865,190,240,159,0.18095951421578949,-0.20169551283333334,-0.04882394743879907,-0.0812133593995381,0.4618937644341801,0.0,1.3557614958155406,1.185822336167514,0.5551782682512734,0.48217317487266553,0.2894236650152905,0.242900866721831,-0.2664386377290076,-0.19391282051,0.01867572156196944,0.006791171477079796,0.003395585738539898,0.003395585738539898,0.9779286926994907,0.2546689303904924,-1.0,-1.0,-1.0,-1.0,5.838461538000002,7.234615386999999,0.735144312393888,True,ELIGIBLE,NO_EXPLORATORY_SIGNAL
NP50,8,8_AJ_Core1,590,278,0.4711864406779661,278,54.74999999400001,39.019999988,-15.730000006000001,0.09279661015932204,0.06613559320000001,-0.026661016959322034,124,154,312,0.2694009216370968,-0.31906307979870135,-0.12569886947841727,-0.18228160331294965,0.38848920863309355,0.0035971223021582736,1.456423875724678,1.3596171315375547,0.5661016949152542,0.488135593220339,0.5230667236676646,0.5122371031319444,-0.4685714285585938,-0.3592857142847683,0.1016949152542373,0.06610169491525424,0.03559322033898305,0.03389830508474576,0.8627118644067797,0.4288135593220339,-1.0,-1.0,-1.0,-1.0,4.820000000000002,5.039999999000003,0.4711864406779661,True,ELIGIBLE,NO_EXPLORATORY_SIGNAL
NP50,9,9_AJ_Core2,340,87,0.25588235294117645,87,62.970000006999996,52.746666667999996,-10.223333339,0.1852058823735294,0.15513725490588234,-0.030068627467647057,48,39,253,0.4434722221458334,-0.807948718,-0.19708812262068964,-0.31459770122988506,0.3793103448275862,0.011494252873563218,1.4906116089403243,1.4549348819757666,0.5235294117647059,0.4588235294117647,1.074831460707865,1.0813461538846154,-0.792283950611111,-0.6335701275300547,0.3235294117647059,0.22647058823529412,0.08235294117647059,0.07941176470588235,0.5941176470588235,0.43823529411764706,-1.0,-1.0,-1.0,-1.0,7.919999997999998,7.160000002,0.25588235294117645,True,ELIGIBLE,NO_EXPLORATORY_SIGNAL
NP50,10,10_AJ_SatA,403,292,0.7245657568238213,292,2.8739999999999983,-2.716,-5.59,0.0071315136476426755,-0.006739454094292804,-0.013870967741935483,141,148,114,0.12443971631205673,-0.15632432432432433,-0.07984931506849315,-0.0989931506849315,0.3356164383561644,0.03767123287671233,1.0611541407779386,0.9364945753834643,0.46898263027295284,0.4466501240694789,0.2638624338624339,0.2225111111111111,-0.22167924528301888,-0.19264864864864864,0.01240694789081886,0.007444168734491315,0.15384615384615385,0.12655086848635236,0.8337468982630273,0.141439205955335,-1.0,-1.0,-1.0,-1.0,7.084,8.334,0.7245657568238213,True,ELIGIBLE,NO_EXPLORATORY_SIGNAL
