RiskPct,Period,Candidate,Trades,StartCapital,FinalCapital,NetProfitJPY,ReturnPct,MaxDDJPY,MaxDDPct,WorstDayPct,WorstWeekPct,MoneyRoMD,MoneyPF
0.25,IS,M0_BASELINE,9756,500000,3299729.587338633763800658700444282595461,2799729.587338633763800658700444282595461,559.9459174677267527601317400888565190922,132407.072551648684760902132903899819401,6.700745670219296460705034807741871298910,-3.000000000000000000000000000000000000012,-3.613958929958929958929958929958929958925,21.14486434436143379702542282918127485169,1.351763003677870023764743179208176603846
0.25,IS,M1_MINUS_22,9482,500000,2994774.252928225865965880136928305526001,2494774.252928225865965880136928305526001,498.9548505856451731931760273856611052002,134466.227149926119966643521264300014023,7.091119486178824192380277916467829784487,-2.999999999999999999999999999999999999972,-3.613958929958929958929958929958929958924,18.55316614294994424924927754051779242082,1.345023981848564793487568550096152154186
0.25,IS,DELTA_M1_MINUS_M0,-274,0,-304955.334410407897834778563515977069460,-304955.334410407897834778563515977069460,-60.9910668820815795669557127031954138920,2059.154598277435205741388360400194622,0.390373815959527731675243108725958485577,4.0E-38,1E-39,-2.59169820141148954777614528866348243087,-0.006739021829305230277174629112024449660
0.25,OOS1,M0_BASELINE,5547,3299729.587338633763800658700444282595461,14498690.61606892645925944358961883311196,11198961.02873029269545878488917455051650,339.3902661509518011064445400074815016532,520709.15743091752637093811927505144784,5.455044200054580268952936245104567192992,-2.719999999999999999999999999999999999978,-3.206100413475413475413475413475413475383,21.50713285701348287482374289633030251304,1.489741112795970657621229313067116153777
0.25,OOS1,M1_MINUS_22,5389,2994774.252928225865965880136928305526001,13397454.72156472105643480303539980099345,10402680.46863649519046892289847149546745,347.3610893530615178667214264132783342565,446717.62396008455215073094784397639911,5.320726990012185836238661730210487568853,-2.719999999999999999999999999999999999991,-3.281457556332556332556332556332556332552,23.28692648483016486079788880541828050181,1.518987203364459349443601204263326096463
0.25,OOS1,DELTA_M1_MINUS_M0,-158,-304955.334410407897834778563515977069460,-1101235.89450420540282464055421903211851,-796280.56009379750498986199070305504905,7.9708232021097167602768864057968326033,-73991.53347083297422020717143107504873,-0.134317210042394432714274514894079624139,-1.3E-38,-0.075357142857142857142857142857142857169,1.77979362781668198597414590908797798877,0.029246090568488691822371891196209942686
0.25,OOS2,M0_BASELINE,995,14498690.61606892645925944358961883311196,15200746.78744336425345671185342454545077,702056.17137443779419726826380571233881,4.842203961482891431721668479505374648499,727424.29085416343143927003071395567120,4.653182459911237566216112043457664370422,-1.152132799511004691312230706789375101740,-1.349262043512043512043512043512043512018,0.9651261034327879949094169223858514618737,1.089850551414499399193376170844579163841
0.25,OOS2,M1_MINUS_22,966,13397454.72156472105643480303539980099345,14127353.04926376626818458839209781493621,729898.32769904521174978535669801394276,5.448037279231786985873297575326115141758,500353.93682777404317812292735780500288,3.493171792422989891335585298568380147165,-1.152132799511004691312230706789375101768,-1.322234459984459984459984459984459984465,1.458764034768216970010737573839767505936,1.106356742783109549474899020642590092711
0.25,OOS2,DELTA_M1_MINUS_M0,-29,-1101235.89450420540282464055421903211851,-1073393.73817959798527212346132673051456,27842.15632460741755251709289230160395,0.605833317748895554151629095820740493259,-227070.35402638938826114710335615066832,-1.160010667488247674880526744889284223257,-2.8E-38,0.027027583527583527583527583527583527553,0.4936379313354289751013206514539160440623,0.016506191368610150281522849798010928870
0.25,OOS_COMBINED,M0_BASELINE,6542,3299729.587338633763800658700444282595461,15200746.78744336425345671185342454545077,11901017.20010473048965605315298026285531,360.6664390248834094058836201753013772152,727424.29085416343143927003071395567120,5.455044200054580268952936245104567192992,-2.719999999999999999999999999999999999978,-3.206100413475413475413475413475413475383,16.36048912544589205048449514059098372232,1.387899103117806192383044159501840220020
0.25,OOS_COMBINED,M1_MINUS_22,6355,2994774.252928225865965880136928305526001,14127353.04926376626818458839209781493621,11132578.79633554040221870825516950941021,371.7334882737937340728850661030855821000,500353.93682777404317812292735780500288,5.320726990012185836238661730210487568853,-2.719999999999999999999999999999999999991,-3.281457556332556332556332556332556332552,22.24940782302161830148398221840521802792,1.413743903915579592498050787284686393205
0.25,OOS_COMBINED,DELTA_M1_MINUS_M0,-187,-304955.334410407897834778563515977069460,-1073393.73817959798527212346132673051456,-768438.40376919008743734489781075344510,11.0670492489103246670014459277842048848,-227070.35402638938826114710335615066832,-0.134317210042394432714274514894079624139,-1.3E-38,-0.075357142857142857142857142857142857169,5.88891869757572625099948707781423430560,0.025844800797773400115006627782846173185
0.25,ALL,M0_BASELINE,16298,500000,15200746.78744336425345671185342454545077,14700746.78744336425345671185342454545077,2940.149357488672850691342370684909090154,727424.29085416343143927003071395567120,6.700745670219296460705034807741871298910,-3.000000000000000000000000000000000000012,-3.613958929958929958929958929958929958925,20.20931521297055701028066943053622584230,1.380455694008125614676583212508902512299
0.25,ALL,M1_MINUS_22,15837,500000,14127353.04926376626818458839209781493621,13627353.04926376626818458839209781493621,2725.470609852753253636917678419562987242,500353.93682777404317812292735780500288,7.091119486178824192380277916467829784487,-2.999999999999999999999999999999999999972,-3.613958929958929958929958929958929958924,27.23542685735760228093348644218831819234,1.399188277498076039214080265102821445338
