Candidate,RiskPct,TradingWeekStart,StartCapital,RiskAmount,Trades,NetProfitJPY,ReturnPct,FinalCapital
M0_BASELINE,0.25,2015-01-05 06:00:00,500000,1250.00,22,-3812.371101121101121101121101121101121101,-0.7624742202242202242202242202242202242202,496187.6288988788988788988788988788988789
M0_BASELINE,0.25,2015-01-12 06:00:00,496187.6288988788988788988788988788988789,1240.469072247197247197247197247197247197,35,10267.31893140726037985028994020003011011,2.069241217116217116217116217116217116215,506454.9478302861592587491688390789289890
M0_BASELINE,0.25,2015-01-19 06:00:00,506454.9478302861592587491688390789289890,1266.137369575715398146872922097697322472,23,6802.645209178814618185794355074763865658,1.343188616938616938616938616938616938616,513257.5930394649738769349631941536928547
M0_BASELINE,0.25,2015-01-26 06:00:00,513257.5930394649738769349631941536928547,1283.143982598662434692337407985384232137,27,16300.81732751667228576992227716102040701,3.175952494143283616967827494143283616971,529558.4103669816461627048854713147132617
M0_BASELINE,0.25,2015-02-02 06:00:00,529558.4103669816461627048854713147132617,1323.896025917454115406762213678286783154,18,-2885.731980042315370668794547532125626037,-0.5449317626817626817626817626817626817626,526672.6783869393307920360909237825876357
M0_BASELINE,0.25,2015-02-09 06:00:00,526672.6783869393307920360909237825876357,1316.681695967348326980090227309456469089,42,8421.679109478793945330400136713396068189,1.599034743034743034743034743034743034743,535094.3574964181247373664910604959837039
M0_BASELINE,0.25,2015-02-16 06:00:00,535094.3574964181247373664910604959837039,1337.73589374104531184341622765123995926,24,-620.1195085635514101960717482701511012973,-0.1158897491397491397491397491397491397493,534474.2379878545733271704193122258326026
M0_BASELINE,0.25,2015-02-23 06:00:00,534474.2379878545733271704193122258326026,1336.185594969636433317926048280564581506,25,-2655.105063394828291122908288778905430270,-0.4967695119208277103013945119208277103013,531819.1329244597450360475110234469271723
M0_BASELINE,0.25,2015-03-02 06:00:00,531819.1329244597450360475110234469271723,1329.547832311149362590118777558617317931,20,-488.074072400279297765372336468133894549,-0.09177444777444777444777444777444777444795,531331.0588520594657382821386869787932778
M0_BASELINE,0.25,2015-03-09 06:00:00,531331.0588520594657382821386869787932778,1328.327647130148664345705346717446983194,50,9711.273013493870795954571583792960790251,1.827725455100455100455100455100455100454,541042.3318655533365342367102707717540681
M0_BASELINE,0.25,2015-03-16 06:00:00,541042.3318655533365342367102707717540681,1352.60582966388334133559177567692938517,21,4088.198646439754784331925843468079052598,0.7556153013653013653013653013653013653010,545130.5305119930913185686361142398331207
M0_BASELINE,0.25,2015-03-23 06:00:00,545130.5305119930913185686361142398331207,1362.826326279982728296421590285599582802,31,4530.923386828942222160651084630954655069,0.8311630211893369788106630211893369788112,549661.4538988220335407292871988707877758
M0_BASELINE,0.25,2015-03-30 06:00:00,549661.4538988220335407292871988707877758,1374.15363474705508385182321799717696944,20,-2393.385304373246333696740646082433731994,-0.4354289876789876789876789876789876789877,547268.0685944487872070325465527883540438
M0_BASELINE,0.25,2015-04-06 06:00:00,547268.0685944487872070325465527883540438,1368.17017148612196801758136638197088511,31,1386.770542921717177963064475560762208239,0.2533987678987678987678987678987678987680,548654.8391373705043849956110283491162520
M0_BASELINE,0.25,2015-04-13 06:00:00,548654.8391373705043849956110283491162520,1371.63709784342626096248902757087279063,30,-13562.90626992445608342250197343716587240,-2.472028915528915528915528915528915528913,535091.9328674460483015731090549119503796
M0_BASELINE,0.25,2015-04-20 06:00:00,535091.9328674460483015731090549119503796,1337.729832168615120753932772637279875949,30,1112.562089582295628430533376001391710953,0.2079198024198024198024198024198024198024,536204.4949570283439300036424309133420906
M0_BASELINE,0.25,2015-04-27 06:00:00,536204.4949570283439300036424309133420906,1340.511237392570859825009106077283355226,24,5758.257154402970661325471771933673945259,1.073891996161733003838266996161733003838,541962.7521114313145913291142028470160359
M0_BASELINE,0.25,2015-05-04 06:00:00,541962.7521114313145913291142028470160359,1354.90688027857828647832278550711754009,22,8803.730565316788276187329048954851617872,1.624416167166167166167166167166167166167,550766.4826767481028675164432518018676538
M0_BASELINE,0.25,2015-05-11 06:00:00,550766.4826767481028675164432518018676538,1376.916206691870257168791108129504669134,46,-424.2798634351558250875687990289611105663,-0.07703443778443778443778443778443778443806,550342.2028133129470424288744527729065432
M0_BASELINE,0.25,2015-05-18 06:00:00,550342.2028133129470424288744527729065432,1375.855507033282367606072186131932266358,22,-1548.444813305823878339378589694155478487,-0.2813603618603618603618603618603618603617,548793.7580000071231640894958630787510647
M0_BASELINE,0.25,2015-05-25 06:00:00,548793.7580000071231640894958630787510647,1371.984395000017807910223739657696877662,35,-4631.930754031172897064101047339161817266,-0.8440203057176741387267703057176741387270,544161.8272459759502670253948157395892474
M0_BASELINE,0.25,2015-06-01 06:00:00,544161.8272459759502670253948157395892474,1360.404568114939875667563487039348973118,12,1409.691562032215885306675824615687548918,0.2590574148074148074148074148074148074147,545571.5188080081661523320706403552767963
M0_BASELINE,0.25,2015-06-08 06:00:00,545571.5188080081661523320706403552767963,1363.928797020020415380830176600888191991,44,-526.1311808083467429668723902666411853233,-0.09643670218670218670218670218670218670196,545045.3876271998194093651982500886356110
M0_BASELINE,0.25,2015-06-15 06:00:00,545045.3876271998194093651982500886356110,1362.613469067999548523412995625221589028,21,4408.456217464072786648410751493599474638,0.8088236901986901986901986901986901986899,549453.8438446638921960136090015822350856
M0_BASELINE,0.25,2015-06-22 06:00:00,549453.8438446638921960136090015822350856,1373.634609611659730490034022503955587714,34,1059.591404436618967047805508540405207538,0.1928444793510582984267194793510582984267,550513.4352491005111630614145101226402931
M0_BASELINE,0.25,2015-06-29 06:00:00,550513.4352491005111630614145101226402931,1376.283588122751277907653536275306600733,22,12763.88910563458015697843824482249119483,2.318542707292707292707292707292707292705,563277.3243547350913200398527549451314879
M0_BASELINE,0.25,2015-07-06 06:00:00,563277.3243547350913200398527549451314879,1408.19331088683772830009963188736282872,34,7120.548624426987684618175817965224058607,1.264128399378399378399378399378399378399,570397.8729791620790046580285729103555465
M0_BASELINE,0.25,2015-07-13 06:00:00,570397.8729791620790046580285729103555465,1425.994682447905197511645071432275888866,31,14688.65188894714110579533514517292828826,2.575158952158952158952158952158952158949,585086.5248681092201104533637180832838348
M0_BASELINE,0.25,2015-07-20 06:00:00,585086.5248681092201104533637180832838348,1462.716312170273050276133409295208209587,30,4195.417350199570977379256655942313917206,0.7170593018093018093018093018093018093018,589281.9422183087910878326203740255977520
M0_BASELINE,0.25,2015-07-27 06:00:00,589281.9422183087910878326203740255977520,1473.20485554577197771958155093506399438,30,8269.649265152951549486956245891269393873,1.403343403672351040772093403672351040772,597551.5914834617426373195766199168671459
