Pair,Date,Season,Direction,Endpoint,RawTime,UTC,JST,London,Open,Filename,SourceRow,Pip,X,Y,Status
EURJPY,2015-01-07,winter,UP,Tokyo09,2015-01-07 02:00:00,2015-01-07 00:00:00+00:00,2015-01-07 09:00:00+09:00,2015-01-07 00:00:00+00:00,140.87,EURJPY_M1_201501020900_201612302359.csv,3902,0.01,32.49999999999886,-34.600000000000364,RAW_CSV_DECIMAL_VERIFIED
EURJPY,2015-01-07,winter,UP,Tokyo15,2015-01-07 08:00:00,2015-01-07 06:00:00+00:00,2015-01-07 15:00:00+09:00,2015-01-07 06:00:00+00:00,141.195,EURJPY_M1_201501020900_201612302359.csv,4262,0.01,32.49999999999886,-34.600000000000364,RAW_CSV_DECIMAL_VERIFIED
EURJPY,2015-01-07,winter,UP,London08,2015-01-07 10:00:00,2015-01-07 08:00:00+00:00,2015-01-07 17:00:00+09:00,2015-01-07 08:00:00+00:00,141.538,EURJPY_M1_201501020900_201612302359.csv,4382,0.01,32.49999999999886,-34.600000000000364,RAW_CSV_DECIMAL_VERIFIED
EURJPY,2015-01-07,winter,UP,London11,2015-01-07 13:00:00,2015-01-07 11:00:00+00:00,2015-01-07 20:00:00+09:00,2015-01-07 11:00:00+00:00,141.192,EURJPY_M1_201501020900_201612302359.csv,4562,0.01,32.49999999999886,-34.600000000000364,RAW_CSV_DECIMAL_VERIFIED
EURJPY,2015-01-05,winter,DOWN,Tokyo09,2015-01-05 02:00:00,2015-01-05 00:00:00+00:00,2015-01-05 09:00:00+09:00,2015-01-05 00:00:00+00:00,143.829,EURJPY_M1_201501020900_201612302359.csv,1022,0.01,-13.599999999999568,-44.70000000000027,RAW_CSV_DECIMAL_VERIFIED
EURJPY,2015-01-05,winter,DOWN,Tokyo15,2015-01-05 08:00:00,2015-01-05 06:00:00+00:00,2015-01-05 15:00:00+09:00,2015-01-05 06:00:00+00:00,143.693,EURJPY_M1_201501020900_201612302359.csv,1382,0.01,-13.599999999999568,-44.70000000000027,RAW_CSV_DECIMAL_VERIFIED
EURJPY,2015-01-05,winter,DOWN,London08,2015-01-05 10:00:00,2015-01-05 08:00:00+00:00,2015-01-05 17:00:00+09:00,2015-01-05 08:00:00+00:00,143.915,EURJPY_M1_201501020900_201612302359.csv,1502,0.01,-13.599999999999568,-44.70000000000027,RAW_CSV_DECIMAL_VERIFIED
EURJPY,2015-01-05,winter,DOWN,London11,2015-01-05 13:00:00,2015-01-05 11:00:00+00:00,2015-01-05 20:00:00+09:00,2015-01-05 11:00:00+00:00,143.468,EURJPY_M1_201501020900_201612302359.csv,1682,0.01,-13.599999999999568,-44.70000000000027,RAW_CSV_DECIMAL_VERIFIED
EURJPY,2015-04-01,summer,UP,Tokyo09,2015-04-01 03:00:00,2015-04-01 00:00:00+00:00,2015-04-01 09:00:00+09:00,2015-04-01 01:00:00+01:00,128.842,EURJPY_M1_201501020900_201612302359.csv,90114,0.01,30.39999999999736,7.400000000001228,RAW_CSV_DECIMAL_VERIFIED
EURJPY,2015-04-01,summer,UP,Tokyo15,2015-04-01 09:00:00,2015-04-01 06:00:00+00:00,2015-04-01 15:00:00+09:00,2015-04-01 07:00:00+01:00,129.146,EURJPY_M1_201501020900_201612302359.csv,90474,0.01,30.39999999999736,7.400000000001228,RAW_CSV_DECIMAL_VERIFIED
