Pair,ObservedWeeks,Status,N,Alpha,Beta,PearsonR,R2,XMean,XMedian,XStd,YMean,YMedian,YStd,CILow,CIHigh,PUnadjusted,ValidBootstraps,PAdjusted,A,B,C,D,E,Verdict,HistoricalSign,HistoricalStatus,RecentCombinedSign,RecentCombinedStatus,RecentASign,RecentAStatus,RecentBSign,RecentBStatus,Monitor2026Sign,Monitor2026Status,RobustnessBeta,RobustnessSign
USDJPY,610,OK,3007,0.2583805538097479,0.033938017135402405,0.04603823693547305,0.002119519260126755,-0.9607914865314213,0.0,34.98812804695749,0.2257731958762958,0.7000000000005002,25.792205962569536,-0.011078876110459717,0.07713779382104453,0.1311737652469506,5000,0.655868826234753,FAIL,FAIL,PASS,PASS,PASS,NOT_SUPPORTED,1,OK,1,OK,1,OK,1,OK,1,OK,0.02657946430814426,1
EURJPY,610,OK,3007,0.41754979215974636,-0.01274230672548644,-0.013543281803742292,0.00018342048201557709,-0.40525440638510973,0.7999999999995566,36.72697588256488,0.42271366810776034,1.300000000000523,34.554873669236535,-0.07183400572771956,0.04869253993620877,0.6830633873225355,5000,1.0,FAIL,FAIL,FAIL,FAIL,PASS,NOT_SUPPORTED,-1,OK,1,OK,1,OK,-1,OK,1,OK,-0.016392884033402968,-1
GBPJPY,610,OK,3007,1.0122067280664635,-0.05195962209814325,-0.05555636176568938,0.0030865093326401527,-1.5552377785167888,1.2000000000000455,50.396272379962845,1.0930162953109517,2.000000000001023,47.13359883179296,-0.15123617328865502,0.06040813357592027,0.471505698860228,5000,1.0,FAIL,FAIL,FAIL,FAIL,PASS,NOT_SUPPORTED,-1,OK,1,OK,1,OK,1,OK,1,OK,-0.0433362914920923,-1
AUDJPY,610,OK,3006,-0.16795762289838806,-0.01255645411462342,-0.018892089126503496,0.0003569110315637516,0.011111111111103824,2.049999999999841,35.87745842342733,-0.16809713905521712,0.6000000000000227,23.845624347128574,-0.04918257133618395,0.023641940776837338,0.5016996600679864,5000,1.0,FAIL,FAIL,FAIL,FAIL,PASS,NOT_SUPPORTED,-1,OK,1,OK,1,OK,1,OK,1,OK,-0.019253694242105556,-1
EURAUD,610,OK,3007,0.7585991225390476,-0.029324204111970332,-0.037700277517433496,0.0014213109248915016,-0.20744928500165127,-1.40000000000029,45.60381448140965,0.7646824077153184,0.4999999999988347,35.47176976399943,-0.08515693738635531,0.02122986234537753,0.29774045190961806,5000,1.0,FAIL,FAIL,PASS,PASS,PASS,NOT_SUPPORTED,-1,OK,-1,OK,1,OK,-1,OK,-1,OK,-0.03483506659905495,-1
GBPAUD,608,OK,3001,1.330984863747376,-0.059379017557303355,-0.06627397555392257,0.004392239835721927,-1.3777740753082572,-1.900000000001345,51.39090025653318,1.4127957347551023,0.700000000000145,46.044335549713324,-0.12434653522781554,0.005594933148562932,0.07698460307938412,5000,0.46190761847630474,FAIL,FAIL,FAIL,PASS,PASS,NOT_SUPPORTED,-1,OK,1,OK,1,OK,-1,OK,-1,OK,-0.07388384953249914,-1
