Label,Trades,WinRate,PF,TotalPips,MaxDD,RoMD,AvgPips
Full 2015-01 to 2026-03,8448,54.87,1.432,54996.5,1542.5,35.65,6.51
Legacy IS 2015-01 to 2025-12,8265,54.92,1.441,54609.7,1542.5,35.4,6.61
Legacy OOS 2026-01 to 2026-03,183,52.46,1.119,386.8,506.3,0.76,2.11
Strict IS 2015-01 to 2024-12,7651,54.83,1.441,50055.3,1542.5,32.45,6.54
Strict OOS 2025-01 to 2026-03,797,55.21,1.362,4941.2,958.1,5.16,6.2
