Dataset,Year,Trades,StartEquity,EndEquity,NetProfitYen,ReturnPct,MaxDDYen,MaxDDPct
Filter_v1_Best,2015,1172,500000.0,1614028.0,1114028.0,222.81,451827.0,30.33
Filter_v1_Best,2016,1185,1614028.0,39542784.0,37928756.0,2349.94,7868305.0,25.23
Filter_v1_Best,2017,1168,39542784.0,255461435.0,215918651.0,546.04,37088301.0,39.93
Filter_v1_Best,2018,1175,255461435.0,1552762230.0,1297300795.0,507.83,142227793.0,19.22
Filter_v1_Best,2019,1184,1552762230.0,2701198788.0,1148436558.0,73.96,1133567747.0,41.47
Filter_v1_Best,2020,1201,2701198788.0,19368032373.0,16666833585.0,617.02,2384682535.0,22.9
Filter_v1_Best,2021,1191,19368032373.0,45458500854.0,26090468481.0,134.71,4983349595.0,20.66
Filter_v1_Best,2022,1171,45458500854.0,463008078298.0,417549577444.0,918.53,94090756526.0,22.95
Filter_v1_Best,2023,1172,463008078298.0,5911209002087.0,5448200923788.0,1176.7,1047538713815.0,31.46
Filter_v1_Best,2024,1188,5911209002087.0,32079755374244.0,26168546372158.0,442.69,3295014536223.0,24.17
Filter_v1_Best,2025,1079,32079755374244.0,275760422074126.0,243680666699881.0,759.61,26036936206682.0,21.67
Filter_v1_Best,2026,310,275760422074126.0,340884573822665.0,65124151748540.0,23.62,55637808658394.0,15.34
