Dataset,Strategy,Trades,TotalYenPnL,WinRate,PF_Yen,AvgYenPnL,WorstTradeYen,BestTradeYen
Filter_v1_Best,6_GJ_Old_Mon,388,41652445788066.0,51.8,1.913,107351664402.0,-7001480335254.0,9501850272716.0
Filter_v1_Best,28_GA_China_Demand,503,29676437005685.0,54.27,1.981,58998880727.0,-5690695211738.0,5311315530955.0
Filter_v1_Best,18_EA_2_MonWed_Short,910,29009574854908.0,51.43,1.367,31878653687.0,-7650443053717.0,8207247094262.0
Filter_v1_Best,22_GA_C_2,442,26576731460893.0,52.49,1.688,60128351721.0,-5640581813908.0,8743363489962.0
Filter_v1_Best,26_AJ_China_Demand,450,24361451094265.0,58.67,2.81,54136557987.0,-5690695211738.0,10116791487534.0
Filter_v1_Best,17_EA_1B_Wed_Short,290,21456837843544.0,59.31,2.326,73989096012.0,-4852566736929.0,5459426332205.0
Filter_v1_Best,12_UJ_Short_Core,528,20808640810767.0,57.77,1.255,39410304566.0,-7426175280458.0,9774098505204.0
Filter_v1_Best,25_AU_China_Demand,918,19127235654002.0,53.92,1.325,20835768686.0,-5771460097706.0,5771460097706.0
Filter_v1_Best,4_GJ_Port_Log1,918,17582152783819.0,56.75,1.56,19152671878.0,-2363703830891.0,3804609291489.0
Filter_v1_Best,27_EA_China_Demand,501,16721377000330.0,57.68,1.403,33376001997.0,-5690695211738.0,5690695211738.0
Filter_v1_Best,11_AJ_SatB,249,14611034920389.0,51.0,7.101,58678855102.0,-940640784446.0,5882541424258.0
Filter_v1_Best,19_EA_3_WedThu_Long,666,14055025761377.0,55.86,1.262,21103642284.0,-5742438049098.0,8151972098350.0
Filter_v1_Best,14_UJ_Sat_3rd,65,13795359510942.0,70.77,5.291,212236300168.0,-2451520906185.0,4554886416494.0
Filter_v1_Best,13_UJ_Fix_MidWeek,187,11731744555286.0,60.43,4.256,62736601900.0,-2095723724666.0,2006664465218.0
Filter_v1_Best,23_GA_F_2,416,9314589245671.0,50.96,1.66,22390839533.0,-2318905856829.0,3324233581756.0
Filter_v1_Best,9_AJ_Core2,301,8254374459435.0,53.16,1.304,27423170962.0,-5515208441483.0,15078353129879.0
Filter_v1_Best,3_EJ_NightBlitz_21,105,7069343006561.0,55.24,2.53,67327076253.0,-1372518524888.0,3682753176587.0
Filter_v1_Best,5_GJ_Port_Log2,1196,6139235889499.0,50.5,1.041,5133140376.0,-5771460097706.0,13687063393888.0
Filter_v1_Best,7_GJ_Mon_Blitz,142,4545959161043.0,48.59,1.293,32013796909.0,-1773319585767.0,2525485900551.0
Filter_v1_Best,20_EA_1A_MonTue_Short,738,4349399186240.0,50.81,1.052,5893494832.0,-7650443053717.0,5235439594799.0
Filter_v1_Best,24_GA_D_1,416,3590427879613.0,56.25,1.111,8630836249.0,-5623395993973.0,7382517959040.0
Filter_v1_Best,1_EJ_Log1,889,2876811457424.0,56.81,1.029,3236008389.0,-7650443053717.0,5960143766782.0
Filter_v1_Best,15_UJ_Sat_Aug,62,2216794990090.0,50.0,1.223,35754757905.0,-3102712599592.0,5429747049286.0
Filter_v1_Best,2_EJ_NightBlitz_20,421,2024492609765.0,54.39,1.042,4808771045.0,-5654382423705.0,6476636718023.0
Filter_v1_Best,16_UJ_T10A,58,-516802591717.0,65.52,0.938,-8910389512.0,-5690695211738.0,3661123864269.0
Filter_v1_Best,21_GA_B_3,566,-2104485109559.0,52.3,0.883,-3718171572.0,-1803795412410.0,1547475981320.0
Filter_v1_Best,10_AJ_SatA,353,-2368117474051.0,47.31,0.826,-6708548085.0,-6977204064990.0,2885730048853.0
Filter_v1_Best,8_AJ_Core1,518,-5673498431621.0,55.41,0.865,-10952699675.0,-7650443053717.0,7680787004359.0
