Dataset,TradingWeekStart,WeekStartBalance,RiskAmountYen,Trades,WeekYenPnL,WeekReturnPct,WeekEndBalance
Filter_v1_Best,2015-01-05 06:00:00,500000.0,10000.0,19,-17872.0,-3.57,482128.0
Filter_v1_Best,2015-01-12 06:00:00,482128.0,9643.0,31,86788.0,18.0,568916.0
Filter_v1_Best,2015-01-19 06:00:00,568916.0,11378.0,21,39644.0,6.97,608561.0
Filter_v1_Best,2015-01-26 06:00:00,608561.0,12171.0,23,101538.0,16.68,710098.0
Filter_v1_Best,2015-02-02 06:00:00,710098.0,14202.0,17,-31449.0,-4.43,678649.0
Filter_v1_Best,2015-02-09 06:00:00,678649.0,13573.0,41,74147.0,10.93,752796.0
Filter_v1_Best,2015-02-16 06:00:00,752796.0,15056.0,22,5284.0,0.7,758080.0
Filter_v1_Best,2015-02-23 06:00:00,758080.0,15162.0,23,-32007.0,-4.22,726073.0
Filter_v1_Best,2015-03-02 06:00:00,726073.0,14521.0,16,12552.0,1.73,738626.0
Filter_v1_Best,2015-03-09 06:00:00,738626.0,14773.0,44,124051.0,16.79,862677.0
Filter_v1_Best,2015-03-16 06:00:00,862677.0,17254.0,18,49801.0,5.77,912478.0
Filter_v1_Best,2015-03-23 06:00:00,912478.0,18250.0,27,18801.0,2.06,931279.0
Filter_v1_Best,2015-03-30 06:00:00,931279.0,18626.0,17,-28927.0,-3.11,902352.0
Filter_v1_Best,2015-04-06 06:00:00,902352.0,18047.0,28,11822.0,1.31,914174.0
Filter_v1_Best,2015-04-13 06:00:00,914174.0,18283.0,25,-197225.0,-21.57,716949.0
Filter_v1_Best,2015-04-20 06:00:00,716949.0,14339.0,24,-21392.0,-2.98,695558.0
Filter_v1_Best,2015-04-27 06:00:00,695558.0,13911.0,19,93333.0,13.42,788891.0
Filter_v1_Best,2015-05-04 06:00:00,788891.0,15778.0,18,99802.0,12.65,888693.0
Filter_v1_Best,2015-05-11 06:00:00,888693.0,17774.0,41,-58048.0,-6.53,830645.0
Filter_v1_Best,2015-05-18 06:00:00,830645.0,16613.0,19,11845.0,1.43,842490.0
Filter_v1_Best,2015-05-25 06:00:00,842490.0,16850.0,29,-26594.0,-3.16,815896.0
Filter_v1_Best,2015-06-01 06:00:00,815896.0,16318.0,11,16508.0,2.02,832403.0
Filter_v1_Best,2015-06-08 06:00:00,832403.0,16648.0,39,-58428.0,-7.02,773976.0
Filter_v1_Best,2015-06-15 06:00:00,773976.0,15480.0,16,33335.0,4.31,807310.0
Filter_v1_Best,2015-06-22 06:00:00,807310.0,16146.0,29,-26874.0,-3.33,780436.0
Filter_v1_Best,2015-06-29 06:00:00,780436.0,15609.0,18,99259.0,12.72,879695.0
Filter_v1_Best,2015-07-06 06:00:00,879695.0,17594.0,29,48065.0,5.46,927761.0
Filter_v1_Best,2015-07-13 06:00:00,927761.0,18555.0,27,147654.0,15.92,1075415.0
Filter_v1_Best,2015-07-20 06:00:00,1075415.0,21508.0,24,20427.0,1.9,1095842.0
Filter_v1_Best,2015-07-27 06:00:00,1095842.0,21917.0,25,50601.0,4.62,1146443.0
Filter_v1_Best,2015-08-03 06:00:00,1146443.0,22929.0,17,80801.0,7.05,1227244.0
Filter_v1_Best,2015-08-10 06:00:00,1227244.0,24545.0,20,73403.0,5.98,1300647.0
Filter_v1_Best,2015-08-17 06:00:00,1300647.0,26013.0,14,48479.0,3.73,1349126.0
Filter_v1_Best,2015-08-24 06:00:00,1349126.0,26983.0,17,-178240.0,-13.21,1170886.0
Filter_v1_Best,2015-08-31 06:00:00,1170886.0,23418.0,14,-21326.0,-1.82,1149560.0
Filter_v1_Best,2015-09-07 06:00:00,1149560.0,22991.0,33,273387.0,23.78,1422946.0
Filter_v1_Best,2015-09-14 06:00:00,1422946.0,28459.0,20,-306146.0,-21.51,1116800.0
Filter_v1_Best,2015-09-21 06:00:00,1116800.0,22336.0,26,136520.0,12.22,1253321.0
Filter_v1_Best,2015-09-28 06:00:00,1253321.0,25066.0,15,-72611.0,-5.79,1180710.0
Filter_v1_Best,2015-10-05 06:00:00,1180710.0,23614.0,14,-67254.0,-5.7,1113456.0
Filter_v1_Best,2015-10-12 06:00:00,1113456.0,22269.0,14,54066.0,4.86,1167521.0
Filter_v1_Best,2015-10-19 06:00:00,1167521.0,23350.0,18,-129549.0,-11.1,1037973.0
Filter_v1_Best,2015-10-26 06:00:00,1037973.0,20759.0,15,19841.0,1.91,1057814.0
Filter_v1_Best,2015-11-02 06:00:00,1057814.0,21156.0,17,-12320.0,-1.16,1045494.0
Filter_v1_Best,2015-11-09 06:00:00,1045494.0,20910.0,44,179949.0,17.21,1225442.0
Filter_v1_Best,2015-11-16 06:00:00,1225442.0,24509.0,20,55173.0,4.5,1280616.0
Filter_v1_Best,2015-11-23 06:00:00,1280616.0,25612.0,30,41062.0,3.21,1321677.0
Filter_v1_Best,2015-11-30 06:00:00,1321677.0,26434.0,16,229147.0,17.34,1550824.0
Filter_v1_Best,2015-12-07 06:00:00,1550824.0,31016.0,33,-241990.0,-15.6,1308834.0
Filter_v1_Best,2015-12-14 06:00:00,1308834.0,26177.0,16,257988.0,19.71,1566822.0
Filter_v1_Best,2015-12-21 06:00:00,1566822.0,31336.0,19,47206.0,3.01,1614028.0
Filter_v1_Best,2016-01-04 06:00:00,1614028.0,32281.0,17,145688.0,9.03,1759716.0
Filter_v1_Best,2016-01-11 06:00:00,1759716.0,35194.0,37,439600.0,24.98,2199316.0
Filter_v1_Best,2016-01-18 06:00:00,2199316.0,43986.0,16,-512.0,-0.02,2198803.0
Filter_v1_Best,2016-01-25 06:00:00,2198803.0,43976.0,21,92543.0,4.21,2291346.0
Filter_v1_Best,2016-02-01 06:00:00,2291346.0,45827.0,16,350908.0,15.31,2642254.0
Filter_v1_Best,2016-02-08 06:00:00,2642254.0,52845.0,37,-7115.0,-0.27,2635139.0
Filter_v1_Best,2016-02-15 06:00:00,2635139.0,52703.0,22,379716.0,14.41,3014855.0
Filter_v1_Best,2016-02-22 06:00:00,3014855.0,60297.0,29,236252.0,7.84,3251107.0
Filter_v1_Best,2016-02-29 06:00:00,3251107.0,65022.0,17,-295294.0,-9.08,2955814.0
Filter_v1_Best,2016-03-07 06:00:00,2955814.0,59116.0,35,359667.0,12.17,3315480.0
Filter_v1_Best,2016-03-14 06:00:00,3315480.0,66310.0,19,-466071.0,-14.06,2849409.0
Filter_v1_Best,2016-03-21 06:00:00,2849409.0,56988.0,27,233604.0,8.2,3083013.0
Filter_v1_Best,2016-03-28 06:00:00,3083013.0,61660.0,19,178589.0,5.79,3261602.0
Filter_v1_Best,2016-04-04 06:00:00,3261602.0,65232.0,23,448638.0,13.76,3710241.0
Filter_v1_Best,2016-04-11 06:00:00,3710241.0,74205.0,38,1041585.0,28.07,4751826.0
Filter_v1_Best,2016-04-18 06:00:00,4751826.0,95037.0,23,908404.0,19.12,5660229.0
Filter_v1_Best,2016-04-25 06:00:00,5660229.0,113205.0,23,631355.0,11.15,6291585.0
Filter_v1_Best,2016-05-02 06:00:00,6291585.0,125832.0,19,198953.0,3.16,6490538.0
Filter_v1_Best,2016-05-09 06:00:00,6490538.0,129811.0,41,-495272.0,-7.63,5995266.0
Filter_v1_Best,2016-05-16 06:00:00,5995266.0,119905.0,21,672574.0,11.22,6667839.0
Filter_v1_Best,2016-05-23 06:00:00,6667839.0,133357.0,31,-485321.0,-7.28,6182518.0
Filter_v1_Best,2016-05-30 06:00:00,6182518.0,123650.0,15,395973.0,6.4,6578491.0
Filter_v1_Best,2016-06-06 06:00:00,6578491.0,131570.0,31,1139418.0,17.32,7717909.0
