Period,Pair,Event,N,MeanAlignedPips,MedianAlignedPips,PositiveRate,CILow,CIHigh,ValidBootstraps
Historical,USDJPY,UP_BREAKOUT,341,0.7686217008797807,0.6999999999990791,0.5278592375366569,-0.7931505162321866,2.2502384464110095,5000
Historical,USDJPY,DOWN_BREAKOUT,313,0.24121405750805386,-1.100000000000989,0.4536741214057508,-1.264966264330906,1.8724700540009898,5000
Historical,USDJPY,UP_SWEEP,229,0.3253275109169767,0.6999999999990791,0.5283842794759825,-1.4942800363389706,1.992616487455167,5000
Historical,USDJPY,DOWN_SWEEP,183,0.8792349726775306,1.5999999999991132,0.546448087431694,-0.7727384020619564,2.547868514150909,5000
Historical,EURJPY,UP_BREAKOUT,395,0.2994936708861856,-0.5000000000009663,0.4936708860759494,-1.7230093453084177,2.5138593198127372,5000
Historical,EURJPY,DOWN_BREAKOUT,362,1.1790055248618354,-0.9999999999990905,0.46408839779005523,-1.2893623145979674,3.681558483365677,5000
Historical,EURJPY,UP_SWEEP,259,0.19768339768349114,-0.9999999999990905,0.47876447876447875,-2.261895861601029,2.616814168977128,5000
Historical,EURJPY,DOWN_SWEEP,241,-2.705394190871403,-1.6999999999995907,0.46887966804979253,-5.2168090717300135,-0.305137738297268,5000
Historical,GBPJPY,UP_BREAKOUT,416,0.978846153846134,-1.2999999999991019,0.4855769230769231,-2.3006570901366303,4.37734176530038,5000
Historical,GBPJPY,DOWN_BREAKOUT,417,-0.8860911270983131,-1.4000000000010004,0.47721822541966424,-3.956822077154541,2.188634795285418,5000
Historical,GBPJPY,UP_SWEEP,232,2.387931034482773,0.19999999999953388,0.5,-1.453887554910257,6.4641349972421,5000
Historical,GBPJPY,DOWN_SWEEP,233,1.9957081545064768,2.0999999999986585,0.5236051502145923,-2.386290136141817,6.39337268518524,5000
Historical,AUDJPY,UP_BREAKOUT,331,1.268580060423016,0.9000000000000341,0.5287009063444109,-0.7431704061306414,3.333565330615964,5000
Historical,AUDJPY,DOWN_BREAKOUT,279,0.8999999999999909,0.40000000000048885,0.5125448028673835,-1.3158492148917245,3.059142208353912,5000
Historical,AUDJPY,UP_SWEEP,222,-0.23198198198203984,-0.24999999999977263,0.481981981981982,-2.481235781197782,2.1451222734046134,5000
Historical,AUDJPY,DOWN_SWEEP,193,-0.5139896373057239,-0.19999999999953388,0.48704663212435234,-2.330556229773479,1.3137612561050018,5000
Historical,AUDUSD,UP_BREAKOUT,350,0.31914285714282903,0.4500000000001725,0.5028571428571429,-1.0872745290690184,1.7464249439193558,5000
Historical,AUDUSD,DOWN_BREAKOUT,309,0.8407766990291693,-0.0999999999995449,0.49514563106796117,-0.5223192814673897,2.292458154181235,5000
Historical,AUDUSD,UP_SWEEP,209,0.62153110047844,0.40000000000040004,0.507177033492823,-0.9423774509804117,2.1649814057491894,5000
Historical,AUDUSD,DOWN_SWEEP,218,0.2642201834862839,0.6000000000000449,0.5091743119266054,-1.3080511961721584,1.7899209326273,5000
Historical,EURAUD,UP_BREAKOUT,358,-1.6801675977653487,-1.7999999999984695,0.4664804469273743,-4.51201392048039,1.146232413419979,5000
Historical,EURAUD,DOWN_BREAKOUT,354,-0.1564971751411833,0.8500000000000174,0.5169491525423728,-2.9939034888051252,2.661449693802863,5000
Historical,EURAUD,UP_SWEEP,207,0.6724637681159599,1.5999999999993797,0.5314009661835749,-2.3153097290640337,3.689112126245863,5000
Historical,EURAUD,DOWN_SWEEP,255,0.006666666666718896,-0.5999999999994898,0.49019607843137253,-2.972944664031557,3.2299652840918878,5000
Historical,GBPAUD,UP_BREAKOUT,345,4.564927536231933,3.1999999999987594,0.5391304347826087,0.6506417859010878,8.550897666561957,5000
Historical,GBPAUD,DOWN_BREAKOUT,414,-3.032850241545886,-0.40000000000151026,0.49033816425120774,-6.6354450266399185,0.48300492845783216,5000
Historical,GBPAUD,UP_SWEEP,216,0.31064814814821956,-0.40000000000040004,0.49074074074074076,-4.500051813471533,5.222982976810794,5000
Historical,GBPAUD,DOWN_SWEEP,253,2.5545454545454875,1.2999999999996348,0.5098814229249012,-2.630110935879642,8.375873533599572,5000
RecentA,USDJPY,UP_BREAKOUT,110,0.8500000000001312,1.3500000000007617,0.5181818181818182,-5.1667948717947,5.997330457704535,5000
RecentA,USDJPY,DOWN_BREAKOUT,87,0.3333333333333242,-1.300000000000523,0.47126436781609193,-4.496820652174053,5.522426093642999,5000
RecentA,USDJPY,UP_SWEEP,53,-1.35471698113227,-0.9999999999990905,0.4716981132075472,-8.429934762348744,6.450905263157685,5000
RecentA,USDJPY,DOWN_SWEEP,48,5.6833333333335,3.800000000000381,0.5625,-1.1552349064624465,12.692985119047856,5000
RecentA,EURJPY,UP_BREAKOUT,144,1.5402777777777605,-0.4499999999993065,0.5,-3.8906676586044675,6.1772395833332405,5000
RecentA,EURJPY,DOWN_BREAKOUT,97,1.6103092783504545,-1.300000000000523,0.4845360824742268,-4.5862191910681736,7.7070211676340445,5000
RecentA,EURJPY,UP_SWEEP,67,3.697014925372801,5.099999999998772,0.6119402985074627,-4.898730158730498,14.205459770114649,5000
RecentA,EURJPY,DOWN_SWEEP,73,5.8191780821917485,6.000000000000227,0.5753424657534246,-0.2600148809523816,11.620047269920812,5000
RecentA,GBPJPY,UP_BREAKOUT,117,-3.0333333333331933,1.999999999998181,0.5384615384615384,-12.018519989557532,5.252700226244363,5000
RecentA,GBPJPY,DOWN_BREAKOUT,119,-3.9352941176470764,-7.899999999997931,0.36134453781512604,-10.94854515599359,3.151377091376854,5000
RecentA,GBPJPY,UP_SWEEP,74,-4.097297297297081,-4.200000000000159,0.4594594594594595,-13.215887112886659,4.817433035714499,5000
RecentA,GBPJPY,DOWN_SWEEP,61,-1.4262295081966823,2.5000000000005684,0.5081967213114754,-8.80800547945188,6.33344827586208,5000
RecentA,AUDJPY,UP_BREAKOUT,101,-0.2772277227721799,2.599999999999625,0.5841584158415841,-5.0836165998471765,4.170877976190512,5000
RecentA,AUDJPY,DOWN_BREAKOUT,90,-0.512222222222189,-3.849999999999909,0.45555555555555555,-5.139768518518548,4.474238950112663,5000
RecentA,AUDJPY,UP_SWEEP,80,2.0850000000000612,-0.7499999999993179,0.5,-3.171237769080177,8.29076906028369,5000
RecentA,AUDJPY,DOWN_SWEEP,49,-1.3489795918368825,0.0,0.4897959183673469,-7.370820557491476,4.768225317153827,5000
RecentA,AUDUSD,UP_BREAKOUT,99,0.667676767676746,1.7000000000000348,0.5555555555555556,-1.900045045045115,3.2684226363812483,5000
RecentA,AUDUSD,DOWN_BREAKOUT,96,1.7187500000000189,1.0999999999994348,0.5208333333333334,-1.040428422152601,4.384829277865108,5000
RecentA,AUDUSD,UP_SWEEP,73,1.2589041095890758,1.9000000000002348,0.5616438356164384,-2.122922979797892,4.700036231884132,5000
RecentA,AUDUSD,DOWN_SWEEP,59,-1.0932203389830624,0.49999999999994493,0.5084745762711864,-3.986924228811101,1.8877263157895123,5000
RecentA,EURAUD,UP_BREAKOUT,110,5.577272727272768,5.499999999999394,0.5636363636363636,1.0933170731708428,10.053435852055207,5000
RecentA,EURAUD,DOWN_BREAKOUT,98,0.08163265306132832,-2.949999999999342,0.45918367346938777,-4.935196428571296,5.158537617554855,5000
RecentA,EURAUD,UP_SWEEP,62,6.856451612903233,6.800000000000139,0.5967741935483871,0.8966005756318198,12.983719783273193,5000
RecentA,EURAUD,DOWN_SWEEP,79,2.711392405063291,2.4999999999986144,0.5443037974683544,-2.808999094202699,8.870681818181714,5000
RecentA,GBPAUD,UP_BREAKOUT,100,5.79700000000012,3.149999999999542,0.56,-0.6912781914893553,12.319202496532684,5000
