Period,Pair,Hypothesis,N,Weeks,MeanAlignedPips,MedianAlignedPips,SDAlignedPips,TotalAlignedPips,PositiveRate,NegativeRate,ZeroRate,CILow,CIHigh,RawP,ValidBootstraps,Status
Historical,USDJPY,BREAKOUT_CONTINUATION,654,329,0.5162079510703762,-0.19999999999953388,14.348859984048717,337.60000000002606,0.4923547400611621,0.5076452599388379,0.0,-0.5837809503817254,1.629805545455785,0.34973005398920215,5000,OK
Historical,USDJPY,SWEEP_REVERSAL,412,265,0.571359223300912,1.0500000000000398,12.982470123520987,235.39999999997576,0.5364077669902912,0.46359223300970875,0.0,-0.6793157630846939,1.7691425673422145,0.3629274145170966,5000,OK
Historical,EURJPY,BREAKOUT_CONTINUATION,757,345,0.7200792602378175,-0.7000000000005002,22.794691401253136,545.1000000000279,0.4795244385733157,0.5191545574636723,0.001321003963011889,-0.9324310087189995,2.337148320509705,0.3847230553889222,5000,OK
Historical,EURJPY,SWEEP_REVERSAL,500,294,-1.2015999999999678,-1.2000000000000455,19.796598902240564,-600.7999999999839,0.474,0.526,0.0,-2.915088152495425,0.5118957082651612,0.16956608678264348,5000,OK
Historical,GBPJPY,BREAKOUT_CONTINUATION,833,348,0.04525810324129091,-1.4000000000010004,35.11027312011569,37.69999999999533,0.48139255702280914,0.517406962785114,0.0012004801920768306,-2.1556473898800603,2.3692585162099156,0.9648070385922816,5000,OK
Historical,GBPJPY,SWEEP_REVERSAL,465,276,2.1913978494623927,1.2999999999976808,33.76725311215114,1019.0000000000125,0.5118279569892473,0.4838709677419355,0.004301075268817204,-0.8073224748453287,5.160980226422881,0.14097180563887224,5000,OK
Historical,AUDJPY,BREAKOUT_CONTINUATION,610,311,1.1000000000000256,0.8499999999997954,17.461947368816848,671.0000000000157,0.521311475409836,0.47704918032786886,0.001639344262295082,-0.33360947195598245,2.598259387088215,0.14137172565486902,5000,OK
Historical,AUDJPY,SWEEP_REVERSAL,415,259,-0.3631325301205242,-0.19999999999953388,15.100365187997742,-150.70000000001755,0.4843373493975904,0.5132530120481927,0.0024096385542168677,-1.899790562655927,1.177167471042403,0.6494701059788043,5000,OK
Historical,AUDUSD,BREAKOUT_CONTINUATION,659,323,0.5637329286798233,0.0,13.681783154961396,371.5000000000035,0.4992412746585736,0.4992412746585736,0.0015174506828528073,-0.46443013679999384,1.608219326595347,0.29254149170165966,5000,OK
Historical,AUDUSD,SWEEP_REVERSAL,427,266,0.43911007025762,0.40000000000040004,11.649964925880298,187.50000000000375,0.5081967213114754,0.4918032786885246,0.0,-0.7188668050699377,1.570353743352806,0.4501099780043991,5000,OK
Historical,EURAUD,BREAKOUT_CONTINUATION,712,340,-0.922612359550525,-0.30000000000085514,27.995830158188706,-656.8999999999738,0.49157303370786515,0.5084269662921348,0.0,-2.970044016591034,1.0780764266823415,0.3649270145970806,5000,OK
Historical,EURAUD,SWEEP_REVERSAL,462,291,0.3049783549783921,0.30000000000085514,22.508528080120833,140.90000000001714,0.5086580086580087,0.49134199134199136,0.0,-1.822305520784364,2.5762366913189396,0.8040391921615677,5000,OK
Historical,GBPAUD,BREAKOUT_CONTINUATION,759,330,0.42068511198948655,1.40000000000029,39.699705993802766,319.3000000000203,0.5125164690382081,0.4874835309617918,0.0,-2.3669000931637685,3.209926368130841,0.7664467106578684,5000,OK
Historical,GBPAUD,SWEEP_REVERSAL,469,288,1.5211087420043161,0.1999999999990898,39.16520294655685,713.4000000000243,0.5010660980810234,0.4968017057569296,0.0021321961620469083,-2.1523433540602763,5.453752503003769,0.43431313737252547,5000,OK
RecentA,USDJPY,BREAKOUT_CONTINUATION,197,100,0.6218274111675819,0.0,27.869258916625224,122.50000000001364,0.49746192893401014,0.49746192893401014,0.005076142131979695,-3.337889088298453,4.103300000000016,0.7498500299940012,5000,OK
