Period,Pair,Event,N,RawOutcomeMeanPips
RecentB,GBPJPY,DOWN_BREAKOUT,98,1.4459183673469405
RecentB,GBPJPY,UP_SWEEP,75,3.6466666666668743
RecentB,GBPJPY,DOWN_SWEEP,63,8.225396825396851
RecentB,GBPJPY,BOTH_SIDES,9,-5.59999999999958
RecentB,GBPJPY,NO_BREAK,134,-1.1738805970151007
RecentB,AUDJPY,UP_BREAKOUT,103,-1.0864077669902634
RecentB,AUDJPY,DOWN_BREAKOUT,74,0.02837837837836025
RecentB,AUDJPY,UP_SWEEP,62,-0.19193548387089862
RecentB,AUDJPY,DOWN_SWEEP,42,0.23095238095236714
RecentB,AUDJPY,BOTH_SIDES,3,5.833333333333239
RecentB,AUDJPY,NO_BREAK,223,0.2618834080717949
RecentB,AUDUSD,UP_BREAKOUT,94,0.9159574468085113
RecentB,AUDUSD,DOWN_BREAKOUT,81,0.6172839506172845
RecentB,AUDUSD,UP_SWEEP,60,-1.1150000000000142
RecentB,AUDUSD,DOWN_SWEEP,59,-1.5559322033897682
RecentB,AUDUSD,BOTH_SIDES,3,-1.466666666666283
RecentB,AUDUSD,NO_BREAK,208,-0.6038461538461332
RecentB,EURAUD,UP_BREAKOUT,88,-1.0681818181818772
RecentB,EURAUD,DOWN_BREAKOUT,93,4.619354838709498
RecentB,EURAUD,UP_SWEEP,55,2.6527272727270095
RecentB,EURAUD,DOWN_SWEEP,63,2.52539682539684
RecentB,EURAUD,BOTH_SIDES,0,
RecentB,EURAUD,NO_BREAK,209,0.5617224880383344
RecentB,GBPAUD,UP_BREAKOUT,81,5.025925925925792
RecentB,GBPAUD,DOWN_BREAKOUT,100,4.204000000000163
RecentB,GBPAUD,UP_SWEEP,60,-1.5266666666664908
RecentB,GBPAUD,DOWN_SWEEP,66,2.2515151515147958
RecentB,GBPAUD,BOTH_SIDES,2,27.49999999999808
RecentB,GBPAUD,NO_BREAK,199,3.251758793969852
Monitor2026,USDJPY,UP_BREAKOUT,45,-0.637777777777981
Monitor2026,USDJPY,DOWN_BREAKOUT,22,-5.981818181817935
Monitor2026,USDJPY,UP_SWEEP,13,2.123076923077222
Monitor2026,USDJPY,DOWN_SWEEP,29,-4.724137931034498
Monitor2026,USDJPY,BOTH_SIDES,3,8.33333333333428
Monitor2026,USDJPY,NO_BREAK,64,2.6312499999999517
Monitor2026,EURJPY,UP_BREAKOUT,43,3.311627906977024
Monitor2026,EURJPY,DOWN_BREAKOUT,26,-10.70000000000015
Monitor2026,EURJPY,UP_SWEEP,22,-0.9727272727273957
Monitor2026,EURJPY,DOWN_SWEEP,21,0.4571428571419271
Monitor2026,EURJPY,BOTH_SIDES,7,-2.7999999999995646
Monitor2026,EURJPY,NO_BREAK,57,1.4631578947367978
Monitor2026,GBPJPY,UP_BREAKOUT,48,2.4729166666664546
Monitor2026,GBPJPY,DOWN_BREAKOUT,30,-8.223333333332903
