Group,Method,Period,StrategyNo,Strategy,Regime,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,Flag,EligiblePair,WeakMinusStrongAvgR
Long,robustness,FULL,1,1_EJ_Log1,JPY_WEAK_TREND,351,32.992857138,0.09399674398290598290598290598,1.339587407484027669537089459,0.5783475783475783475783475783,0.6411259676256157635467980296,-0.6564575289864864864864864865,,True,-0.1381171200060239063929100829
Long,robustness,FULL,1,1_EJ_Log1,JPY_STRONG_TREND,271,62.902857141,0.2321138639889298892988929889,2.096141398997099147147189713,0.5940959409594095940959409594,0.7471339840248447204968944099,-0.5216883117,,True,-0.1381171200060239063929100829
Long,robustness,FULL,1,1_EJ_Log1,NEUTRAL_MIXED,182,20.842857142,0.1145211930879120879120879121,1.437559980754029032210878254,0.5549450549450549450549450549,0.6779915134653465346534653465,-0.5880776014567901234567901235,,True,-0.1381171200060239063929100829
Long,robustness,FULL,2,2_EJ_NightBlitz_20,JPY_WEAK_TREND,424,28.537777794,0.06730607970283018867924528302,1.228411860044821514326876901,0.5589622641509433962264150943,0.6475855603122362869198312236,-0.6717204301075268817204301075,,True,-0.06861215311912826829404848548
Long,robustness,FULL,2,2_EJ_NightBlitz_20,JPY_STRONG_TREND,337,45.804444461,0.1359182328219584569732937685,1.526985912807364433039720235,0.5578635014836795252225519288,0.7059692672234042553191489362,-0.5872822822770270270270270270,,True,-0.06861215311912826829404848548
Long,robustness,FULL,2,2_EJ_NightBlitz_20,NEUTRAL_MIXED,207,25.011111119,0.1208266237632850241545893720,1.401076188559957084853111657,0.5797101449275362318840579710,0.7280925926666666666666666667,-0.7167816092068965517241379310,,True,-0.06861215311912826829404848548
Long,robustness,FULL,3,3_EJ_NightBlitz_21,JPY_WEAK_TREND,425,18.149333325,0.04270431370588235294117647059,1.260217931444850104487142517,0.5647058823529411764705882353,0.3662333332958333333333333333,-0.3811293260437158469945355191,,True,-0.02811711484471288515406162465
Long,robustness,FULL,3,3_EJ_NightBlitz_21,JPY_STRONG_TREND,336,23.795999993,0.07082142855059523809523809524,1.495158560445330627290828641,0.5535714285714285714285714286,0.3863082436989247311827956989,-0.3247117117229729729729729730,,True,-0.02811711484471288515406162465
Long,robustness,FULL,3,3_EJ_NightBlitz_21,NEUTRAL_MIXED,207,20.293333330,0.09803542671497584541062801932,1.611318632703417196813074900,0.5893719806763285024154589372,0.4384371584262295081967213115,-0.3905411764470588235294117647,,True,-0.02811711484471288515406162465
Long,robustness,FULL,4,4_GJ_Port_Log1,JPY_WEAK_TREND,388,17.917692304,0.04617961934020618556701030928,1.549130086141190079727362507,0.5721649484536082474226804124,0.2276888426801801801801801802,-0.1989587242134146341463414634,,True,0.02524242366299099569359258776
Long,robustness,FULL,4,4_GJ_Port_Log1,JPY_STRONG_TREND,316,6.616153834,0.02093719567721518987341772152,1.175391014993579730540945613,0.5443037974683544303797468354,0.2577817530581395348837209302,-0.2619604700833333333333333333,,True,0.02524242366299099569359258776
Long,robustness,FULL,4,4_GJ_Port_Log1,NEUTRAL_MIXED,188,11.954615379,0.06358837967553191489361702128,1.779935761785921721585894640,0.5904255319148936170212765957,0.2457865557657657657657657658,-0.1990609391038961038961038961,,True,0.02524242366299099569359258776
Long,robustness,FULL,6,6_GJ_Old_Mon,JPY_WEAK_TREND,204,47.626,0.2334607843137254901960784314,1.706910882859348097132339844,0.5735294117647058823529411765,0.9828888888888888888888888889,-0.7743908045977011494252873563,,True,0.0523357843137254901960784314
Long,robustness,FULL,6,6_GJ_Old_Mon,JPY_STRONG_TREND,160,28.980,0.181125,1.464437962755216513349786852,0.51875,1.100939759036144578313253012,-0.8103636363636363636363636364,,True,0.0523357843137254901960784314
