Group,Method,Period,PooledDelta,EqualWeightedDelta,EligibleStrategies,PositiveStrategies,Support,ControlOnly
Long,primary,FULL,-0.00403973174654126795991443939,-0.02601124431223192649296789325,10,5,NOT_SUPPORTED,False
Long,robustness,FULL,-0.04427055269803377781359137023,-0.04304700496825540989290928974,9,2,NOT_SUPPORTED,False
Short,primary,FULL,0.0074577100704404805242082272,-0.0283689873800557259574070198,7,5,NOT_SUPPORTED,True
Short,robustness,FULL,0.0205143101655519732053489129,0.0302027910647069425806832944,6,5,SUPPORTED,True
