Group,Method,Period,StrategyNo,Strategy,Regime,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,Flag,EligiblePair,WeakMinusStrongAvgR,Aggregation,EligibleStrategies,EligibleIDs
Long,primary,Historical,1,1_EJ_Log1,JPY_WEAK,209,20.721428572,0.09914559125358851674641148325,1.420910594579690814764180751,0.5645933014354066985645933014,0.5928087167288135593220338983,-0.5409890110109890109890109890,,True,-0.00365997861644758433662100775,,,
Long,primary,Historical,1,1_EJ_Log1,JPY_STRONG,277,28.477142854,0.1028055698700361010830324910,1.437984751544732843855029424,0.5703971119133574007220216606,0.5917450271202531645569620253,-0.5463745498403361344537815126,,True,-0.00365997861644758433662100775,,,
Long,primary,Historical,1,1_EJ_Log1,NEUTRAL_ZERO,0,0,,,,,,LOW_SAMPLE,True,-0.00365997861644758433662100775,,,
Long,primary,Historical,2,2_EJ_NightBlitz_20,JPY_WEAK,253,28.562222238,0.1128941590434782608695652174,1.424653913737734165923282783,0.5928853754940711462450592885,0.63881481492,-0.6530097087378640776699029126,,True,0.03710573588180161416297839105,,,
Long,primary,Historical,2,2_EJ_NightBlitz_20,JPY_STRONG,334,25.313333336,0.07578842316167664670658682635,1.288562381275219683936820149,0.5359281437125748502994011976,0.6314835506201117318435754190,-0.5733478576797385620915032680,,True,0.03710573588180161416297839105,,,
Long,primary,Historical,2,2_EJ_NightBlitz_20,NEUTRAL_ZERO,0,0,,,,,,LOW_SAMPLE,True,0.03710573588180161416297839105,,,
Long,primary,Historical,3,3_EJ_NightBlitz_21,JPY_WEAK,253,11.973333334,0.04732542819762845849802371542,1.289304123760069730449750131,0.5810276679841897233201581028,0.3629931972517006802721088435,-0.3904402515283018867924528302,,True,0.00668879158801884888841410581,,,
Long,primary,Historical,3,3_EJ_NightBlitz_21,JPY_STRONG,333,13.531999991,0.04063663660960960960960960961,1.276811040609425763671127476,0.5135135135135135135135135135,0.3650136451812865497076023392,-0.30553333334375,,True,0.00668879158801884888841410581,,,
Long,primary,Historical,3,3_EJ_NightBlitz_21,NEUTRAL_ZERO,0,0,,,,,,LOW_SAMPLE,True,0.00668879158801884888841410581,,,
Long,primary,Historical,4,4_GJ_Port_Log1,JPY_WEAK,229,9.324615382,0.04071884446288209606986899563,1.457917799745388046274083009,0.5764192139737991266375545852,0.2249067599090909090909090909,-0.2121153846458333333333333333,,True,0.01506601046946104343829004826,,,
Long,primary,Historical,4,4_GJ_Port_Log1,JPY_STRONG,304,7.798461534,0.02565283399342105263157894737,1.228812602859287196347707170,0.5592105263157894736842105263,0.2463574660235294117647058824,-0.2543455797761194029850746269,,True,0.01506601046946104343829004826,,,
Long,primary,Historical,4,4_GJ_Port_Log1,NEUTRAL_ZERO,0,0,,,,,,LOW_SAMPLE,True,0.01506601046946104343829004826,,,
Long,primary,Historical,6,6_GJ_Old_Mon,JPY_WEAK,124,6.026,0.04859677419354838709677419355,1.123874522057312009209390289,0.4758064516129032258064516129,0.9266440677966101694915254237,-0.7484,,True,-0.04390637046053966321769121526,,,
Long,primary,Historical,6,6_GJ_Old_Mon,JPY_STRONG,159,14.708,0.09250314465408805031446540881,1.236988817633978924301504947,0.4968553459119496855345911950,0.9717721518987341772151898734,-0.775775,,True,-0.04390637046053966321769121526,,,
Long,primary,Historical,6,6_GJ_Old_Mon,NEUTRAL_ZERO,0,0,,,,,,LOW_SAMPLE,True,-0.04390637046053966321769121526,,,
Long,primary,Historical,7,7_GJ_Mon_Blitz,JPY_WEAK,147,-0.353076925,-0.002401883843537414965986394558,0.9816554093571672765636851370,0.5306122448979591836734693878,0.2422287968333333333333333333,-0.2789409141739130434782608696,,True,-0.04599855739488876631733774591,,,
Long,primary,Historical,7,7_GJ_Mon_Blitz,JPY_STRONG,185,8.065384607,0.04359667355135135135135135135,1.400374216695351571896918285,0.5297297297297297297297297297,0.2878571428163265306122448980,-0.2315473033218390804597701149,,True,-0.04599855739488876631733774591,,,
Long,primary,Historical,7,7_GJ_Mon_Blitz,NEUTRAL_ZERO,0,0,,,,,,LOW_SAMPLE,True,-0.04599855739488876631733774591,,,
Long,primary,Historical,8,8_AJ_Core1,JPY_WEAK,147,4.418571427,0.03005830902721088435374149660,1.158982266712110088580251297,0.5306122448979591836734693878,0.4129670329487179487179487179,-0.4027950310579710144927536232,,True,-0.06127041600504718016238753566,,,
Long,primary,Historical,8,8_AJ_Core1,JPY_STRONG,186,16.987142856,0.09132872503225806451612903226,1.491038982447740357977210515,0.5483870967741935483870967742,0.5057002801078431372549019608,-0.4118367347023809523809523810,,True,-0.06127041600504718016238753566,,,
Long,primary,Historical,8,8_AJ_Core1,NEUTRAL_ZERO,0,0,,,,,,LOW_SAMPLE,True,-0.06127041600504718016238753566,,,
Long,primary,Historical,13,13_UJ_Fix_MidWeek,JPY_WEAK,49,3.635789474,0.07419978518367346938775510204,2.620835289270100751989240041,0.5918367346938775510204081633,0.2027223230344827586206896552,-0.1121578947,,True,0.01021382023700680272108843537,,,
Long,primary,Historical,13,13_UJ_Fix_MidWeek,JPY_STRONG,75,4.798947371,0.06398596494666666666666666667,2.578054691352693001122873365,0.6133333333333333333333333333,0.1704347826521739130434782609,-0.1048638838275862068965517241,,True,0.01021382023700680272108843537,,,
Long,primary,Historical,13,13_UJ_Fix_MidWeek,NEUTRAL_ZERO,0,0,,,,,,LOW_SAMPLE,True,0.01021382023700680272108843537,,,
Long,primary,Historical,16,16_UJ_T10A,JPY_WEAK,14,1.615555555,0.1153968253571428571428571429,1.642793987485781695953021445,0.5714285714285714285714285714,0.516111111,-0.4188888888333333333333333333,LOW_SAMPLE,False,-0.0963809524428571428571428571,,,
Long,primary,Historical,16,16_UJ_T10A,JPY_STRONG,20,4.235555556,0.2117777778,2.407680945442847823284976077,0.7,0.5174603175,-0.5014814815,,False,-0.0963809524428571428571428571,,,
Long,primary,Historical,16,16_UJ_T10A,NEUTRAL_ZERO,0,0,,,,,,LOW_SAMPLE,False,-0.0963809524428571428571428571,,,
Long,primary,Historical,26,26_AJ_China_Demand,JPY_WEAK,134,11.933333337,0.08905472639552238805970149254,1.564668769925215695263420549,0.5671641791044776119402985075,0.4350877193289473684210526316,-0.3707602338947368421052631579,,True,-0.01709245977980228726497383216,,,
Long,primary,Historical,26,26_AJ_China_Demand,JPY_STRONG,154,16.346666671,0.1061471861753246753246753247,1.467195935366599971105850110,0.5584415584415584415584415584,0.5969250646279069767441860465,-0.5145424836323529411764705882,,True,-0.01709245977980228726497383216,,,
Long,primary,Historical,26,26_AJ_China_Demand,NEUTRAL_ZERO,0,0,,,,,,LOW_SAMPLE,True,-0.01709245977980228726497383216,,,
