Pair,Method,Period,UPMean,DOWNMean,UPMinusDOWN,CILow,CIHigh,ValidBootstraps,Status
EURAUD,Primary,Historical,-2.1869565217390408,5.261111111110991,-7.448067632850032,-18.868454637843563,3.8677257522600366,5000,OK
EURAUD,Robustness,Historical,5.797972972973059,5.482142857142753,0.3158301158303063,-10.918210322910909,11.790954310934143,5000,OK
USDJPY,Primary,Historical,-1.0815384615384223,-0.11280487804870389,-0.9687335834897184,-7.522067170370062,5.767049282188478,5000,OK
USDJPY,Robustness,Historical,-1.9894366197182818,0.9541095890411547,-2.9435462087594364,-9.656066347775704,3.673583757704927,5000,OK
EURAUD,Primary,RecentA,-3.1372881355933373,6.058461538461603,-9.195749674054941,-22.674648737078098,3.691115794951578,5000,OK
EURAUD,Robustness,RecentA,-1.0296296296297545,1.8805970149253646,-2.9102266445551193,-17.764505003317513,11.210372988491402,5000,OK
USDJPY,Primary,RecentA,-0.20921052631549822,5.524137931034374,-5.733348457349872,-18.176078690935714,6.577134469697337,5000,OK
USDJPY,Robustness,RecentA,-5.662337662337551,5.9015873015871945,-11.563924963924745,-26.33139564278385,2.8146489431494643,5000,OK
EURAUD,Primary,RecentB,0.4285714285712902,7.8341463414636126,-7.405574912892322,-24.0509354575165,8.219296942291043,5000,OK
EURAUD,Robustness,RecentB,-3.4604651162792255,5.904255319149065,-9.364720435428291,-28.439435029084365,8.861828836797452,5000,OK
USDJPY,Primary,RecentB,5.230909090909057,-2.870689655172057,8.101598746081114,-5.696793969049963,21.713688828482745,5000,OK
USDJPY,Robustness,RecentB,11.50212765957454,-5.359999999999911,16.86212765957445,2.5381802999183773,30.32125225469022,5000,OK
EURAUD,Primary,Monitor2026,5.431250000000194,-0.8615384615386404,6.2927884615388345,-4.7819404761904165,18.100208333333747,5000,INSUFFICIENT_SAMPLE
EURAUD,Robustness,Monitor2026,3.6200000000001786,3.0199999999999476,0.600000000000231,-14.44206249999929,14.039491306390243,5000,INSUFFICIENT_SAMPLE
USDJPY,Primary,Monitor2026,-6.4500000000003865,20.838461538461345,-27.288461538461732,-66.5694999999998,3.2124086452757896,5000,INSUFFICIENT_SAMPLE
USDJPY,Robustness,Monitor2026,14.489999999999554,4.100000000000291,10.389999999999263,-9.64537053571591,35.28906249999946,5000,INSUFFICIENT_SAMPLE
EURAUD,Primary,RecentCombined,-0.6225806451613758,5.914285714285798,-6.536866359447174,-15.274129757858526,2.4860551136768763,5000,OK
EURAUD,Robustness,RecentCombined,-1.5719626168225385,3.4790697674418976,-5.0510323842644365,-15.230289383424854,5.257001004228267,5000,OK
USDJPY,Primary,RecentCombined,1.470212765957563,3.2930232558140453,-1.8228104898564823,-10.98205959824801,7.276802133784552,5000,OK
USDJPY,Robustness,RecentCombined,1.861940298507519,1.0181818181818352,0.8437584803256839,-9.464213469109332,10.611007315521785,5000,OK
EURAUD,Primary,ALL,-1.4465648854961766,5.55665399239541,-7.0032188778915865,-14.297027559175763,0.2176418479831145,5000,OK
EURAUD,Robustness,ALL,2.7054901960784363,4.521561338289926,-1.8160711422114897,-9.401754726890841,5.961208611700947,5000,OK
USDJPY,Primary,ALL,0.24612546125469179,1.386689419795305,-1.1405639585406133,-6.6933011974649474,4.168961987490711,5000,OK
USDJPY,Robustness,ALL,-0.11956521739126275,0.9845323741007584,-1.1040975914920212,-6.798052887809156,4.654799256923352,5000,OK
