Pair,Method,Period,TokyoDirection,N,CalendarWeeks,Mean,Median,Std,PositiveRate,NegativeRate,ZeroRate,TotalAlignedPips,CILow,CIHigh,PUnadjusted,ValidBootstraps,Status,PAdjusted,RecentAMean,RecentAStatus,RecentBMean,RecentBStatus,RobustnessMean,RobustnessStatus,A,B,C,D,E,CellVerdict
EURAUD,Primary,RecentCombined,UP,124,100,-0.6225806451613758,2.0999999999993246,37.262238866158334,0.5080645161290323,0.49193548387096775,0.0,-77.2000000000106,-6.952807539682553,5.784537517531411,0.8460307938412317,5000,OK,1.0,-3.1372881355933373,OK,0.4285714285712902,OK,-1.5719626168225385,OK,FAIL,FAIL,FAIL,FAIL,FAIL,CELL_NO_STRUCTURE
EURAUD,Primary,RecentCombined,DOWN,119,96,5.914285714285798,1.80000000000069,39.17578438684345,0.5126050420168067,0.48739495798319327,0.0,703.80000000001,-0.20587486744440162,12.25908098360657,0.0631873625274945,5000,OK,0.252749450109978,6.058461538461603,OK,7.8341463414636126,OK,3.4790697674418976,OK,PASS,FAIL,FAIL,PASS,PASS,CELL_WEAK
USDJPY,Primary,RecentCombined,UP,141,113,1.470212765957563,4.200000000000159,41.0165833094733,0.574468085106383,0.425531914893617,0.0,207.30000000001638,-4.979167765481249,7.658735774647952,0.6384723055388922,5000,OK,1.0,-0.20921052631549822,OK,5.230909090909057,OK,1.861940298507519,OK,FAIL,FAIL,FAIL,FAIL,PASS,CELL_NO_STRUCTURE
USDJPY,Primary,RecentCombined,DOWN,129,92,3.2930232558140453,3.0000000000001137,43.13511147046879,0.5426356589147286,0.4573643410852713,0.0,424.80000000001183,-3.938471231043601,10.379710184438894,0.3697260547890422,5000,OK,1.0,5.524137931034374,OK,-2.870689655172057,OK,1.0181818181818352,OK,PASS,FAIL,FAIL,FAIL,PASS,CELL_NO_STRUCTURE
