Pair,Role,UPCell,DOWNCell,Verdict,StrongSides,Phase3Disposition
EURAUD,MAIN,CELL_NO_STRUCTURE,CELL_WEAK,WEAK_DIRECTIONAL_STRUCTURE,0,RESEARCH_STOP
USDJPY,SHADOW,CELL_NO_STRUCTURE,CELL_NO_STRUCTURE,SHADOW_NO_STRUCTURE,0,NO_PHASE3
