Candidate,ExcludedStrategy,RiskPct,Trades,StartCapital,FinalCapital,NetProfitJPY,ReturnPct,MaxDDJPY,MaxDDPct,WorstDayPct,WorstWeekPct,MoneyRoMD,MoneyPF,DeltaFinalCapital,DeltaNetProfitJPY
D0_BASELINE,,0.25,995,500000,524211.0198074144571586083423975268732396,24211.0198074144571586083423975268732396,4.842203961482891431721668479505374647920,25085.8615483510525655342774882980809788,4.653182459911237566216112043457664370019,-1.152132799511004691312230706789375101762,-1.349262043512043512043512043512043512042,0.9651261034327879949094169223858514618479,1.089850551414499399193376170844579163841,0E-34,0E-34
D1_MINUS_22,22_GA_C_2,0.25,966,500000,527240.1863961589349293664878766305757157,27240.1863961589349293664878766305757157,5.448037279231786985873297575326115143140,18673.4699697248351611320131524106915852,3.493171792422989891335585298568380146854,-1.152132799511004691312230706789375101766,-1.322234459984459984459984459984459984463,1.458764034768216970010737573839767506423,1.106356742783109549474899020642590092717,3029.1665887444777707581454791037024761,3029.1665887444777707581454791037024761
D2_MINUS_18,18_EA_2_MonWed_Short,0.25,934,500000,518030.5981311989287418323083716800073671,18030.5981311989287418323083716800073671,3.606119626239785748366461674336001473420,24729.6113000997128435423296155408358184,4.635747015610834121303084148323395661873,-1.020192953931370113938391840863093953177,-1.164895299145299145299145299145299145300,0.7291096456144552157119408830510809090292,1.071458939897035747140271838709505846033,-6180.4216762155284167760340258468658725,-6180.4216762155284167760340258468658725
D3_MINUS_20,20_EA_1A_MonTue_Short,0.25,941,500000,525907.3054543580972883661535325545229871,25907.3054543580972883661535325545229871,5.181461090871619457673230706510904597420,23678.5517713541181614450642843956526864,4.386912839401866973492480348724467421387,-1.150529244330818963539939704004529090429,-1.371262043512043512043512043512043512042,1.094125422218612408964958476819728887296,1.101606103610399489453476443191646188082,1696.2856469436401297578111350276497475,1696.2856469436401297578111350276497475
D4_MINUS_23,23_GA_F_2,0.25,968,500000,523750.0559746092973016672429958566539888,23750.0559746092973016672429958566539888,4.750011194921859460333448599171330797760,24736.2357135238213424548616230858097451,4.589340724871645379743679481420196741052,-1.152132799511004691312230706789375101762,-1.330928710178710178710178710178710178707,0.9601321821826205029526040784683720407690,1.089249213491475300869133696636130289798,-460.9638328051598569410994016702192508,-460.9638328051598569410994016702192508
D0_BASELINE,,1.0,995,500000,588769.8545127859248783234647910214631865,88769.8545127859248783234647910214631865,17.75397090255718497566469295820429263730,116728.1154380987105375298386984560838665,17.62714151192784859490730246601260256904,-4.697609947748426986010014373402830152336,-5.397048174048174048174048174048174048172,0.7604839175173770366242218932982978216052,1.074202653826186533998262818754964540140,0E-34,0E-34
D1_MINUS_22,22_GA_C_2,1.0,966,500000,602808.9677806658988440870854442613644196,102808.9677806658988440870854442613644196,20.56179355613317976881741708885227288392,86972.6437704319353401239981029775408129,13.56974722701000862733963896120418790459,-4.697609947748426986010014373402830152332,-5.288937839937839937839937839937839937837,1.182083967138386955851486372241260454303,1.091176502585268583091147310373137242797,14039.1132678799739657636206532399012331,14039.1132678799739657636206532399012331
D2_MINUS_18,18_EA_2_MonWed_Short,1.0,934,500000,564284.1488330346648211304904717215741120,64284.1488330346648211304904717215741120,12.85682976660693296422609809434431482240,113009.8251445884767717248892719360274357,17.68720350505036471531302545063949121338,-4.159649452775674825356914902087539537056,-4.659581196581196581196581196581196581191,0.5688368135318094371076537770169231516410,1.058278065130826317226836293251292581330,-24485.7056797512600571929743192998890745,-24485.7056797512600571929743192998890745
D3_MINUS_20,20_EA_1A_MonTue_Short,1.0,941,500000,598067.1551058206562926584243616354155609,98067.1551058206562926584243616354155609,19.61343102116413125853168487232708311218,111254.5341492278788527632984470791453758,16.67889113393954165623476580562080856065,-4.671065322359122475242801007390584806741,-5.485048174048174048174048174048174048168,0.8814665924022590075196039332225454514465,1.086497906943850031781210839353929143669,9297.3005930347314143349595706139523744,9297.3005930347314143349595706139523744
D4_MINUS_23,23_GA_F_2,1.0,968,500000,586868.6409469604597206535703576298623442,86868.6409469604597206535703576298623442,17.37372818939209194413071407152597246884,115192.6318451801622360430186920368999311,17.40603390867763682425001900132127208414,-4.697609947748426986010014373402830152338,-5.323714840714840714840714840714840714857,0.7541162968106555847081894744092643967029,1.073598304191639726689028747880460605382,-1901.2135658254651576698944333916008423,-1901.2135658254651576698944333916008423
D0_BASELINE,,1.5,995,500000,623594.1374961143567512499623452066201722,123594.1374961143567512499623452066201722,24.71882749922287135024999246904132403444,190745.2157913297280992207561008060262985,25.50083086488850027953361486899671293562,-7.138400819451365131765001629838517242035,-8.095572261072261072261072261072261072280,0.6479540626136757588513266925310538307569,1.064796933754351036224409270725231920121,0E-34,0E-34
D1_MINUS_22,22_GA_C_2,1.5,966,500000,646281.2314910380264183421269448891772271,146281.2314910380264183421269448891772271,29.25624629820760528366842538897783544542,143707.1921663347663644158327168672077649,20.11502556127528443943699122124169244488,-7.138400819451365131765001629838517242031,-7.933406759906759906759906759906759906763,1.017911694508121225642813756958971197412,1.081818581799217871742907061918312966685,22687.0939949236696670921645996825570549,22687.0939949236696670921645996825570549
D2_MINUS_18,18_EA_2_MonWed_Short,1.5,934,500000,587725.7665627864312697413938486496022709,87725.7665627864312697413938486496022709,17.54515331255728625394827876972992045418,183156.8555879106973743386002808372266091,25.68511356121372134886455992234248189447,-6.320926043797298714337547853267589448116,-6.989371794871794871794871794871794871793,0.4789652360060323450704056128507115729665,1.050305549305687729139020431558796848138,-35868.3709333279254815085684965570179013,-35868.3709333279254815085684965570179013
D3_MINUS_20,20_EA_1A_MonTue_Short,1.5,941,500000,640012.0025618608967316903538852237850156,140012.0025618608967316903538852237850156,28.00240051237217934633807077704475700312,183319.5600962124992061388405602157126083,24.18800487336778657348725150771173186044,-7.077285323415881899330279038792998897932,-8.227572261072261072261072261072261072265,0.7637592109013228826163754633735466050536,1.077270088111971835856172978418197660476,16417.8650657465399804403915400171648434,16417.8650657465399804403915400171648434
D4_MINUS_23,23_GA_F_2,1.5,968,500000,620737.0075507667344465910284978232694158,120737.0075507667344465910284978232694158,24.14740151015334688931820569956465388316,188363.8114637551933758001270447555756807,25.19999841521625019883400051135019147581,-7.138400819451365131765001629838517242023,-7.985572261072261072261072261072261072271,0.6409777260957519336422586137407907673483,1.064194954925395588781168863423048002596,-2857.1299453476223046589338473833507564,-2857.1299453476223046589338473833507564
D0_BASELINE,,2.0,995,500000,650709.1926875553547127590799382086369831,150709.1926875553547127590799382086369831,30.14183853751107094255181598764172739662,274042.4423925405427319083085170096564414,32.79364523907108762790709329270088251240,-9.643760137816878208689501692686333839150,-10.79409634809634809634809634809634809634,0.5499483633694897729789418596121574184993,1.056110034066823015993554295704038671737,0E-34,0E-34
D1_MINUS_22,22_GA_C_2,2.0,966,500000,682750.5553111778974857811082028642388964,182750.5553111778974857811082028642388964,36.55011106223557949715622164057284777928,208799.1806069161505762906549019846493094,26.46051502665746009578855730395359694682,-9.643760137816878208689501692686333839170,-10.57787567987567987567987567987567987569,0.8752455578607982689391182051194726938808,1.072997577181048915545904379851789138785,32041.3626236225427730220282646556019133,32041.3626236225427730220282646556019133
D2_MINUS_18,18_EA_2_MonWed_Short,2.0,934,500000,604646.4975638792380213400016687551073815,104646.4975638792380213400016687551073815,20.92929951277584760426800033375102147630,261701.8163349689690772320996782580824881,33.13329953490624238873478237158196810409,-8.539376837618643566114805533082068788602,-9.319162393162393162393162393162393162396,0.3998692062187885706093123455811809635354,1.042917013755475808254799028701560299112,-46062.6951236761166914190782694535296016,-46062.6951236761166914190782694535296016
D3_MINUS_20,20_EA_1A_MonTue_Short,2.0,941,500000,675745.2689566065599581362269525144790041,175745.2689566065599581362269525144790041,35.14905379132131199162724539050289580082,265916.6037756572296886220538870043190450,31.18169549083484221535173436252399285749,-9.532551311300470681775321990520376532483,-10.97009634809634809634809634809634809635,0.6609037061291423844304391229101410112750,1.068649411368724243157069003203414595652,25036.0762690512052453771470143058420210,25036.0762690512052453771470143058420210
D4_MINUS_23,23_GA_F_2,2.0,968,500000,646947.4986185294003480399753351844920333,146947.4986185294003480399753351844920333,29.38949972370588006960799506703689840666,270831.3447686234336822791333510039649409,32.43030540278936192878589360921559936738,-9.643760137816878208689501692686333839146,-10.64742968142968142968142968142968142967,0.5425793633453673923664417061372900841496,1.055513729497143105292317595591909946877,-3761.6940690259543647191046030241449498,-3761.6940690259543647191046030241449498
