Candidate,RiskPct,Trades,StartCapital,FinalCapital,NetProfitJPY,ReturnPct,MaxDDJPY,MaxDDPct,WorstDayPct,WorstWeekPct,MoneyRoMD,MoneyPF,DeltaTrades,DeltaStartCapital,DeltaFinalCapital,DeltaNetProfitJPY,DeltaReturnPct,DeltaMaxDDJPY,DeltaMaxDDPct,DeltaWorstDayPct,DeltaWorstWeekPct,DeltaMoneyRoMD,DeltaMoneyPF
D0_BASELINE,1.5,995,500000,623594.1374961143567512499623452066201722,123594.1374961143567512499623452066201722,24.71882749922287135024999246904132403444,190745.2157913297280992207561008060262985,25.50083086488850027953361486899671293562,-7.138400819451365131765001629838517242035,-8.095572261072261072261072261072261072280,0.6479540626136757588513266925310538307569,1.064796933754351036224409270725231920121,0,0,0E-34,0E-34,0E-38,0E-34,0E-38,0E-39,0E-39,0E-40,0E-39
D1_MINUS_22,1.5,966,500000,646281.2314910380264183421269448891772271,146281.2314910380264183421269448891772271,29.25624629820760528366842538897783544542,143707.1921663347663644158327168672077649,20.11502556127528443943699122124169244488,-7.138400819451365131765001629838517242031,-7.933406759906759906759906759906759906763,1.017911694508121225642813756958971197412,1.081818581799217871742907061918312966685,-29,0,22687.0939949236696670921645996825570549,22687.0939949236696670921645996825570549,4.53741879898473393341843291993651141098,-47038.0236249949617348049233839388185336,-5.38580530361321584009662364775502049074,4E-39,0.162165501165501165501165501165501165517,0.3699576318944454667914870644279173666551,0.017021648044866835518497791193081046564
D2_MINUS_18,1.5,934,500000,587725.7665627864312697413938486496022709,87725.7665627864312697413938486496022709,17.54515331255728625394827876972992045418,183156.8555879106973743386002808372266091,25.68511356121372134886455992234248189447,-6.320926043797298714337547853267589448116,-6.989371794871794871794871794871794871793,0.4789652360060323450704056128507115729665,1.050305549305687729139020431558796848138,-61,0,-35868.3709333279254815085684965570179013,-35868.3709333279254815085684965570179013,-7.17367418666558509630171369931140358026,-7588.3602034190307248821558199687996894,0.18428269632522106933094505334576895885,0.817474775654066417427453776570927793919,1.106200466200466200466200466200466200487,-0.1689888266076434137809210796803422577904,-0.014491384448663307085388839166435071983
D3_MINUS_20,1.5,941,500000,640012.0025618608967316903538852237850156,140012.0025618608967316903538852237850156,28.00240051237217934633807077704475700312,183319.5600962124992061388405602157126083,24.18800487336778657348725150771173186044,-7.077285323415881899330279038792998897932,-8.227572261072261072261072261072261072265,0.7637592109013228826163754633735466050536,1.077270088111971835856172978418197660476,-54,0,16417.8650657465399804403915400171648434,16417.8650657465399804403915400171648434,3.28357301314930799608807830800343296868,-7425.6556951172288930819155405903136902,-1.31282599152071370604636336128498107518,0.061115496035483232434722591045518344103,-0.131999999999999999999999999999999999985,0.1158051482876471237650487708424927742967,0.012473154357620799631763707692965740355
D4_MINUS_23,1.5,968,500000,620737.0075507667344465910284978232694158,120737.0075507667344465910284978232694158,24.14740151015334688931820569956465388316,188363.8114637551933758001270447555756807,25.19999841521625019883400051135019147581,-7.138400819451365131765001629838517242023,-7.985572261072261072261072261072261072271,0.6409777260957519336422586137407907673483,1.064194954925395588781168863423048002596,-27,0,-2857.1299453476223046589338473833507564,-2857.1299453476223046589338473833507564,-0.57142598906952446093178676947667015128,-2381.4043275745347234206290560504506178,-0.30083244967225008069961435764652145981,1.2E-38,0.110000000000000000000000000000000000009,-0.0069763365179238252090680787902630634086,-0.000601978828955447443240407302183917525
