Strategy,Pair,Direction,EntryTime,CloseTime,Pips,ExitReason,EntryHour,EntryMinute,SL,TP,PipSize,SpreadPips,SpreadPrice,CumPips,MaxCumPips,Drawdown,PrevDayRangePips,Range24hPips,DayToEntryRangePips,H1_ATR14_Pips,EntryDate,Group,H1_ATR_P70_Threshold,FilterDecision,ATR_to_Threshold_Ratio,TradingWeekStart,Dataset,WeekStartBalance,RiskAmountYen,RMultiple,YenPnL,Equity,PeakEquity,DrawdownYen,DrawdownPct
2_EJ_NightBlitz_20,EJ,Long,2015-01-07 20:56:00,2015-01-08 04:45:00,27.7,TimeExit,20,56,45,70,0.01,1.0,0.01,-240.00000000000009,-50.0,190.00000000000009,158.6,144.6,124.6,30.15,2015-01-07,CrossJPY_16,23.232,Rejected,1.2977789256198347,2015-01-05 06:00:00,Rejected_H1_ATR_P70,500000.0,10000.0,0.6155555555555555,6155.555555555556,483187.2216672217,490000.0,6812.778332778311,1.3903629250567981
1_EJ_Log1,EJ,Long,2015-01-07 13:55:00,2015-01-08 04:55:00,-38.3,TimeExit,13,55,70,250,0.01,1.0,0.01,-278.30000000000007,-50.0,228.30000000000007,158.6,191.5,124.6,32.857,2015-01-07,CrossJPY_16,23.232,Rejected,1.4142992424242424,2015-01-05 06:00:00,Rejected_H1_ATR_P70,500000.0,10000.0,-0.5471428571428572,-5471.428571428572,477715.7930957931,490000.0,12284.20690420689,2.5069810008585494
3_EJ_NightBlitz_21,EJ,Long,2015-01-07 21:56:00,2015-01-08 05:27:00,0.9,TimeExit,21,56,75,70,0.01,1.0,0.01,-277.4000000000001,-50.0,227.4000000000001,158.6,127.8,124.6,30.964,2015-01-07,CrossJPY_16,23.232,Rejected,1.3328168044077136,2015-01-05 06:00:00,Rejected_H1_ATR_P70,500000.0,10000.0,0.012,120.0,477835.7930957931,490000.0,12164.20690420689,2.4824912049401817
19_EA_3_WedThu_Long,EA,Long,2015-01-07 20:56:00,2015-01-08 10:00:00,-18.9,TimeExit,20,56,90,999,0.0001,1.5,0.00015,-296.30000000000007,-50.0,246.30000000000007,158.2,114.6,94.4,28.114,2015-01-07,EA_Rev4,27.414,Rejected,1.0255343984825271,2015-01-05 06:00:00,Rejected_H1_ATR_P70,500000.0,10000.0,-0.21,-2100.0,475735.7930957931,490000.0,14264.20690420689,2.91106263351161
27_EA_China_Demand,EA,Short,2015-01-12 10:00:00,2015-01-12 13:04:00,60.0,TP,10,0,60,60,0.0001,1.5,0.00015,-261.00000000000006,-50.0,211.00000000000009,43.4,29.7,29.7,29.779,2015-01-12,China_Demand,27.414,Rejected,1.086269789158824,2015-01-12 06:00:00,Rejected_H1_ATR_P70,475735.7930957931,9514.715861915862,1.0,9514.715861915862,485250.50895770895,490000.0,4749.491042291047,0.9692838861818462
26_AJ_China_Demand,AJ,Long,2015-01-12 10:00:00,2015-01-12 15:50:00,23.0,TimeExit,10,0,45,80,0.01,1.5,0.015,-168.00000000000006,-50.0,118.00000000000006,47.4,27.7,27.7,21.486,2015-01-12,China_Demand,19.679,Rejected,1.0918237715331065,2015-01-12 06:00:00,Rejected_H1_ATR_P70,475735.7930957931,9514.715861915862,0.5111111111111111,4863.076996090329,490113.5859537993,490113.5859537993,0.0,0.0
25_AU_China_Demand,AU,Long,2015-01-12 10:00:00,2015-01-12 15:50:00,21.8,TimeExit,10,0,40,40,0.0001,1.5,0.00015,-146.20000000000005,-50.0,96.20000000000005,37.1,22.3,22.3,17.607,2015-01-12,China_Demand,15.267,Rejected,1.1532717626252702,2015-01-12 06:00:00,Rejected_H1_ATR_P70,475735.7930957931,9514.715861915862,0.545,5185.520144744145,495299.10609854345,495299.10609854345,0.0,0.0
20_EA_1A_MonTue_Short,EA,Short,2015-01-12 10:01:00,2015-01-12 16:00:00,46.2,TimeExit,10,1,50,125,0.0001,1.5,0.00015,-100.00000000000004,-50.0,50.00000000000004,43.4,29.7,29.7,29.779,2015-01-12,EA_Rev4,27.414,Rejected,1.086269789158824,2015-01-12 06:00:00,Rejected_H1_ATR_P70,475735.7930957931,9514.715861915862,0.924,8791.597456410256,504090.7035549537,504090.7035549537,0.0,0.0
8_AJ_Core1,AJ,Long,2015-01-12 08:01:00,2015-01-12 22:46:00,-43.9,TimeExit,8,1,70,110,0.01,1.5,0.015,-143.90000000000003,-50.0,93.90000000000003,47.4,27.7,27.7,21.143,2015-01-12,CrossJPY_16,19.679,Rejected,1.07439402408659,2015-01-12 06:00:00,Rejected_H1_ATR_P70,475735.7930957931,9514.715861915862,-0.6271428571428571,-5967.086090544376,498123.6174644093,504090.7035549537,5967.086090544355,1.1837326196383327
1_EJ_Log1,EJ,Long,2015-01-12 13:55:00,2015-01-13 04:55:00,-11.2,TimeExit,13,55,70,250,0.01,1.0,0.01,-230.50000000000003,-50.0,180.50000000000003,50.5,36.5,36.5,24.95,2015-01-12,CrossJPY_16,23.232,Rejected,1.0739497245179064,2015-01-12 06:00:00,Rejected_H1_ATR_P70,475735.7930957931,9514.715861915862,-0.16,-1522.3545379065379,496601.2629265028,504090.7035549537,7489.440628450888,1.4857327412772694
4_GJ_Port_Log1,GJ,Long,2015-01-13 00:00:00,2015-01-13 08:55:00,-5.4,TimeExit,0,0,130,90,0.01,2.0,0.02,-235.90000000000003,-50.0,185.90000000000003,152.0,152.0,,35.95,2015-01-13,CrossJPY_16,31.189,Rejected,1.1526499727468018,2015-01-12 06:00:00,Rejected_H1_ATR_P70,475735.7930957931,9514.715861915862,-0.04153846153846154,-395.2266588795819,496206.0362676232,504090.7035549537,7884.667287330492,1.56413661901046
21_GA_B_3,GA,Long,2015-01-12 21:02:00,2015-01-13 09:19:00,100.0,TP,21,2,220,100,0.0001,2.0,0.0002,-135.90000000000003,-50.0,85.90000000000003,47.2,168.4,168.4,34.221,2015-01-12,GA,33.129,Rejected,1.0329620574119351,2015-01-12 06:00:00,Rejected_H1_ATR_P70,475735.7930957931,9514.715861915862,0.45454545454545453,4324.8708463253915,500530.9071139486,504090.7035549537,3559.796441005077,0.7061817279907453
5_GJ_Port_Log2,GJ,Short,2015-01-13 09:55:00,2015-01-13 14:44:00,-90.0,SL,9,55,90,999,0.01,2.0,0.02,-115.90000000000003,-25.90000000000004,90.0,152.0,164.1,78.9,32.936,2015-01-13,CrossJPY_16,31.189,Rejected,1.056013338035846,2015-01-12 06:00:00,Rejected_H1_ATR_P70,475735.7930957931,9514.715861915862,-1.0,-9514.715861915862,491016.1912520327,504090.7035549537,13074.512302920979,2.5936824882341147
26_AJ_China_Demand,AJ,Long,2015-01-13 10:00:00,2015-01-13 15:13:00,80.0,TP,10,0,45,80,0.01,1.5,0.015,-35.900000000000034,-25.90000000000004,10.0,115.6,155.7,78.9,25.036,2015-01-13,China_Demand,19.679,Rejected,1.272219116825042,2015-01-12 06:00:00,Rejected_H1_ATR_P70,475735.7930957931,9514.715861915862,1.7777777777777777,16915.050421183754,507931.24167321646,507931.24167321646,0.0,0.0
4_GJ_Port_Log1,GJ,Long,2015-01-14 00:00:00,2015-01-14 03:40:00,-130.0,SL,0,0,130,90,0.01,2.0,0.02,-119.90000000000003,10.099999999999966,130.0,162.2,162.2,,48.586,2015-01-14,CrossJPY_16,31.189,Rejected,1.557792811568181,2015-01-12 06:00:00,Rejected_H1_ATR_P70,475735.7930957931,9514.715861915862,-1.0,-9514.715861915862,498416.5258113006,507931.24167321646,9514.715861915844,1.8732291068713682
26_AJ_China_Demand,AJ,Long,2015-01-14 10:00:00,2015-01-14 11:00:00,-45.0,SL,10,0,45,80,0.01,1.5,0.015,-164.90000000000003,10.099999999999966,175.0,95.1,118.6,92.1,24.307,2015-01-14,China_Demand,19.679,Rejected,1.2351745515524164,2015-01-12 06:00:00,Rejected_H1_ATR_P70,475735.7930957931,9514.715861915862,-1.0,-9514.715861915862,488901.80994938477,507931.24167321646,19029.431723831687,3.7464582137427365
25_AU_China_Demand,AU,Long,2015-01-14 10:00:00,2015-01-14 11:16:00,-40.0,SL,10,0,40,40,0.0001,1.5,0.00015,-409.9,10.099999999999966,420.0,69.4,68.1,55.4,15.271,2015-01-14,China_Demand,15.267,Rejected,1.0002620030130347,2015-01-12 06:00:00,Rejected_H1_ATR_P70,475735.7930957931,9514.715861915862,-1.0,-9514.715861915862,479387.0940874689,507931.24167321646,28544.14758574753,5.619687320614105
2_EJ_NightBlitz_20,EJ,Long,2015-01-14 20:56:00,2015-01-15 04:17:00,70.0,TP,20,56,45,70,0.01,1.0,0.01,-339.90000000000003,10.099999999999966,350.0,115.4,291.5,278.9,37.579,2015-01-14,CrossJPY_16,23.232,Rejected,1.6175533746556474,2015-01-12 06:00:00,Rejected_H1_ATR_P70,475735.7930957931,9514.715861915862,1.5555555555555556,14800.669118535785,494187.7632060047,507931.24167321646,13743.478467211768,2.705775376591975
3_EJ_NightBlitz_21,EJ,Long,2015-01-14 21:56:00,2015-01-15 04:17:00,70.0,TP,21,56,75,70,0.01,1.0,0.01,-269.90000000000003,10.099999999999966,280.0,115.4,278.9,278.9,39.25,2015-01-14,CrossJPY_16,23.232,Rejected,1.6894800275482094,2015-01-12 06:00:00,Rejected_H1_ATR_P70,475735.7930957931,9514.715861915862,0.9333333333333333,8880.401471121471,503068.16467712616,507931.24167321646,4863.076996090298,0.9574282101786951
