Label,Trades,WinRate,PF,TotalPips,MaxDD,RoMD,AvgPips,WinsPips,LossPips
EJ,55,56.36,0.977,-16.9,245.1,-0.07,-0.31,718.1,-735.0
UJ,24,54.17,1.026,7.7,125.1,0.06,0.32,303.9,-296.2
AU,24,50.0,1.366,78.9,83.0,0.95,3.29,294.6,-215.7
AJ,47,55.32,1.275,225.4,200.0,1.13,4.8,1045.4,-820.0
EA,75,49.33,1.208,277.0,389.0,0.71,3.69,1608.8,-1331.8
GJ,68,50.0,1.232,347.1,301.7,1.15,5.1,1844.3,-1497.2
GA,55,50.91,1.532,439.6,226.0,1.95,7.99,1265.9,-826.3
