Label,Trades,WinRate,PF,TotalPips,MaxDD,RoMD,AvgPips,WinsPips,LossPips
Short,152,46.71,1.103,291.4,458.2,0.64,1.92,3110.0,-2818.6
Long,196,56.12,1.368,1067.4,371.6,2.87,5.45,3971.0,-2903.6
