Label,Trades,WinRate,PF,TotalPips,MaxDD,RoMD,AvgPips,WinsPips,LossPips
CrossJPY_16,184,52.17,1.116,377.2,506.3,0.75,2.05,3635.6,-3258.4
GA,40,55.0,1.646,370.2,232.4,1.59,9.25,942.9,-572.7
China_Demand,64,48.44,1.374,313.6,410.6,0.76,4.9,1151.5,-837.9
EA_Rev4,60,53.33,1.283,297.8,367.2,0.81,4.96,1351.0,-1053.2
