Dataset,RiskPct,TradingWeekStart,WeekStartBalance,RiskAmountYen,Trades,WeekYenPnL,WeekReturnPct,WeekEndBalance
Global_H1_ATR_P70_Risk_1.5pct,0.015,2015-01-05 06:00:00,500000.0,7500.0,8,-4676.0,-0.94,495324.0
Global_H1_ATR_P70_Risk_1.5pct,0.015,2015-01-12 06:00:00,495324.0,7430.0,11,-7157.0,-1.44,488167.0
Global_H1_ATR_P70_Risk_1.5pct,0.015,2015-01-19 06:00:00,488167.0,7323.0,3,-536.0,-0.11,487631.0
Global_H1_ATR_P70_Risk_1.5pct,0.015,2015-01-26 06:00:00,487631.0,7314.0,1,2970.0,0.61,490601.0
Global_H1_ATR_P70_Risk_1.5pct,0.015,2015-02-09 06:00:00,490601.0,7359.0,9,20688.0,4.22,511289.0
Global_H1_ATR_P70_Risk_1.5pct,0.015,2015-02-16 06:00:00,511289.0,7669.0,17,-51.0,-0.01,511238.0
Global_H1_ATR_P70_Risk_1.5pct,0.015,2015-02-23 06:00:00,511238.0,7669.0,15,-3424.0,-0.67,507815.0
Global_H1_ATR_P70_Risk_1.5pct,0.015,2015-03-02 06:00:00,507815.0,7617.0,18,-7647.0,-1.51,500168.0
Global_H1_ATR_P70_Risk_1.5pct,0.015,2015-03-09 06:00:00,500168.0,7503.0,18,36846.0,7.37,537014.0
Global_H1_ATR_P70_Risk_1.5pct,0.015,2015-03-16 06:00:00,537014.0,8055.0,10,18093.0,3.37,555107.0
Global_H1_ATR_P70_Risk_1.5pct,0.015,2015-03-23 06:00:00,555107.0,8327.0,14,-6343.0,-1.14,548764.0
Global_H1_ATR_P70_Risk_1.5pct,0.015,2015-03-30 06:00:00,548764.0,8231.0,7,7244.0,1.32,556008.0
Global_H1_ATR_P70_Risk_1.5pct,0.015,2015-04-06 06:00:00,556008.0,8340.0,24,-10455.0,-1.88,545553.0
Global_H1_ATR_P70_Risk_1.5pct,0.015,2015-04-13 06:00:00,545553.0,8183.0,13,-38399.0,-7.04,507153.0
Global_H1_ATR_P70_Risk_1.5pct,0.015,2015-04-20 06:00:00,507153.0,7607.0,22,2380.0,0.47,509534.0
Global_H1_ATR_P70_Risk_1.5pct,0.015,2015-04-27 06:00:00,509534.0,7643.0,14,50089.0,9.83,559623.0
Global_H1_ATR_P70_Risk_1.5pct,0.015,2015-05-04 06:00:00,559623.0,8394.0,10,26390.0,4.72,586013.0
Global_H1_ATR_P70_Risk_1.5pct,0.015,2015-05-11 06:00:00,586013.0,8790.0,8,15963.0,2.72,601976.0
Global_H1_ATR_P70_Risk_1.5pct,0.015,2015-05-18 06:00:00,601976.0,9030.0,16,-8409.0,-1.4,593567.0
Global_H1_ATR_P70_Risk_1.5pct,0.015,2015-05-25 06:00:00,593567.0,8903.0,23,-21427.0,-3.61,572140.0
Global_H1_ATR_P70_Risk_1.5pct,0.015,2015-06-01 06:00:00,572140.0,8582.0,6,11938.0,2.09,584077.0
Global_H1_ATR_P70_Risk_1.5pct,0.015,2015-06-08 06:00:00,584077.0,8761.0,12,-30552.0,-5.23,553525.0
Global_H1_ATR_P70_Risk_1.5pct,0.015,2015-06-15 06:00:00,553525.0,8303.0,9,-9605.0,-1.74,543921.0
Global_H1_ATR_P70_Risk_1.5pct,0.015,2015-06-22 06:00:00,543921.0,8159.0,26,-1202.0,-0.22,542719.0
