Dataset,RiskPct,RiskPctLabel,Year,Trades,StartEquity,EndEquity,NetProfitYen,ReturnPct,MaxDDYen,MaxDDPct
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2015,630,500000.0,960870.0,460870.0,92.17,127115.0,18.28
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2016,548,960870.0,3308104.0,2347234.0,244.28,615007.0,23.09
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2017,1180,3308104.0,15491121.0,12183017.0,368.28,2282995.0,35.14
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2018,1171,15491121.0,58680580.0,43189459.0,278.8,16061097.0,25.98
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2019,1261,58680580.0,118467110.0,59786530.0,101.88,40937524.0,42.18
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2020,965,118467110.0,415082362.0,296615252.0,250.38,51547326.0,22.74
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2021,1313,415082362.0,836843790.0,421761428.0,101.61,116123697.0,26.72
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2022,601,836843790.0,1632503022.0,795659232.0,95.08,278414331.0,16.59
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2023,945,1632503022.0,5749620437.0,4117117415.0,252.2,1313363330.0,35.16
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2024,997,5749620437.0,20661753483.0,14912133046.0,259.36,2157903422.0,22.19
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2025,764,20661753483.0,59813031232.0,39151277749.0,189.49,5968643126.0,16.74
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2026,182,59813031232.0,82063800842.0,22250769611.0,37.2,6846949876.0,8.23
