Dataset,RiskPct,RiskPctLabel,Month,Trades,StartEquity,EndEquity,NetProfitYen,ReturnPct,MaxDDYen,MaxDDPct
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2015-01,23,500000.0,490601.0,-9399.0,-1.88,29612.0,5.8
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2015-02,41,490601.0,507815.0,17213.0,3.51,36733.0,7.12
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2015-03,65,507815.0,552340.0,44526.0,8.77,29292.0,5.63
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2015-04,73,552340.0,555713.0,3372.0,0.61,61976.0,10.89
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2015-05,59,555713.0,572140.0,16427.0,2.96,57169.0,9.29
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2015-06,53,572140.0,542719.0,-29420.0,-5.14,86083.0,13.99
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2015-07,51,542719.0,572947.0,30227.0,5.57,68711.0,11.16
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2015-08,45,572947.0,649719.0,76772.0,13.4,67957.0,11.04
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2015-09,31,649719.0,664007.0,14288.0,2.2,48617.0,7.05
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2015-10,43,664007.0,633648.0,-30358.0,-4.57,83718.0,11.96
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2015-11,99,633648.0,688835.0,55187.0,8.71,86562.0,12.37
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2015-12,47,688835.0,826928.0,138092.0,20.05,25903.0,3.14
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2016-01,15,826928.0,847161.0,20234.0,2.45,37212.0,4.5
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2016-02,9,847161.0,880105.0,32944.0,3.89,19999.0,2.26
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2016-03,55,880105.0,957718.0,77612.0,8.82,97834.0,9.99
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2016-04,29,957718.0,1035615.0,77897.0,8.13,31544.0,3.15
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2016-05,69,1035615.0,1052457.0,16842.0,1.63,113371.0,9.95
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2016-06,27,1052457.0,1168406.0,115949.0,11.02,97110.0,8.52
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2016-07,35,1168406.0,1506428.0,338022.0,28.93,47306.0,3.29
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2016-08,76,1506428.0,1699946.0,193518.0,12.85,75627.0,4.28
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2016-09,89,1699946.0,1547237.0,-152709.0,-8.98,314357.0,17.46
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2016-10,63,1547237.0,1755748.0,208511.0,13.48,284741.0,15.82
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2016-11,33,1755748.0,2028304.0,272556.0,15.52,66844.0,3.71
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2016-12,48,2028304.0,2140947.0,112643.0,5.55,214929.0,9.47
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2017-01,69,2140947.0,1982372.0,-158575.0,-7.41,422790.0,17.58
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2017-02,87,1982372.0,2573811.0,591439.0,29.83,493785.0,20.53
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2017-03,124,2573811.0,3557431.0,983620.0,38.22,297604.0,8.31
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2017-04,103,3557431.0,2977209.0,-580222.0,-16.31,636845.0,17.7
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2017-05,112,2977209.0,3217532.0,240322.0,8.07,981716.0,27.29
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2017-06,103,3217532.0,3735928.0,518396.0,16.11,496296.0,13.03
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2017-07,114,3735928.0,4405983.0,670055.0,17.94,233968.0,5.85
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2017-08,89,4405983.0,5556290.0,1150307.0,26.11,218558.0,3.93
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2017-09,102,5556290.0,5313788.0,-242502.0,-4.36,542514.0,9.3
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2017-10,86,5313788.0,5534731.0,220943.0,4.16,802359.0,13.75
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2017-11,120,5534731.0,5997066.0,462334.0,8.35,814485.0,12.46
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2017-12,71,5997066.0,7060205.0,1063140.0,17.73,530864.0,8.12
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2018-01,87,7060205.0,8327310.0,1267104.0,17.95,849990.0,11.68
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2018-02,64,8327310.0,8260534.0,-66775.0,-0.8,555944.0,6.49
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2018-03,101,8260534.0,10528445.0,2267911.0,27.45,651632.0,7.52
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2018-04,127,10528445.0,9769818.0,-758627.0,-7.21,1943986.0,17.39
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2018-05,121,9769818.0,10225603.0,455784.0,4.67,1838164.0,16.44
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2018-06,94,10225603.0,10705062.0,479460.0,4.69,988846.0,8.84
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2018-07,133,10705062.0,12412717.0,1707655.0,15.95,1397164.0,12.21
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2018-08,79,12412717.0,13511858.0,1099141.0,8.85,651542.0,5.23
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2018-09,115,13511858.0,19547049.0,6035191.0,44.67,669543.0,3.38
