Dataset,RiskPct,TradingWeekStart,WeekStartBalance,RiskAmountYen,Trades,WeekYenPnL,WeekReturnPct,WeekEndBalance
Global_H1_ATR_P70_Risk_2.0pct,0.02,2015-01-05 06:00:00,500000.0,10000.0,8,-6235.0,-1.25,493765.0
Global_H1_ATR_P70_Risk_2.0pct,0.02,2015-01-12 06:00:00,493765.0,9875.0,11,-9512.0,-1.93,484253.0
Global_H1_ATR_P70_Risk_2.0pct,0.02,2015-01-19 06:00:00,484253.0,9685.0,3,-708.0,-0.15,483544.0
Global_H1_ATR_P70_Risk_2.0pct,0.02,2015-01-26 06:00:00,483544.0,9671.0,1,3926.0,0.81,487471.0
Global_H1_ATR_P70_Risk_2.0pct,0.02,2015-02-09 06:00:00,487471.0,9749.0,9,27408.0,5.62,514879.0
Global_H1_ATR_P70_Risk_2.0pct,0.02,2015-02-16 06:00:00,514879.0,10298.0,17,-68.0,-0.01,514811.0
Global_H1_ATR_P70_Risk_2.0pct,0.02,2015-02-23 06:00:00,514811.0,10296.0,15,-4597.0,-0.89,510214.0
Global_H1_ATR_P70_Risk_2.0pct,0.02,2015-03-02 06:00:00,510214.0,10204.0,18,-10244.0,-2.01,499970.0
Global_H1_ATR_P70_Risk_2.0pct,0.02,2015-03-09 06:00:00,499970.0,9999.0,18,49108.0,9.82,549078.0
Global_H1_ATR_P70_Risk_2.0pct,0.02,2015-03-16 06:00:00,549078.0,10982.0,10,24666.0,4.49,573744.0
Global_H1_ATR_P70_Risk_2.0pct,0.02,2015-03-23 06:00:00,573744.0,11475.0,14,-8741.0,-1.52,565004.0
Global_H1_ATR_P70_Risk_2.0pct,0.02,2015-03-30 06:00:00,565004.0,11300.0,7,9944.0,1.76,574948.0
Global_H1_ATR_P70_Risk_2.0pct,0.02,2015-04-06 06:00:00,574948.0,11499.0,24,-14415.0,-2.51,560533.0
Global_H1_ATR_P70_Risk_2.0pct,0.02,2015-04-13 06:00:00,560533.0,11211.0,13,-52605.0,-9.38,507928.0
Global_H1_ATR_P70_Risk_2.0pct,0.02,2015-04-20 06:00:00,507928.0,10159.0,22,3179.0,0.63,511106.0
Global_H1_ATR_P70_Risk_2.0pct,0.02,2015-04-27 06:00:00,511106.0,10222.0,14,66992.0,13.11,578098.0
Global_H1_ATR_P70_Risk_2.0pct,0.02,2015-05-04 06:00:00,578098.0,11562.0,10,36348.0,6.29,614446.0
