StrategyNo,Strategy,Year,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,MaxDDR,MaxLosingStreak,SLCount,SLRate,TPCount,TPRate,TimeCount,TimeRate,OtherCount,OtherRate
1,1_EJ_Log1,2015,71,9.355714284,0.1317706237183098591549295775,1.428319162789862099259249003,0.5070422535211267605633802817,0.8666269840555555555555555556,-0.6240816326285714285714285714,6.930000001,5,16,0.2253521126760563380281690141,1,0.01408450704225352112676056338,54,0.7605633802816901408450704225,0,0
1,1_EJ_Log1,2016,75,19.869999995,0.2649333332666666666666666667,2.239882331555010331752584302,0.6533333333333333333333333333,0.7325655975918367346938775510,-0.6163736264230769230769230769,3.144285715,3,9,0.12,1,0.01333333333333333333333333333,65,0.8666666666666666666666666667,0,0
1,1_EJ_Log1,2017,76,-5.080000002,-0.06684210528947368421052631579,0.7964160988749003596768316946,0.4868421052631578947368421053,0.5371042471351351351351351351,-0.6398168498974358974358974359,8.897142861,4,15,0.1973684210526315789473684211,0,0,61,0.8026315789473684210526315789,0,0
1,1_EJ_Log1,2018,72,12.797142857,0.1777380952361111111111111111,1.805141110916863942313803055,0.6388888888888888888888888889,0.6237267080652173913043478261,-0.6113186813076923076923076923,4.128571428,3,12,0.1666666666666666666666666667,0,0,60,0.8333333333333333333333333333,0,0
1,1_EJ_Log1,2019,72,8.442857144,0.1172619047777777777777777778,1.879333432683201908913102302,0.5694444444444444444444444444,0.4401045296341463414634146341,-0.3097235022903225806451612903,3.012857143,5,5,0.06944444444444444444444444444,0,0,67,0.9305555555555555555555555556,0,0
1,1_EJ_Log1,2020,73,11.170000001,0.1530136986438356164383561644,1.625520000025975039998753198,0.5479452054794520547945205479,0.725678571475,-0.5411255411515151515151515152,4.042857142,6,9,0.1232876712328767123287671233,0,0,64,0.8767123287671232876712328767,0,0
1,1_EJ_Log1,2021,71,0.551428575,0.007766599647887323943661971831,1.036332831560959458128397585,0.5774647887323943661971830986,0.3836236934634146341463414634,-0.5059047619,5.685714284,6,7,0.09859154929577464788732394366,0,0,64,0.9014084507042253521126760563,0,0
1,1_EJ_Log1,2022,73,22.627142856,0.3099608610410958904109589041,2.014865124513783647590029776,0.5753424657534246575342465753,1.069591836738095238095238095,-0.7192165899032258064516129032,3.557142857,5,18,0.2465753424657534246575342466,1,0.01369863013698630136986301370,54,0.7397260273972602739726027397,0,0
1,1_EJ_Log1,2023,74,21.097142856,0.2850965250810810810810810811,2.113137860730345195704810722,0.6351351351351351351351351351,0.8521276595744680851063829787,-0.701957672,3.000000000,4,14,0.1891891891891891891891891892,0,0,60,0.8108108108108108108108108108,0,0
1,1_EJ_Log1,2024,74,15.137142857,0.2045559845540540540540540541,1.769498910684883781641645979,0.5945945945945945945945945946,0.7911038960909090909090909091,-0.6557142857,6.019999999,4,16,0.2162162162162162162162162162,1,0.01351351351351351351351351351,57,0.7702702702702702702702702703,0,0
1,1_EJ_Log1,2025,73,12.602857144,0.1726418786849315068493150685,1.622802682685455530221185318,0.5342465753424657534246575342,0.8420146520769230769230769231,-0.5951680672647058823529411765,6.654285714,7,16,0.2191780821917808219178082192,0,0,57,0.7808219178082191780821917808,0,0
1,1_EJ_Log1,2026,48,1.291428568,0.02690476183333333333333333333,1.094107849003197347574166367,0.625,0.5004761904,-0.7623809524444444444444444444,4.460000001,4,12,0.25,0,0,36,0.75,0,0
2,2_EJ_NightBlitz_20,2015,86,10.904444450,0.1267958656976744186046511628,1.344278397687630056951819088,0.5232558139534883720930232558,0.9461728396666666666666666667,-0.791833333375,6.257777780,5,28,0.3255813953488372093023255814,19,0.2209302325581395348837209302,39,0.4534883720930232558139534884,0,0
2,2_EJ_NightBlitz_20,2016,93,14.811111120,0.1592592593548387096774193548,1.587742504785227877174016979,0.6129032258064516129032258065,0.7019493178771929824561403509,-0.6999999999722222222222222222,4.153333334,4,20,0.2150537634408602150537634409,13,0.1397849462365591397849462366,60,0.6451612903225806451612903226,0,0
2,2_EJ_NightBlitz_20,2017,90,5.153333338,0.05725925931111111111111111111,1.181811054655928044761363043,0.5111111111111111111111111111,0.7282125604782608695652173913,-0.6441919191818181818181818182,4.775555555,4,19,0.2111111111111111111111111111,6,0.06666666666666666666666666667,65,0.7222222222222222222222222222,0,0
2,2_EJ_NightBlitz_20,2018,87,8.602222223,0.09887611750574712643678160920,1.356347233746630189157140423,0.5057471264367816091954022989,0.7441414141818181818181818182,-0.5747619047857142857142857143,5.800000000,4,17,0.1954022988505747126436781609,9,0.1034482758620689655172413793,61,0.7011494252873563218390804598,0,0
2,2_EJ_NightBlitz_20,2019,88,12.833333332,0.1458333333181818181818181818,1.921346521781225399538582621,0.625,0.4865858586,-0.4220875421515151515151515152,2.793333334,4,5,0.05681818181818181818181818182,2,0.02272727272727272727272727273,81,0.9204545454545454545454545455,0,0
2,2_EJ_NightBlitz_20,2020,91,2.331111112,0.02561660562637362637362637363,1.083346575591596430257462274,0.4835164835164835164835164835,0.6886363636590909090909090909,-0.5950827423191489361702127660,5.637777778,9,17,0.1868131868131868131868131868,10,0.1098901098901098901098901099,64,0.7032967032967032967032967033,0,0
2,2_EJ_NightBlitz_20,2021,87,3.626666669,0.04168582378160919540229885057,1.206634591169958436257090140,0.6206896551724137931034482759,0.392181070,-0.5318518518484848484848484848,5.195555554,3,9,0.1034482758620689655172413793,2,0.02298850574712643678160919540,76,0.8735632183908045977011494253,0,0
2,2_EJ_NightBlitz_20,2022,89,12.102222232,0.1359800250786516853932584270,1.369696558572130927179795928,0.5505617977528089887640449438,0.9150566895510204081632653061,-0.8183888889,7.115555552,6,31,0.3483146067415730337078651685,20,0.2247191011235955056179775281,38,0.4269662921348314606741573034,0,0
2,2_EJ_NightBlitz_20,2023,88,17.342222227,0.197070707125,1.653327752388502766888045254,0.5795454545454545454545454545,0.8605228759019607843137254902,-0.7174174174054054054054054054,3.762222223,5,22,0.25,12,0.1363636363636363636363636364,54,0.6136363636363636363636363636,0,0
2,2_EJ_NightBlitz_20,2024,87,19.351111118,0.2224265645747126436781609195,1.814745509310195804140634160,0.6321839080459770114942528736,0.7836767677818181818181818182,-0.7422222221875,4.313333333,3,19,0.2183908045977011494252873563,11,0.1264367816091954022988505747,57,0.6551724137931034482758620690,0,0
2,2_EJ_NightBlitz_20,2025,85,3.013333336,0.03545098042352941176470588235,1.099464534675043360497965293,0.5176470588235294117647058824,0.7570202020681818181818181818,-0.7389159891463414634146341463,7.251111111,8,26,0.3058823529411764705882352941,8,0.09411764705882352941176470588,51,0.6,0,0
2,2_EJ_NightBlitz_20,2026,58,2.880000002,0.04965517244827586206896551724,1.198104555330072851477457276,0.5689655172413793103448275862,0.5278114478484848484848484848,-0.58151111108,2.699999999,4,10,0.1724137931034482758620689655,2,0.03448275862068965517241379310,46,0.7931034482758620689655172414,0,0
3,3_EJ_NightBlitz_21,2015,86,5.727999993,0.06660465108139534883720930233,1.294165981563270336894001643,0.5465116279069767441860465116,0.5361702126170212765957446809,-0.5124210526315789473684210526,5.096000000,5,9,0.1046511627906976744186046512,17,0.1976744186046511627906976744,60,0.6976744186046511627906976744,0,0
3,3_EJ_NightBlitz_21,2016,93,8.422666665,0.09056630822580645161290322581,1.551365977022780832678711705,0.5698924731182795698924731183,0.4471446540566037735849056604,-0.3916923076923076923076923077,2.682666667,4,5,0.05376344086021505376344086022,13,0.1397849462365591397849462366,75,0.8064516129032258064516129032,0,0
3,3_EJ_NightBlitz_21,2017,89,2.204000001,0.02476404495505617977528089888,1.140477606933383139435144539,0.4831460674157303370786516854,0.4161240310232558139534883721,-0.3486518518444444444444444444,2.666666669,4,4,0.04494382022471910112359550562,4,0.04494382022471910112359550562,81,0.9101123595505617977528089888,0,0
3,3_EJ_NightBlitz_21,2018,87,4.690666665,0.05391570879310344827586206897,1.311547998513755047624037599,0.6206896551724137931034482759,0.3656790122777777777777777778,-0.4562424241818181818181818182,3.194666666,4,6,0.06896551724137931034482758621,9,0.1034482758620689655172413793,72,0.8275862068965517241379310345,0,0
3,3_EJ_NightBlitz_21,2019,88,5.721333334,0.06501515152272727272727272727,1.776932826242006293796304646,0.6022727272727272727272727273,0.2468930818113207547169811321,-0.2104000000571428571428571429,1.581333334,4,0,0,2,0.02272727272727272727272727273,86,0.9772727272727272727272727273,0,0
3,3_EJ_NightBlitz_21,2020,91,0.821333331,0.009025641,1.053978268335962145110410095,0.4505494505494505494505494505,0.3911544714878048780487804878,-0.304320000,2.665333332,11,3,0.03296703296703296703296703297,7,0.07692307692307692307692307692,81,0.8901098901098901098901098901,0,0
3,3_EJ_NightBlitz_21,2021,87,0.747999999,0.008597701137931034482758620690,1.075322234068763801367609392,0.5517241379310344827586206897,0.2224722221666666666666666667,-0.2546324785897435897435897436,2.505333333,5,2,0.02298850574712643678160919540,0,0,85,0.9770114942528735632183908046,0,0
3,3_EJ_NightBlitz_21,2022,89,6.875999993,0.07725842688764044943820224719,1.378356565977773609136301026,0.5505617977528089887640449438,0.5112108842448979591836734694,-0.454333333375,3.536000000,7,9,0.1011235955056179775280898876,15,0.1685393258426966292134831461,65,0.7303370786516853932584269663,0,0
3,3_EJ_NightBlitz_21,2023,88,12.433333332,0.1412878787727272727272727273,2.026304204301439605478406285,0.6363636363636363636363636364,0.4383571428035714285714285714,-0.37858333328125,2.034666666,5,4,0.04545454545454545454545454545,9,0.1022727272727272727272727273,75,0.8522727272727272727272727273,0,0
3,3_EJ_NightBlitz_21,2024,88,11.977333330,0.1361060605681818181818181818,1.899649473848316290204266864,0.6136363636363636363636363636,0.4683456789814814814814814815,-0.41604166671875,2.078666667,4,7,0.07954545454545454545454545455,12,0.1363636363636363636363636364,69,0.7840909090909090909090909091,0,0
