AnalysisVersion,BaselineSHA256,MembershipSHA256,PlanBranch,ValidationRunJST,Segment,StrategyNo,Strategy,Pair,Direction,SL,TP,TP_LT_SL,TP_NONE,JPY_RELATED,AUD_RELATED,LONG,SHORT,OVERNIGHT,CHINA_DEMAND,MembershipBasis,Trades,TotalR,PF,WinRatePct,AvgR,AvgWinR,AvgLossR,MaxDDR,WorstDayR,WorstWeekR,PositiveYears,NegativeYears,NeutralYears,MaxLosingStreak,TPExitRatePct,SLExitRatePct,TimeExitRatePct,OtherExitRatePct,TotalR_2015,TotalR_2016,TotalR_2017,TotalR_2018,TotalR_2019,TotalR_2020,TotalR_2021
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,11,11_AJ_SatB,AJ,Short,55,95.0,False,False,True,True,False,True,True,False,frozen_strategy_definition,238,17.292727,1.372966,50.840336,0.072658518,0.526100676,-0.396285936,5.985455,-1.0,-1.0,6,1,0,8,2.941176,5.882353,91.176471,0.0,4.509091,7.250909,-0.972727,1.681818,1.285455,3.123636,0.414545
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,12,12_UJ_Short_Core,UJ,Short,20,50.0,False,True,True,False,False,True,False,False,mode_dependent_goto_tp_normal_no_tp,327,60.354,2.084977,60.244648,0.184568807,0.588736041,-0.431217054,4.09,-1.0,-2.444,7,0,0,4,2.140673,8.256881,89.602446,0.0,7.776,10.061,8.662,6.034,3.746,18.594,5.481
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,13,13_UJ_Fix_MidWeek,UJ,Long,95,95.0,False,False,True,False,True,False,False,False,frozen_strategy_definition,132,9.896842,2.737893,61.363636,0.074976077,0.192488629,-0.111661507,0.551579,-0.394737,-0.334737,7,0,0,2,0.0,0.0,100.0,0.0,2.695789,2.466316,1.675789,0.430526,0.890526,0.276842,1.461053
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,14,14_UJ_Sat_3rd,UJ,Short,45,70.0,False,False,True,False,False,True,True,False,frozen_strategy_definition,43,8.462222,2.152891,65.116279,0.196795866,0.564365079,-0.489333333,1.502222,-1.0,-1.0,5,2,0,4,4.651163,9.302326,86.046512,0.0,3.793333,1.202222,1.493333,-0.848889,1.675556,1.271111,-0.124444
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,15,15_UJ_Sat_Aug,UJ,Short,20,35.0,False,False,True,False,False,True,False,False,frozen_strategy_definition,42,13.575,1.964134,57.142857,0.323214286,1.152291667,-0.782222222,2.325,-1.0,-1.0,5,2,0,3,26.190476,28.571429,45.238095,0.0,2.5,4.0,0.545,-0.125,3.93,-0.945,3.67
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,16,16_UJ_T10A,UJ,Long,45,110.0,False,False,True,False,True,False,False,False,frozen_strategy_definition,37,5.642222,1.919261,62.162162,0.152492492,0.512173913,-0.438412698,1.104444,-1.0,-1.0,5,2,0,3,2.702703,8.108108,89.189189,0.0,-0.331111,2.064444,2.035556,0.337778,-0.495556,1.873333,0.157778
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,17,17_EA_1B_Wed_Short,EA,Short,70,175.0,False,False,False,True,False,True,False,False,frozen_strategy_definition,215,35.625714,1.652349,58.604651,0.165700997,0.7161678,-0.613611557,3.977143,-1.0,-1.0,7,0,0,4,1.860465,18.604651,79.534884,0.0,2.142857,5.291429,7.12,2.301429,0.52,10.787143,7.462857
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,18,18_EA_2_MonWed_Short,EA,Short,90,180.0,False,False,False,True,False,True,True,False,frozen_strategy_definition,573,38.745556,1.242738,52.705061,0.067618771,0.656835909,-0.59118107,9.592222,-2.0,-3.0,6,1,0,8,2.966841,18.848168,78.184991,0.0,-3.982222,16.794444,3.085556,2.758889,0.465556,15.744444,3.878889
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,19,19_EA_3_WedThu_Long,EA,Long,90,,False,True,False,True,True,False,True,False,frozen_strategy_definition,432,37.928889,1.411193,54.62963,0.087798354,0.551567797,-0.470617914,7.234444,-2.0,-2.0,7,0,0,7,0.0,10.185185,89.814815,0.0,10.702222,2.243333,10.38,2.043333,0.004444,10.242222,2.313333
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,20,20_EA_1A_MonTue_Short,EA,Short,50,125.0,False,False,False,True,False,True,False,False,frozen_strategy_definition,455,23.644,1.206808,53.846154,0.051964835,0.56315102,-0.547023923,7.028,-1.0,-2.0,5,2,0,8,1.318681,14.725275,83.956044,0.0,3.642,7.716,6.35,5.45,-2.064,2.576,-0.026
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,21,21_GA_B_3,GA,Long,220,100.0,True,False,False,True,True,False,True,False,frozen_strategy_definition,351,5.376818,1.158472,51.851852,0.01531857,0.215966534,-0.200763852,5.324545,-1.0,-1.0,4,3,0,8,13.390313,0.854701,85.754986,0.0,4.956818,3.840455,-0.959545,1.138636,0.091818,-1.183182,-2.508182
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,22,22_GA_C_2,GA,Long,70,80.0,False,False,False,True,True,False,True,False,frozen_strategy_definition,274,39.377143,1.443493,56.20438,0.1437122,0.832244898,-0.739904762,4.92,-1.0,-1.0,7,0,0,5,32.846715,26.277372,40.875912,0.0,3.424286,5.844286,5.527143,4.434286,3.46,5.354286,11.332857
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,23,23_GA_F_2,GA,Short,90,200.0,False,False,False,True,False,True,False,False,frozen_strategy_definition,252,18.721111,1.439554,53.968254,0.074290123,0.450825163,-0.370357488,5.151111,-1.0,-1.0,5,2,0,8,1.190476,5.952381,92.857143,0.0,2.82,5.905556,4.513333,6.17,2.838889,-0.576667,-2.95
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,24,24_GA_D_1,GA,Long,90,200.0,False,False,False,True,True,False,True,False,frozen_strategy_definition,252,15.833333,1.336577,55.952381,0.062830688,0.445925926,-0.423803804,4.2,-1.0,-1.0,5,2,0,7,0.793651,7.539683,91.666667,0.0,-1.781111,9.451111,3.208889,-1.877778,2.648889,2.111111,2.072222
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,25,25_AU_China_Demand,AU,Long,40,40.0,False,False,False,True,True,False,False,True,frozen_strategy_definition,614,32.9425,1.316922,53.908795,0.05365228,0.413557402,-0.373902878,8.08,-1.0,-2.415,5,2,0,7,7.980456,5.374593,86.644951,0.0,-2.8075,12.0225,11.6375,3.47,3.0925,5.96,-0.4325
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,26,26_AJ_China_Demand,AJ,Long,45,80.0,False,False,True,True,True,False,False,True,frozen_strategy_definition,308,28.497778,1.460897,55.519481,0.092525253,0.528239116,-0.454640523,4.171111,-1.0,-3.0,7,0,0,5,3.896104,9.74026,86.363636,0.0,3.735556,8.815556,5.906667,5.877778,0.702222,3.26,0.2
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,27,27_EA_China_Demand,EA,Short,60,60.0,False,False,False,True,False,True,False,True,frozen_strategy_definition,350,33.063333,1.492185,60.0,0.094466667,0.477333333,-0.479833333,5.516667,-1.0,-2.666667,7,0,0,10,14.571429,10.285714,75.142857,0.0,0.903333,4.393333,9.951667,3.036667,1.055,12.581667,1.141667
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,28,28_GA_China_Demand,GA,Short,75,70.0,True,False,False,True,False,True,False,True,frozen_strategy_definition,347,22.22,1.311338,53.025937,0.064034582,0.508637681,-0.437848671,5.412,-1.0,-3.066667,6,1,0,6,15.850144,10.086455,74.063401,0.0,5.18,3.201333,5.748,3.98,2.573333,2.898667,-1.361333
