AnalysisVersion,SourceAnalysisCommitSHA,CandidateFreezeCommitSHA,BaselineSHA256,MembershipSHA256,PlanBranch,CandidateFrozenJST,Segment,OOSViewed,FrozenForOOS,CandidateID,PortfolioLabel,ExcludedStrategyNos,ExcludedStrategies,SelectionBasis,IS_Trades,IS_TotalR,IS_PF,IS_WinRatePct,IS_AvgR,IS_AvgWinR,IS_AvgLossR,IS_MaxDDR,IS_WorstDayR,IS_WorstWeekR,IS_PositiveYears,IS_NegativeYears,IS_NeutralYears,IS_MaxLosingStreak,IS_TPExitRatePct,IS_SLExitRatePct,IS_TimeExitRatePct,IS_OtherExitRatePct,DeltaTotalR,DeltaMaxDDR,DeltaPF,DeltaWorstDayR,DeltaWorstWeekR
strategy-selection-is-v1.0.0,c95a6b78eb8bd6f11e8f958a60aa91095069134d,1c265a7e4bd156b1abb8a99e84626047d378be63,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,False,True,P0_BASELINE,28 strategies; no exclusion,,,Frozen Baseline comparator,9756,768.488273,1.372171,54.540795,0.078770836,0.532488067,-0.467484884,27.540956,-12.0,-14.455836,7,0,0,15,5.883559,11.644116,82.472325,0.0,0.0,0.0,0.0,0.0,0.0
strategy-selection-is-v1.0.0,c95a6b78eb8bd6f11e8f958a60aa91095069134d,1c265a7e4bd156b1abb8a99e84626047d378be63,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,False,True,P1_MINUS_TOP1,27 strategies; exclude IS negative marginal top 1,10,10_AJ_SatA,Only clear and stable negative marginal candidate in IS; standalone TotalR=-0.444R; LOO DeltaTotalR=+0.444R,9517,768.932273,1.377253,54.765157,0.080795658,0.53859766,-0.475335525,27.854956,-12.0,-14.563836,7,0,0,15,5.716087,11.894505,82.389408,0.0,0.444,0.314,0.005082,0.0,-0.108
