Year,Segment,Trades,Weeks,AvgR,TotalR,PF,WinRate,AvgWinR,AvgLossR,LOW_SAMPLE
2015,EARLY_MONTH,50,16,0.03055000000000001,1.5275000000000005,1.1274509803921566,0.48,0.5630208333333333,-0.47940000000000005,False
2015,LATE_MONTH,38,13,-0.11407894736842107,-4.335000000000001,0.5862562634216177,0.42105263157894735,0.38390625,-0.47625000000000006,False
2016,EARLY_MONTH,50,16,0.08255000000000001,4.1275,1.3636563876651984,0.56,0.5527678571428571,-0.5674999999999999,False
2016,LATE_MONTH,38,13,0.20776315789473684,7.895,2.51462829736211,0.6052631578947368,0.569891304347826,-0.3475,False
2017,EARLY_MONTH,50,15,0.23640000000000005,11.820000000000002,4.782400000000002,0.72,0.415138888888889,-0.22321428571428567,False
2017,LATE_MONTH,37,12,-0.004932432432432432,-0.1825,0.9706591639871381,0.4864864864864865,0.3354166666666667,-0.32736842105263164,False
2018,EARLY_MONTH,50,15,0.04925000000000001,2.4625000000000004,1.3447672383619182,0.48,0.40020833333333333,-0.27471153846153845,False
2018,LATE_MONTH,39,13,0.02583333333333333,1.0074999999999998,1.1433143669985775,0.48717948717948717,0.42302631578947364,-0.35150000000000003,False
2019,EARLY_MONTH,50,14,0.048799999999999996,2.44,1.4694564694564696,0.54,0.2828703703703704,-0.23625,False
2019,LATE_MONTH,39,13,0.016730769230769233,0.6525000000000001,1.1611111111111112,0.5128205128205128,0.23512500000000003,-0.22499999999999998,False
2020,EARLY_MONTH,50,16,0.09299999999999999,4.6499999999999995,1.4710053178019749,0.62,0.4684677419354838,-0.5196052631578948,False
2020,LATE_MONTH,37,13,0.0354054054054054,1.3099999999999996,1.1732804232804233,0.4864864864864865,0.49277777777777776,-0.39789473684210525,False
2021,EARLY_MONTH,50,18,0.018000000000000006,0.9000000000000002,1.1098230628431973,0.6,0.3031666666666667,-0.40974999999999995,False
2021,LATE_MONTH,36,13,-0.03701388888888889,-1.3325,0.795863653772501,0.4722222222222222,0.30558823529411766,-0.3435526315789474,False
2022,EARLY_MONTH,50,16,0.027700000000000006,1.3850000000000002,1.1440832249674902,0.54,0.40731481481481485,-0.4179347826086957,False
2022,LATE_MONTH,37,14,0.11749999999999998,4.347499999999999,1.496148359486448,0.7027027027027027,0.5042307692307693,-0.796590909090909,False
2023,EARLY_MONTH,50,15,0.11055000000000001,5.527500000000001,1.8861723446893786,0.58,0.40568965517241373,-0.311875,False
2023,LATE_MONTH,37,12,-0.033445945945945965,-1.2375000000000007,0.8826458036984354,0.4864864864864865,0.5170833333333333,-0.5549999999999999,False
2024,EARLY_MONTH,49,15,0.003571428571428573,0.17500000000000007,1.033096926713948,0.4897959183673469,0.22760416666666664,-0.2115,False
2024,LATE_MONTH,39,13,0.04807692307692308,1.875,1.3205128205128203,0.6153846153846154,0.32187499999999997,-0.39,False
2025,EARLY_MONTH,49,16,0.13066326530612246,6.402500000000001,2.3255693581780537,0.5918367346938775,0.38732758620689656,-0.2415,False
2025,LATE_MONTH,36,14,-0.03756944444444444,-1.3524999999999998,0.779633401221996,0.3611111111111111,0.3680769230769231,-0.2668478260869565,False
2026,EARLY_MONTH,35,11,-0.016714285714285716,-0.5850000000000001,0.9101037264694581,0.45714285714285713,0.37015624999999996,-0.3425,False
2026,LATE_MONTH,26,9,0.00740384615384615,0.1924999999999999,1.0447154471544713,0.5,0.34596153846153843,-0.3311538461538462,True
