Strategy,Period,Candidate,Trades,TotalR,PF,MaxDDR,WorstDayR,WorstWeekR
22_GA_C_2,IS,E0_BASELINE,9756,768.488273412,1.372170780221990072262536124,27.540955530,-12.0,-14.455835720
22_GA_C_2,IS,E1_MINUS_22,9482,729.111130540,1.368966156929383948399334323,29.211511086,-12.0,-14.455835720
22_GA_C_2,IS,DELTA_E1_MINUS_E0,-274,-39.377142872,-0.003204623292606123863201801,1.670555556,0.0,0E-9
22_GA_C_2,OOS1,E0_BASELINE,5547,601.960584733,1.489974882080040269260349852,22.196975812,-10.88,-12.824401656
22_GA_C_2,OOS1,E1_MINUS_22,5389,609.040584729,1.519313725200725513995284186,21.641261526,-10.88,-13.125830227
22_GA_C_2,OOS1,DELTA_E1_MINUS_E0,-158,7.079999996,0.029338843120685244734934334,-0.555714286,0.00,-0.301428571
22_GA_C_2,OOS2,E0_BASELINE,995,19.818791349,1.095529248887432719543087561,18.954206168,-4.579584304,-5.397048173
22_GA_C_2,OOS2,E1_MINUS_22,966,22.101648493,1.111758218438361133418257789,14.122777596,-4.579584304,-5.288937839
22_GA_C_2,OOS2,DELTA_E1_MINUS_E0,-29,2.282857144,0.016228969550928413875170228,-4.831428572,0E-9,0.108110334
22_GA_C_2,OOS_COMBINED,E0_BASELINE,6542,621.779376082,1.432988857333194089159940825,22.196975812,-10.88,-12.824401656
22_GA_C_2,OOS_COMBINED,E1_MINUS_22,6355,631.142233222,1.460505323531301872430155990,21.641261526,-10.88,-13.125830227
22_GA_C_2,OOS_COMBINED,DELTA_E1_MINUS_E0,-187,9.362857140,0.027516466198107783270215165,-0.555714286,0.00,-0.301428571
22_GA_C_2,ALL,E0_BASELINE,16298,1390.267649494,1.397117465512620032057326123,27.540955530,-12.0,-14.455835720
22_GA_C_2,ALL,E1_MINUS_22,15837,1360.253363762,1.406454064792715123583582585,29.211511086,-12.0,-14.455835720
22_GA_C_2,ALL,DELTA_E1_MINUS_E0,-461,-30.014285732,0.009336599280095091526256462,1.670555556,0.0,0E-9
