Strategy,Period,Candidate,Trades,TotalR,PF,MaxDDR,WorstDayR,WorstWeekR
18_EA_2_MonWed_Short,2022,E0_BASELINE,1383,163.991920234,1.460196647793881058422532767,13.239665556,-7.928653846,-8.382382172
18_EA_2_MonWed_Short,2022,E1_MINUS_18,1304,174.097475785,1.541681647192101965068464153,13.239665556,-6.928653846,-6.847874125
18_EA_2_MonWed_Short,2022,DELTA_E1_MINUS_E0,-79,10.105555551,0.081484999398220906645931386,0E-9,1.000000000,1.534508047
18_EA_2_MonWed_Short,2023,E0_BASELINE,1384,160.985031727,1.537135036670755260618909601,22.196975812,-10.88,-12.824401656
18_EA_2_MonWed_Short,2023,E1_MINUS_18,1311,164.345031727,1.599033017805251032200001575,17.865864701,-9.88,-11.859957212
18_EA_2_MonWed_Short,2023,DELTA_E1_MINUS_E0,-73,3.360000000,0.061897981134495771581091974,-4.331111111,1.00,0.964444444
18_EA_2_MonWed_Short,2024,E0_BASELINE,1394,129.794238252,1.471284308778258691029807773,12.974713232,-3.693846154,-6.500295982
18_EA_2_MonWed_Short,2024,E1_MINUS_18,1313,130.478682695,1.506305119284621488162025594,11.799975901,-3.693846154,-5.521655455
18_EA_2_MonWed_Short,2024,DELTA_E1_MINUS_E0,-81,0.684444443,0.035020810506362797132217821,-1.174737331,0E-9,0.978640527
18_EA_2_MonWed_Short,2025,E0_BASELINE,1386,147.189394520,1.495443388062503243799672134,17.273405884,-4.386703297,-7.080357897
18_EA_2_MonWed_Short,2025,E1_MINUS_18,1300,137.657172296,1.495004323201059729704310828,18.098961439,-4.016841493,-7.080357897
18_EA_2_MonWed_Short,2025,DELTA_E1_MINUS_E0,-86,-9.532222224,-0.000439064861443514095361306,0.825555555,0.369861804,0E-9
18_EA_2_MonWed_Short,2026,E0_BASELINE,995,19.818791349,1.095529248887432719543087561,18.954206168,-4.579584304,-5.397048173
18_EA_2_MonWed_Short,2026,E1_MINUS_18,934,14.893235794,1.076213256111427441382625147,18.830171167,-4.055139860,-4.659581196
18_EA_2_MonWed_Short,2026,DELTA_E1_MINUS_E0,-61,-4.925555555,-0.019315992776005278160462414,-0.124035001,0.524444444,0.737466977
