Strategy,Period,Candidate,Trades,TotalR,PF,MaxDDR,WorstDayR,WorstWeekR
20_EA_1A_MonTue_Short,IS,E0_BASELINE,9756,768.488273412,1.372170780221990072262536124,27.540955530,-12.0,-14.455835720
20_EA_1A_MonTue_Short,IS,E1_MINUS_20,9301,744.844273412,1.381863182094944244403448751,24.083388374,-11.0,-12.455835720
20_EA_1A_MonTue_Short,IS,DELTA_E1_MINUS_E0,-455,-23.644000000,0.009692401872954172140912627,-3.457567156,1.0,2.000000000
20_EA_1A_MonTue_Short,OOS1,E0_BASELINE,5547,601.960584733,1.489974882080040269260349852,22.196975812,-10.88,-12.824401656
20_EA_1A_MonTue_Short,OOS1,E1_MINUS_20,5286,600.098584733,1.521152358462465820557652815,21.274975812,-9.88,-11.526401656
20_EA_1A_MonTue_Short,OOS1,DELTA_E1_MINUS_E0,-261,-1.862000000,0.031177476382425551297302963,-0.922000000,1.00,1.298000000
20_EA_1A_MonTue_Short,OOS2,E0_BASELINE,995,19.818791349,1.095529248887432719543087561,18.954206168,-4.579584304,-5.397048173
20_EA_1A_MonTue_Short,OOS2,E1_MINUS_20,941,21.010791349,1.107012787811196269604809199,17.848206168,-4.579584304,-5.485048173
20_EA_1A_MonTue_Short,OOS2,DELTA_E1_MINUS_E0,-54,1.192000000,0.011483538923763550061721638,-1.106000000,0E-9,-0.088000000
20_EA_1A_MonTue_Short,OOS_COMBINED,E0_BASELINE,6542,621.779376082,1.432988857333194089159940825,22.196975812,-10.88,-12.824401656
20_EA_1A_MonTue_Short,OOS_COMBINED,E1_MINUS_20,6227,621.109376082,1.460824128170685728061605589,21.274975812,-9.88,-11.526401656
20_EA_1A_MonTue_Short,OOS_COMBINED,DELTA_E1_MINUS_E0,-315,-0.670000000,0.027835270837491638901664764,-0.922000000,1.00,1.298000000
20_EA_1A_MonTue_Short,ALL,E0_BASELINE,16298,1390.267649494,1.397117465512620032057326123,27.540955530,-12.0,-14.455835720
20_EA_1A_MonTue_Short,ALL,E1_MINUS_20,15528,1365.953649494,1.414129178931884046432362502,24.083388374,-11.0,-12.455835720
20_EA_1A_MonTue_Short,ALL,DELTA_E1_MINUS_E0,-770,-24.314000000,0.017011713419264014375036379,-3.457567156,1.0,2.000000000
