Strategy,Period,Candidate,Trades,TotalR,PF,MaxDDR,WorstDayR,WorstWeekR
22_GA_C_2,2022,E0_BASELINE,1383,163.991920234,1.460196647793881058422532767,13.239665556,-7.928653846,-8.382382172
22_GA_C_2,2022,E1_MINUS_22,1344,166.269063090,1.489373566479064693251757448,12.292268897,-7.928653846,-8.926667886
22_GA_C_2,2022,DELTA_E1_MINUS_E0,-39,2.277142856,0.029176918685183634829224681,-0.947396659,0E-9,-0.544285714
22_GA_C_2,2023,E0_BASELINE,1384,160.985031727,1.537135036670755260618909601,22.196975812,-10.88,-12.824401656
22_GA_C_2,2023,E1_MINUS_22,1344,161.019317440,1.563910531285022661574979949,21.641261526,-10.88,-13.125830227
22_GA_C_2,2023,DELTA_E1_MINUS_E0,-40,0.034285713,0.026775494614267400956070348,-0.555714286,0.00,-0.301428571
22_GA_C_2,2024,E0_BASELINE,1394,129.794238252,1.471284308778258691029807773,12.974713232,-3.693846154,-6.500295982
22_GA_C_2,2024,E1_MINUS_22,1354,133.015666822,1.506481661692500242283768499,11.927570375,-3.693846154,-6.453153125
22_GA_C_2,2024,DELTA_E1_MINUS_E0,-40,3.221428570,0.035197352914241551253960726,-1.047142857,0E-9,0.047142857
22_GA_C_2,2025,E0_BASELINE,1386,147.189394520,1.495443388062503243799672134,17.273405884,-4.386703297,-7.080357897
22_GA_C_2,2025,E1_MINUS_22,1347,148.736537377,1.522151275401842278131790221,16.014834456,-4.386703297,-6.911786468
22_GA_C_2,2025,DELTA_E1_MINUS_E0,-39,1.547142857,0.026707887339339034332118087,-1.258571428,0E-9,0.168571429
22_GA_C_2,2026,E0_BASELINE,995,19.818791349,1.095529248887432719543087561,18.954206168,-4.579584304,-5.397048173
22_GA_C_2,2026,E1_MINUS_22,966,22.101648493,1.111758218438361133418257789,14.122777596,-4.579584304,-5.288937839
22_GA_C_2,2026,DELTA_E1_MINUS_E0,-29,2.282857144,0.016228969550928413875170228,-4.831428572,0E-9,0.108110334
