Strategy,Period,Candidate,Trades,TotalR,PF,MaxDDR,WorstDayR,WorstWeekR
23_GA_F_2,IS,E0_BASELINE,9756,768.488273412,1.372170780221990072262536124,27.540955530,-12.0,-14.455835720
23_GA_F_2,IS,E1_MINUS_23,9504,749.767162299,1.370751624415459058674635228,27.810955530,-12.0,-14.571391276
23_GA_F_2,IS,DELTA_E1_MINUS_E0,-252,-18.721111113,-0.001419155806531013587900896,0.270000000,0.0,-0.115555556
23_GA_F_2,OOS1,E0_BASELINE,5547,601.960584733,1.489974882080040269260349852,22.196975812,-10.88,-12.824401656
23_GA_F_2,OOS1,E1_MINUS_23,5392,601.429473629,1.497209149187597608496777280,21.022531367,-10.88,-12.317734989
23_GA_F_2,OOS1,DELTA_E1_MINUS_E0,-155,-0.531111104,0.007234267107557339236427428,-1.174444445,0.00,0.506666667
23_GA_F_2,OOS2,E0_BASELINE,995,19.818791349,1.095529248887432719543087561,18.954206168,-4.579584304,-5.397048173
23_GA_F_2,OOS2,E1_MINUS_23,968,19.456569124,1.094930795948137598466679808,18.686428391,-4.579584304,-5.323714840
23_GA_F_2,OOS2,DELTA_E1_MINUS_E0,-27,-0.362222225,-0.000598452939295121076407753,-0.267777777,0E-9,0.073333333
23_GA_F_2,OOS_COMBINED,E0_BASELINE,6542,621.779376082,1.432988857333194089159940825,22.196975812,-10.88,-12.824401656
23_GA_F_2,OOS_COMBINED,E1_MINUS_23,6360,620.886042753,1.438923369543270454398675828,21.022531367,-10.88,-12.317734989
23_GA_F_2,OOS_COMBINED,DELTA_E1_MINUS_E0,-182,-0.893333329,0.005934512210076365238735003,-1.174444445,0.00,0.506666667
23_GA_F_2,ALL,E0_BASELINE,16298,1390.267649494,1.397117465512620032057326123,27.540955530,-12.0,-14.455835720
23_GA_F_2,ALL,E1_MINUS_23,15864,1370.653205052,1.398810245570986381569401853,27.810955530,-12.0,-14.571391276
23_GA_F_2,ALL,DELTA_E1_MINUS_E0,-434,-19.614444442,0.001692780058366349512075730,0.270000000,0.0,-0.115555556
