Period,Method,Scope,ScopeType,StrategyNo,Strategy,Group,Aggregation,Eligible,EligibleStrategies,EligibleIDs,PrespecifiedSubgroup,Support,Quintile,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,LOW_SAMPLE
FULL,primary,Long,Group,,,Long,trade_weighted,True,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,False,ORDERED_POSITIVE_SUPPORTED,Q1,2896.0,127.689018015,0.04409151174551105,1.25785521056963,54.55801104972375,0.3942313901810126,-0.37801265532137407,False
FULL,primary,Long,Group,,,Long,trade_weighted,True,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,False,ORDERED_POSITIVE_SUPPORTED,Q2,1523.0,132.12924658400001,0.08675590714642155,1.511001763392409,57.189757058437294,0.4485629259161883,-0.3984114975177196,False
FULL,primary,Long,Group,,,Long,trade_weighted,True,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,False,ORDERED_POSITIVE_SUPPORTED,Q3,1348.0,113.78843029199999,0.08441278211572699,1.4373763864069693,55.712166172106826,0.4979357900665779,-0.4372459631058823,False
FULL,primary,Long,Group,,,Long,trade_weighted,True,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,False,ORDERED_POSITIVE_SUPPORTED,Q4,1292.0,114.229887942,0.08841322596130032,1.408041644199151,55.959752321981426,0.5451957532226832,-0.49460537391872783,False
FULL,primary,Long,Group,,,Long,trade_weighted,True,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,False,ORDERED_POSITIVE_SUPPORTED,Q5,1766.0,244.74703100200003,0.13858835277576445,1.6170585499479784,57.417893544733865,0.6325266786390533,-0.5288466948506667,False
FULL,primary,Long,Group,,,Long,strategy_equal_weighted,True,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,False,ORDERED_POSITIVE_SUPPORTED,Q1,,,0.04340578225595788,,,,,
FULL,primary,Long,Group,,,Long,strategy_equal_weighted,True,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,False,ORDERED_POSITIVE_SUPPORTED,Q2,,,0.08754782248237578,,,,,
FULL,primary,Long,Group,,,Long,strategy_equal_weighted,True,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,False,ORDERED_POSITIVE_SUPPORTED,Q3,,,0.08331604993124153,,,,,
FULL,primary,Long,Group,,,Long,strategy_equal_weighted,True,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,False,ORDERED_POSITIVE_SUPPORTED,Q4,,,0.09181488679837975,,,,,
FULL,primary,Long,Group,,,Long,strategy_equal_weighted,True,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,False,ORDERED_POSITIVE_SUPPORTED,Q5,,,0.13868615405235366,,,,,
FULL,primary,Short,Group,,,Short,trade_weighted,True,11,5|9|10|11|12|17|18|20|23|27|28,False,ORDERED_POSITIVE_SUPPORTED,Q1,1889.0,86.11398557800001,0.04558707547803071,1.2191257079756908,51.56167284277395,0.491892148238193,-0.4304369844534502,False
FULL,primary,Short,Group,,,Short,trade_weighted,True,11,5|9|10|11|12|17|18|20|23|27|28,False,ORDERED_POSITIVE_SUPPORTED,Q2,1103.0,73.422360739,0.06656605688032638,1.30509149852804,52.58386219401632,0.541515890425862,-0.46638925524806196,False
FULL,primary,Short,Group,,,Short,trade_weighted,True,11,5|9|10|11|12|17|18|20|23|27|28,False,ORDERED_POSITIVE_SUPPORTED,Q3,1162.0,126.224679659,0.10862709092857144,1.4670212792465327,55.679862306368335,0.6128296098562597,-0.5258289453657589,False
FULL,primary,Short,Group,,,Short,trade_weighted,True,11,5|9|10|11|12|17|18|20|23|27|28,False,ORDERED_POSITIVE_SUPPORTED,Q4,903.0,112.850632023,0.12497301442192692,1.5127320529277783,54.0420819490587,0.6822691197581967,-0.5316345372439614,False
FULL,primary,Short,Group,,,Short,trade_weighted,True,11,5|9|10|11|12|17|18|20|23|27|28,False,ORDERED_POSITIVE_SUPPORTED,Q5,1200.0,181.15407648299998,0.1509617304025,1.5151779011043347,51.74999999999999,0.8579518465088568,-0.6073126428307427,False
FULL,primary,Short,Group,,,Short,strategy_equal_weighted,True,11,5|9|10|11|12|17|18|20|23|27|28,False,ORDERED_POSITIVE_SUPPORTED,Q1,,,0.050319207915830666,,,,,
FULL,primary,Short,Group,,,Short,strategy_equal_weighted,True,11,5|9|10|11|12|17|18|20|23|27|28,False,ORDERED_POSITIVE_SUPPORTED,Q2,,,0.07841175016782974,,,,,
FULL,primary,Short,Group,,,Short,strategy_equal_weighted,True,11,5|9|10|11|12|17|18|20|23|27|28,False,ORDERED_POSITIVE_SUPPORTED,Q3,,,0.11316647833121136,,,,,
FULL,primary,Short,Group,,,Short,strategy_equal_weighted,True,11,5|9|10|11|12|17|18|20|23|27|28,False,ORDERED_POSITIVE_SUPPORTED,Q4,,,0.10934434737775822,,,,,
FULL,primary,Short,Group,,,Short,strategy_equal_weighted,True,11,5|9|10|11|12|17|18|20|23|27|28,False,ORDERED_POSITIVE_SUPPORTED,Q5,,,0.14778737814853815,,,,,
FULL,robustness,JPY,Group,,,JPY,trade_weighted,True,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,False,ORDERED_POSITIVE_SUPPORTED,Q1,2347.0,108.183539869,0.046094392786109925,1.2253180108704096,52.96122709842352,0.4733070439525342,-0.43728334769034605,False
FULL,robustness,JPY,Group,,,JPY,trade_weighted,True,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,False,ORDERED_POSITIVE_SUPPORTED,Q2,1655.0,157.497696603,0.09516477136132931,1.511912267545863,57.583081570996974,0.488103992132214,-0.43889501840085593,False
FULL,robustness,JPY,Group,,,JPY,trade_weighted,True,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,False,ORDERED_POSITIVE_SUPPORTED,Q3,1523.0,193.12453131400002,0.1268053390111622,1.6176097419601052,56.336178594878525,0.5895352405104894,-0.47235151819335347,False
FULL,robustness,JPY,Group,,,JPY,trade_weighted,True,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,False,ORDERED_POSITIVE_SUPPORTED,Q4,1478.0,216.152434982,0.14624657305953992,1.6611411485860346,55.27740189445196,0.6647378746474907,-0.4961129113884673,False
FULL,robustness,JPY,Group,,,JPY,trade_weighted,True,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,False,ORDERED_POSITIVE_SUPPORTED,Q5,1709.0,248.832713495,0.1456013537126975,1.558643160021255,55.412521942656525,0.7331109542819431,-0.5860833686973684,False
FULL,robustness,JPY,Group,,,JPY,strategy_equal_weighted,True,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,False,ORDERED_POSITIVE_SUPPORTED,Q1,,,0.0482090559039957,,,,,
FULL,robustness,JPY,Group,,,JPY,strategy_equal_weighted,True,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,False,ORDERED_POSITIVE_SUPPORTED,Q2,,,0.09344522755005459,,,,,
FULL,robustness,JPY,Group,,,JPY,strategy_equal_weighted,True,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,False,ORDERED_POSITIVE_SUPPORTED,Q3,,,0.14005832869554855,,,,,
FULL,robustness,JPY,Group,,,JPY,strategy_equal_weighted,True,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,False,ORDERED_POSITIVE_SUPPORTED,Q4,,,0.1335343425094591,,,,,
FULL,robustness,JPY,Group,,,JPY,strategy_equal_weighted,True,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,False,ORDERED_POSITIVE_SUPPORTED,Q5,,,0.14484423522395273,,,,,
FULL,robustness,AUD_nonJPY,Group,,,AUD_nonJPY,trade_weighted,True,11,17|18|19|20|21|22|23|24|25|27|28,False,NOT_SUPPORTED,Q1,1752.0,81.64843291700002,0.0466029868247717,1.2623538108581167,52.51141552511416,0.4270254360532609,-0.37631797853929866,False
FULL,robustness,AUD_nonJPY,Group,,,AUD_nonJPY,trade_weighted,True,11,17|18|19|20|21|22|23|24|25|27|28,False,NOT_SUPPORTED,Q2,1264.0,67.506410543,0.05340697036629747,1.2799029403402735,54.27215189873418,0.4499771665058309,-0.4194398707478261,False
FULL,robustness,AUD_nonJPY,Group,,,AUD_nonJPY,trade_weighted,True,11,17|18|19|20|21|22|23|24|25|27|28,False,NOT_SUPPORTED,Q3,1137.0,58.519639254,0.05146846020580475,1.2419251929327717,55.145118733509236,0.4791245676283892,-0.47616430049015745,False
FULL,robustness,AUD_nonJPY,Group,,,AUD_nonJPY,trade_weighted,True,11,17|18|19|20|21|22|23|24|25|27|28,False,NOT_SUPPORTED,Q4,908.0,41.764301585000005,0.04599592685572688,1.213602451703213,52.20264317180616,0.5006072022109704,-0.4526007228310185,False
FULL,robustness,AUD_nonJPY,Group,,,AUD_nonJPY,trade_weighted,True,11,17|18|19|20|21|22|23|24|25|27|28,False,NOT_SUPPORTED,Q5,1300.0,137.703126276,0.10592548175076924,1.4561452179175893,55.15384615384615,0.6130927868117154,-0.5187017214226805,False
FULL,robustness,AUD_nonJPY,Group,,,AUD_nonJPY,strategy_equal_weighted,True,11,17|18|19|20|21|22|23|24|25|27|28,False,NOT_SUPPORTED,Q1,,,0.05859254604962517,,,,,
FULL,robustness,AUD_nonJPY,Group,,,AUD_nonJPY,strategy_equal_weighted,True,11,17|18|19|20|21|22|23|24|25|27|28,False,NOT_SUPPORTED,Q2,,,0.054131202912979834,,,,,
FULL,robustness,AUD_nonJPY,Group,,,AUD_nonJPY,strategy_equal_weighted,True,11,17|18|19|20|21|22|23|24|25|27|28,False,NOT_SUPPORTED,Q3,,,0.04645357030106909,,,,,
FULL,robustness,AUD_nonJPY,Group,,,AUD_nonJPY,strategy_equal_weighted,True,11,17|18|19|20|21|22|23|24|25|27|28,False,NOT_SUPPORTED,Q4,,,0.04624530146214036,,,,,
FULL,robustness,AUD_nonJPY,Group,,,AUD_nonJPY,strategy_equal_weighted,True,11,17|18|19|20|21|22|23|24|25|27|28,False,NOT_SUPPORTED,Q5,,,0.11442225391985272,,,,,
FULL,robustness,Long,Group,,,Long,trade_weighted,True,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,False,ORDERED_POSITIVE_SUPPORTED,Q1,2470.0,80.932173352,0.03276606208582996,1.1782132336421245,53.07692307692308,0.4081337009160946,-0.3948966161295652,False
FULL,robustness,Long,Group,,,Long,trade_weighted,True,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,False,ORDERED_POSITIVE_SUPPORTED,Q2,1722.0,162.507580464,0.09437141722648083,1.5753735933146857,58.71080139372822,0.4401047987675569,-0.39724102825597757,False
FULL,robustness,Long,Group,,,Long,trade_weighted,True,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,False,ORDERED_POSITIVE_SUPPORTED,Q3,1469.0,110.351193649,0.07511994121783526,1.385377702087231,55.820285908781486,0.48377652799634147,-0.4425742802287481,False
