Period,Method,Scope,ScopeType,StrategyNo,Strategy,Group,Aggregation,Eligible,EligibleStrategies,EligibleIDs,PrespecifiedSubgroup,Support,Q1AvgR,Q2AvgR,Q3AvgR,Q4AvgR,Q5AvgR,Q5MinusQ1AvgR,Q2MinusQ1AvgR,Q3MinusQ2AvgR,Q4MinusQ3AvgR,Q5MinusQ4AvgR,Spearman,AdjacentIncreases,StrictlyIncreasing,Nondecreasing,Complete,CILow,CIHigh,ValidBootstraps,CombinedConclusion
FULL,primary,1,Strategy,1.0,1_EJ_Log1,,trade_weighted,True,1,1,True,ORDERED_POSITIVE_SUPPORTED,0.08712096332183906,0.10574266788741722,0.13786421502970297,0.13616666665000002,0.3217811934873418,0.23466023016550275,0.018621704565578157,0.03212154714228575,-0.0016975483797029567,0.18561452683734178,0.8999999999999998,3.0,False,False,True,0.046650252704020664,0.42193608226038865,5000,BOTH_SUPPORTED
FULL,primary,2,Strategy,2.0,2_EJ_NightBlitz_20,,trade_weighted,True,1,2,False,ORDERED_POSITIVE_SUPPORTED,0.056942719152173915,0.13663492070285718,0.22346978565789472,0.059220014701986755,0.13130787043229167,0.07436515128011775,0.07969220155068327,0.08683486495503753,-0.16424977095590795,0.0720878557303049,0.19999999999999998,3.0,False,False,True,-0.07744884545649919,0.22787825356267294,5000,PRIMARY_ONLY
FULL,primary,3,Strategy,3.0,3_EJ_NightBlitz_21,,trade_weighted,True,1,3,False,ORDERED_POSITIVE_SUPPORTED,0.0561697722484472,0.06266666666091954,0.11031578950000001,0.013262693139072844,0.10826252150777203,0.05209274925932483,0.006496894412472337,0.047649122839080474,-0.09705309636092717,0.09499982836869919,0.19999999999999998,3.0,False,False,True,-0.04311789648650308,0.14717617706388206,5000,BOTH_SUPPORTED
FULL,primary,4,Strategy,4.0,4_GJ_Port_Log1,,trade_weighted,True,1,4,False,ORDERED_POSITIVE_SUPPORTED,0.02149872266051661,0.030172798195652172,0.030038461535714284,0.054271794826666664,0.07663353496067415,0.05513481230015754,0.00867407553513556,-0.00013433665993788785,0.02423333329095238,0.02236174013400749,0.8999999999999998,3.0,False,False,True,-0.01160488897076781,0.11874860038944753,5000,BOTH_SUPPORTED
FULL,primary,5,Strategy,5.0,5_GJ_Port_Log2,,trade_weighted,True,1,5,False,ORDERED_POSITIVE_SUPPORTED,0.038450292403508765,0.053894736810526304,0.10759702287559811,0.1405555555384615,0.11360410832773109,0.07515381592422232,0.01544444440701754,0.053702286065071804,0.03295853266286339,-0.02695144721073041,0.8999999999999998,3.0,False,False,True,-0.10782846810510403,0.26491542230217335,5000,PRIMARY_ONLY
FULL,primary,6,Strategy,6.0,6_GJ_Old_Mon,,trade_weighted,True,1,6,True,ORDERED_POSITIVE_SUPPORTED,-0.03699328859060403,0.22245714285714288,0.30956097560975615,0.3539436619718311,0.265566265060241,0.302559553650845,0.25945043144774693,0.08710383275261327,0.04438268636207493,-0.08837739691159008,0.7,3.0,False,False,True,0.008967937215021851,0.6173640873015871,5000,PRIMARY_ONLY
FULL,primary,7,Strategy,7.0,7_GJ_Mon_Blitz,,trade_weighted,True,1,7,False,NOT_SUPPORTED,0.009960439548571426,0.03728937725,0.09462315463636366,0.09065934060714285,0.07061239729126215,0.06065195774269072,0.027328937701428573,0.05733377738636366,-0.003963814029220802,-0.020046943315880708,0.6,2.0,False,False,True,-0.04287542439953611,0.16003818188276972,5000,ROBUSTNESS_ONLY
FULL,primary,8,Strategy,8.0,8_AJ_Core1,,trade_weighted,True,1,8,False,NOT_SUPPORTED,0.040051325910179646,0.11017857143750003,0.018335787927835044,0.21243809521333334,0.16349350644545457,0.12344218053527492,0.07012724552732039,-0.09184278350966499,0.1941023072854983,-0.04894458876787877,0.6,2.0,False,False,True,-0.05404111668950698,0.2941989014340046,5000,ROBUSTNESS_ONLY
FULL,primary,9,Strategy,9.0,9_AJ_Core2,,trade_weighted,True,1,9,False,NOT_SUPPORTED,0.1083122363164557,0.3673076922692309,0.2075555556,0.1999382716296296,0.19760563384507043,0.08929339752861473,0.2589954559527752,-0.15975213666923088,-0.007617283970370398,-0.002332637784559166,0.0,1.0,False,False,True,-0.2820475540824456,0.46386477748953286,5000,NOT_SUPPORTED
FULL,primary,10,Strategy,10.0,10_AJ_SatA,,trade_weighted,True,1,10,False,NOT_SUPPORTED,-0.020781609195402298,0.035,0.016282352941176463,-0.005172413793103453,-0.013157894736842103,0.007623714458560195,0.0557816091954023,-0.01871764705882354,-0.021454766734279915,-0.00798548094373865,0.0,1.0,False,False,True,-0.09502814499103131,0.10445578362983124,5000,NOT_SUPPORTED
