Period,Method,Scope,Quintile,Trades,TotalTrades,CoveragePct
Monitor2026,robustness,1,Q5,12,48,25.0
Monitor2026,robustness,1,INSUFFICIENT_VOL_HISTORY,0,48,0.0
Monitor2026,robustness,2,Q1,14,58,24.137931034482758
Monitor2026,robustness,2,Q2,16,58,27.586206896551722
Monitor2026,robustness,2,Q3,3,58,5.172413793103448
Monitor2026,robustness,2,Q4,12,58,20.689655172413794
Monitor2026,robustness,2,Q5,13,58,22.413793103448278
Monitor2026,robustness,2,INSUFFICIENT_VOL_HISTORY,0,58,0.0
Monitor2026,robustness,3,Q1,14,58,24.137931034482758
Monitor2026,robustness,3,Q2,16,58,27.586206896551722
Monitor2026,robustness,3,Q3,3,58,5.172413793103448
Monitor2026,robustness,3,Q4,12,58,20.689655172413794
Monitor2026,robustness,3,Q5,13,58,22.413793103448278
Monitor2026,robustness,3,INSUFFICIENT_VOL_HISTORY,0,58,0.0
Monitor2026,robustness,4,Q1,18,62,29.03225806451613
Monitor2026,robustness,4,Q2,11,62,17.741935483870968
Monitor2026,robustness,4,Q3,12,62,19.35483870967742
Monitor2026,robustness,4,Q4,7,62,11.29032258064516
Monitor2026,robustness,4,Q5,14,62,22.58064516129032
Monitor2026,robustness,4,INSUFFICIENT_VOL_HISTORY,0,62,0.0
Monitor2026,robustness,5,Q1,24,79,30.37974683544304
Monitor2026,robustness,5,Q2,14,79,17.72151898734177
Monitor2026,robustness,5,Q3,15,79,18.9873417721519
Monitor2026,robustness,5,Q4,11,79,13.924050632911392
Monitor2026,robustness,5,Q5,15,79,18.9873417721519
Monitor2026,robustness,5,INSUFFICIENT_VOL_HISTORY,0,79,0.0
Monitor2026,robustness,6,Q1,9,28,32.142857142857146
Monitor2026,robustness,6,Q2,7,28,25.0
Monitor2026,robustness,6,Q3,3,28,10.714285714285714
Monitor2026,robustness,6,Q4,4,28,14.285714285714285
Monitor2026,robustness,6,Q5,5,28,17.857142857142858
Monitor2026,robustness,6,INSUFFICIENT_VOL_HISTORY,0,28,0.0
Monitor2026,robustness,7,Q1,12,36,33.33333333333333
Monitor2026,robustness,7,Q2,7,36,19.444444444444446
Monitor2026,robustness,7,Q3,5,36,13.88888888888889
Monitor2026,robustness,7,Q4,6,36,16.666666666666664
Monitor2026,robustness,7,Q5,6,36,16.666666666666664
Monitor2026,robustness,7,INSUFFICIENT_VOL_HISTORY,0,36,0.0
Monitor2026,robustness,8,Q1,9,36,25.0
Monitor2026,robustness,8,Q2,9,36,25.0
Monitor2026,robustness,8,Q3,5,36,13.88888888888889
Monitor2026,robustness,8,Q4,7,36,19.444444444444446
Monitor2026,robustness,8,Q5,6,36,16.666666666666664
Monitor2026,robustness,8,INSUFFICIENT_VOL_HISTORY,0,36,0.0
Monitor2026,robustness,9,Q1,5,20,25.0
Monitor2026,robustness,9,Q2,5,20,25.0
Monitor2026,robustness,9,Q3,2,20,10.0
Monitor2026,robustness,9,Q4,3,20,15.0
Monitor2026,robustness,9,Q5,5,20,25.0
Monitor2026,robustness,9,INSUFFICIENT_VOL_HISTORY,0,20,0.0
Monitor2026,robustness,10,Q1,7,25,28.000000000000004
Monitor2026,robustness,10,Q2,7,25,28.000000000000004
Monitor2026,robustness,10,Q3,2,25,8.0
Monitor2026,robustness,10,Q4,4,25,16.0
Monitor2026,robustness,10,Q5,5,25,20.0
Monitor2026,robustness,10,INSUFFICIENT_VOL_HISTORY,0,25,0.0
Monitor2026,robustness,11,Q1,7,25,28.000000000000004
Monitor2026,robustness,11,Q2,7,25,28.000000000000004
Monitor2026,robustness,11,Q3,2,25,8.0
